projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"8b9e79ae-7bc1-4db5-bb5c-b9ee079969cf","fc359326.WiSe2016SG742.01",1,"fc359326.WiSe2016SG742.01.xml",coursewide,,,SYBEX,"What PowerShell command allows you to add users to an Active Directory group?","<code>Add-ADGroupMember</code>","01JBKBJYDP8TC4A674CT4YGSFZ",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"a76b125c-81fb-45a4-a57e-dd2b655b28b0","fc359326.WiSe2016SG742.02",2,"fc359326.WiSe2016SG742.02.xml",coursewide,,,SYBEX,"What Application Programming Interface (API) supports the querying of information from several directory services, including DNS, Active Directory, and other LDAP sources?","Active Directory Service Interfaces (ADSI)","01JBKBJXZD4NXV6MCDTEEN08KZ",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"d2145be5-ad1b-46e0-98b7-417ae347f674","fc359326.WiSe2016SG742.03",3,"fc359326.WiSe2016SG742.03.xml",coursewide,,,SYBEX,"Which administrative tools are used primarily to manage Active Directory objects within a domain?","Active Directory Users and Computers and Active Directory Administrative Center","01JBKBJY7AJRYW88WT3445HT02",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"bfe43694-7701-4ab9-8aff-9f17015da9f6","fc359326.WiSe2016SG742.04",4,"fc359326.WiSe2016SG742.04.xml",coursewide,,,SYBEX,"What types of file can systems administrators and developers use to provide settings that can be configured from within the Group Policy editor?","An administrative template","01JBKBJY0BZP7W0KA06WDYA7XZ",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"64b89e85-f43a-4da4-b689-afc086d03c28","fc359326.WiSe2016SG742.05",5,"fc359326.WiSe2016SG742.05.xml",coursewide,,,SYBEX,"What server role allows for single sign&hyphen;on (SSO)?","Active Directory Federation Services (AD FS)","01JBKBJYEGMNMZANRS7NYMF6SX",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"0149a08b-e9d6-45a5-9191-ca04745f856f","fc359326.WiSe2016SG742.06",6,"fc359326.WiSe2016SG742.06.xml",coursewide,,,SYBEX,"What PowerShell command allows you to view one or more Active Directory computers.?","Get&hyphen;ADComputer","01JBKBJY8JE7A69AFSNFDNEAFA",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"23832560-1844-41d9-87f8-bb4b936b2777","fc359326.WiSe2016SG742.07",7,"fc359326.WiSe2016SG742.07.xml",coursewide,,,SYBEX,"Which PowerShell command allows you to view the Active Directory fine&hyphen;grained password policies?","Get&hyphen;ADFineGrainedPasswordPolicy","01JBKBJY8H4GZ9X83S9HB4X51K",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"25146c55-c14b-4f99-bef4-c67aaf2fdd03","fc359326.WiSe2016SG742.08",8,"fc359326.WiSe2016SG742.08.xml",coursewide,,,SYBEX,"This PowerShell command is the ONLY way that you can create a new Managed Service Account?","New&hyphen;ADServiceAccount","01JBKBJXVE14TA1Q0TG3KTKXZQ",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"2f542541-ed00-4ef1-8122-0d9580c227cd","fc359326.WiSe2016SG742.09",9,"fc359326.WiSe2016SG742.09.xml",coursewide,,,SYBEX,"To specify that a specific copy of the Active Directory database should override information on other domain controllers (regardless of sequence numbers), an administrator must perform what operation?","An authoritative restore","01JBKBJY2X3R21HSJZ7F75CVP0",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"f39b3ffd-7936-4230-af90-a72e530be866","fc359326.WiSe2016SG742.10",10,"fc359326.WiSe2016SG742.10.xml",coursewide,,,SYBEX,"_______ servers are responsible for receiving the transfer of replication traffic between sites.",Bridgehead,"01JBKBJYFRRXEX4NKHWFH2SYN7",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"051614be-4dd0-431e-9fa8-ec779821b9a6","fc359326.WiSe2016SG742.11",11,"fc359326.WiSe2016SG742.11.xml",coursewide,,,SYBEX,"Administrators can use this PowerShell command to unlock an Active Directory account?","Unlock&hyphen;ADAccount","01JBKBJY6K9YK4CHVS0S0JAK9X",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"5b3e3c30-5fc1-463c-a678-2dfe8afcde8e","fc359326.WiSe2016SG742.12",12,"fc359326.WiSe2016SG742.12.xml",coursewide,,,SYBEX,"Which feature of the Active Directory Users and Computers tool can be used to delegate permissions easily?","Delegation of Control Wizard","01JBKBJYC6F80XTS6CGGK9VEBX",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"d6bae62b-113c-432b-bd13-f9de6cc870ed","fc359326.WiSe2016SG742.13",13,"fc359326.WiSe2016SG742.13.xml",coursewide,,,SYBEX,"Which Windows Server 2016 administrative tool includes the Delegation of Control Wizard?","Active Directory Users and Computers","01JBKBJY5HMEQYTW3KRXM0D4RC",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"78360544-474a-4653-89a8-4ec4df15685c","fc359326.WiSe2016SG742.14",14,"fc359326.WiSe2016SG742.14.xml",coursewide,,,SYBEX,"This PowerShell command allows an administrator to configure the Authority Information Access (AIA) or Online Certificate Status Protocol (OCSP) URI on a CA?","Add&hyphen;CAAuthorityInformationAccess","01JBKBJXV0T8Q9B7BJ5FMT8A3C",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"09c517ee-a263-4675-8b08-f928b087cbd5","fc359326.WiSe2016SG742.15",15,"fc359326.WiSe2016SG742.15.xml",coursewide,,,SYBEX,"A systems administrator wants to restore the System State information to a Windows Server 2016 domain controller. Which boot option must they choose in order to restore the complete System State information?","Directory Services Restore mode","01JBKBJXYY01BBT9DVA445AP5Z",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"b46e2e5d-5c7a-43e8-b51e-230753b1cbab","fc359326.WiSe2016SG742.16",16,"fc359326.WiSe2016SG742.16.xml",coursewide,,,SYBEX,"Administrators can use this PowerShell command to add a certificate revocation list (CRL) distribution point?","Add&hyphen;CACrlDistributionPoint","01JBKBJXP2AJKEJVXSX1TXWHHB",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"1a7815a2-766c-43cb-a087-412e165e981d","fc359326.WiSe2016SG742.17",17,"fc359326.WiSe2016SG742.17.xml",coursewide,,,SYBEX,"Which of the following is not a security principal: Global groups, Users, Universal groups, or Distribution groups?","Distribution groups","01JBKBJXWPEFZWNXXQ27113ETX",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"c914b3f0-7316-4646-9c42-64bdf86c3cf0","fc359326.WiSe2016SG742.18",18,"fc359326.WiSe2016SG742.18.xml",coursewide,,,SYBEX,"Users are generally placed in _______ to simplify the management of permissions.",groups,"01JBKBJY1N5MET0ZFMA376XAFC",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"e1497c2d-ecf0-451f-b16d-f08fc6d5a4e3","fc359326.WiSe2016SG742.19",19,"fc359326.WiSe2016SG742.19.xml",coursewide,,,SYBEX,"A Windows Server 2016 computer that contains a copy of the Active Directory database is known as a(n) _______.","domain controller","01JBKBJYFZD0M3D85H5Q2MV19N",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"470f3197-f644-4282-a671-99588e7eb92b","fc359326.WiSe2016SG742.20",20,"fc359326.WiSe2016SG742.20.xml",coursewide,,,SYBEX,"The single master operation that involves adding and removing Active Directory domains is known as the _______.","Domain Naming Master","01JBKBJYFRTK1A93RP3QZBC99R",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"ee1f9ebd-8f6c-4bdd-9a39-d2bef2696796","fc359326.WiSe2016SG742.21",21,"fc359326.WiSe2016SG742.21.xml",coursewide,,,SYBEX,"Multiple Active Directory domains that do not share a common namespace can be joined together as _______.","multiple trees within a forest","01JBKBJYGBBTFT50TX5TX1N8TA",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"d983fff7-17d3-4384-a70b-af95a8e8beef","fc359326.WiSe2016SG742.22",22,"fc359326.WiSe2016SG742.22.xml",coursewide,,,SYBEX,"Multiple Active Directory domains that share a common namespace can be joined together as a(n) _______.",tree,"01JBKBJY7DDKWXJSDP461BA1GW",
"896dd4fa-49ad-4999-9dd1-c23dd7a975e8",PROD,"e054edad-4891-4a59-9a35-b7e0a90b980f","fc359326.WiSe2016SG742.23",23,"fc359326.WiSe2016SG742.23.xml",coursewide,,,SYBEX,"This PowerShell command allows an administrator to add a certificate template to the CA?","Add&hyphen;CATemplate","01JBKBJXZ5TQ887XGX10EJ7C2S",
