projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"6faafdeb-294d-4df1-a6b0-80546c226a30",fc490708.AWSCeClPrSG.001,1,"fc490708.AWSCeClPrSG.001.xml",coursewide,,,SYBEX,"What is it about large cloud providers like AWS that makes it possible for deployments using their infrastructure to be more secure than many alternatives?","AWS has the money and expertise to achieve security best practices.","01JACTME4X86VXDN97APFWH8H5",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"62f34d33-08eb-4855-b4b1-df1a48366383",fc490708.AWSCeClPrSG.002,2,"fc490708.AWSCeClPrSG.002.xml",coursewide,,,SYBEX,"What is it about the payment model used by major cloud providers that contributes to their efficiency and effectiveness?","The self&hyphen;service, pay&hyphen;per&hyphen;use payment model allows for a high level of automation.","01JACTMBQTQR18TEPE4NWH1ZHV",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"e4a4e359-8918-4757-99a0-5b43518be48d",fc490708.AWSCeClPrSG.003,3,"fc490708.AWSCeClPrSG.003.xml",coursewide,,,SYBEX,"True/False: The infrastructure&hyphen;as&hyphen;a&hyphen;service (IaaS) cloud service model provides customers with the highest control over their resources of all cloud models.",True,"01JACTMBX4WZ0T5HMPTY7N7GXB",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"c5b5722e-f116-4b25-8781-5325c2d4022d",fc490708.AWSCeClPrSG.004,4,"fc490708.AWSCeClPrSG.004.xml",coursewide,,,SYBEX,"True/False: Platform&hyphen;as&hyphen;a&hyphen;service (PaaS) services provide users with only minimal control over their applications.","False: PaaS services (like Elastic Beanstalk) do simplify infrastructure administration, but they still offer significant control over the application environment.","01JACTMBCDZQ1GGB9TAEPFN086",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"d511fad5-7368-4a7e-bf15-0e1d4f575b54",fc490708.AWSCeClPrSG.005,5,"fc490708.AWSCeClPrSG.005.xml",coursewide,,,SYBEX,"Which server virtualization model shares the host kernel among the virtual client servers?","Container virtualization","01JACTMC230Q0T2CW3HN48X3PJ",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"04cc431a-1939-496c-bbd0-3e8a65aff704",fc490708.AWSCeClPrSG.006,6,"fc490708.AWSCeClPrSG.006.xml",coursewide,,,SYBEX,"What word describes the ability to automatically add compute resources to an application to meet changing user demand?",Scalability,"01JACTME4DKF9NDN9G1X0N2VKZ",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"80f61a2f-9d38-474b-a977-83c1e013b6bd",fc490708.AWSCeClPrSG.007,7,"fc490708.AWSCeClPrSG.007.xml",coursewide,,,SYBEX,"True/False: Function&hyphen;based services like Amazon&rsquo;s Lambda operate without servers.","False: Even though Lambda and similar services are described as &ldquo;serverless,&rdquo; the servers running their code are simply &ldquo;hidden&rdquo; from the customer view.","01JACTMBSRMHNFKD0PM27JFE7Z",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"c30d681d-ab81-46ea-857c-49b6e073cc66",fc490708.AWSCeClPrSG.008,8,"fc490708.AWSCeClPrSG.008.xml",coursewide,,,SYBEX,"What are the two primary elements that allow cloud providers like AWS to provide many low consumption costs for customers?","Virtualized servers and enormous operational scale","01JACTMBF4PXQZ2NXB6WWMFFRW",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"c595c246-879c-4cfe-a9e8-4f2bf28bb0c9",fc490708.AWSCeClPrSG.009,9,"fc490708.AWSCeClPrSG.009.xml",coursewide,,,SYBEX,"For how long do owners of new AWS accounts get to enjoy the Free Tier?","One full year","01JACTMBMEZZXVQ4P16RDVNTW2",
"a71f4407-2cb2-4c68-bf06-d2e07b5ab1a0",PROD,"60a713f5-8303-4938-a19b-3f43dccd271c",fc490708.AWSCeClPrSG.010,10,"fc490708.AWSCeClPrSG.010.xml",coursewide,,,SYBEX,"Which free, online AWS tool lets you accurately estimate the costs you would pay for the use of any combination of AWS resources?","The AWS Simple Monthly Calculator","01JACTMCA7H1ZYAX9W8AZFJSFA",
