projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"d27a85a1-69c4-4fd7-be5d-6412a7957c7d",fc559535.MSAzArSG.001,1,"fc559535.MSAzArSG.001.xml",coursewide,,,SYBEX,"The AZ&hyphen;300/AZ&hyphen;303 exam is titled the Microsoft Azure Architect _____________ exam.",Technologies,"01J94FDZ29W2PTX3SQS1PA6G0K",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"fdc3824a-29f2-4f5c-ae19-b931c76ef2f1",fc559535.MSAzArSG.002,2,"fc559535.MSAzArSG.002.xml",coursewide,,,SYBEX,"The AZ&hyphen;301/AZ&hyphen;304 exam is titled the Microsoft Azure Architect _____________ exam.",Design,"01J94FDZ23YMV0R770MFCCCWC0",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"57d16020-1545-4daf-a1b6-9fc3222c8341",fc559535.MSAzArSG.003,3,"fc559535.MSAzArSG.003.xml",coursewide,,,SYBEX,"________, _________, __________, and __________ are contained in an Azure Storage account.","Blobs, tables, queues, files","01J94FDZ2D5M1Z3C3TM7E122KF",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"c28aa4d9-9b63-4b9e-ab40-785d9a8455df",fc559535.MSAzArSG.004,4,"fc559535.MSAzArSG.004.xml",coursewide,,,SYBEX,"_______, _________, __________, and ___________ are Azure Messaging products.","Event Hub, Event Grid, Service Bus, Azure Queue Storage","01J94FDYR3Y2P2SGBBZ4WV25MK",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"f2485542-8621-4453-ba76-61d46ea17878",fc559535.MSAzArSG.005,5,"fc559535.MSAzArSG.005.xml",coursewide,,,SYBEX,"Azure Active Directory (AAD) has to do with ___________.",Security,"01J94FDZ1WE8V8514T7KJRE37G",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"93e0d661-b915-4a0a-bfbf-986038e5a054",fc559535.MSAzArSG.006,6,"fc559535.MSAzArSG.006.xml",coursewide,,,SYBEX,"An Azure VNet has to do with _____________.",Networking,"01J94FDYXV8R11F21EGAA56VBS",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"747f978e-fe6e-4f26-9c9f-cfcf42aab75c",fc559535.MSAzArSG.007,7,"fc559535.MSAzArSG.007.xml",coursewide,,,SYBEX,"An Azure VM falls into the _______ cloud service model.",IaaS,"01J94FDYRMXE2QXPPD19GM2FV4",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"ba877e3c-6362-4777-bf1d-798c18235aa9",fc559535.MSAzArSG.008,8,"fc559535.MSAzArSG.008.xml",coursewide,,,SYBEX,"An Azure App Service falls into the __________ cloud service model.",PaaS,"01J94FDYR60EQ0E5QPSZWCAE82",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"f3c5d7a7-7ed5-4714-afdc-d631b269973f",fc559535.MSAzArSG.009,9,"fc559535.MSAzArSG.009.xml",coursewide,,,SYBEX,"Azure Functions falls into the _________ cloud service model.",Serverless/FaaS,"01J94FDYY0CR7F3FJY2RRBKCD5",
"65f0368c-a524-42d2-a469-d9028978235d",PROD,"ee8d7fb6-6341-4660-895c-fc7bd8c3f573",fc559535.MSAzArSG.010,10,"fc559535.MSAzArSG.010.xml",coursewide,,,SYBEX,"SQL on Azure comes in these four products: ______, _____, ______, and ______.","Azure SQL, Elastic Pool, SQL managed instances, SQL virtual machines","01J94FDYWJVRCNXNSCBEFPA6TG",
