projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,3c8c345e-7a22-4452-86cd-91f13169215c,fc649472.AWSCDASG.001,1,fc649472.AWSCDASG.001.xml,coursewide,,,SYBEX,What is data temperature and why is it important?,"Data is tiered into hot, warm, and cold storage. Typically, data is characterized into hot, warm, and cold based on the frequency at which it is accessed, updated, and maintained. For example, with telecom data, the last 6 months of call detail records may be categorized as hot, data over 6 months but under 12 months as warm, and data older than 12 months as cold data. This is important because it helps identify the value of the data and the right storage technology for such data.",01J94GJDC3ARWVKXA7KD7NRR1W,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,c240dbed-382a-45b3-ace5-8dec7f0f675e,fc649472.AWSCDASG.002,2,fc649472.AWSCDASG.002.xml,coursewide,,,SYBEX,What are the three major types of data that are collected/ingested into an analytics pipeline?,"There are three major data source types: transactions, files, and events.",01J94GJDJ0CJBYA8S49PYA6A41,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,205f7f49-fabc-4bf4-89f6-a04d3f9045d6,fc649472.AWSCDASG.003,3,fc649472.AWSCDASG.003.xml,coursewide,,,SYBEX,What stream storage options are provided on the AWS platform?,AWS offers two stream storage options: Kafka (Apache Kafka on EC2 instances and Managed Streaming for Kafka) and Amazon Kinesis (Amazon Kinesis Data Streams and Amazon Kinesis Firehose).,01J94GJDA9HWDNBBHQY5BVPCPP,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,d323d3ff-992c-46f2-9a6d-902d88b5f908,fc649472.AWSCDASG.004,4,fc649472.AWSCDASG.004.xml,coursewide,,,SYBEX,What is a benefit of streaming storage?,Streaming storage allows you to decouple your producers from your consumers.,01J94GJDCJ1BVHRNH6X330B51H,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,5849e3e6-ef2c-4fdb-af4d-cbccb10293c2,fc649472.AWSCDASG.005,5,fc649472.AWSCDASG.005.xml,coursewide,,,SYBEX,Name some of the benefits of S3 storage that make S3 a key choice for your data and analytics pipeline storage and a landing zone for all of your data?,"S3 provides the following benefits, which makes it a de facto storage engine for your analytics pipeline:",01J94GJDKSCCC1AFK7YRGTB50T,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,36b0a260-216e-4b23-87f7-ee8a3c5692a4,fc649472.AWSCDASG.006,6,fc649472.AWSCDASG.006.xml,coursewide,,,SYBEX,What options does AWS provide for warm and hot data storage?,"For the warm and hot data, Amazon supports various options, which fall into three major categories:",01J94GJDGWBK1B7JCYCAG9KX9H,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,a2cf2741-04c3-484b-a062-caaac8c6a195,fc649472.AWSCDASG.007,7,fc649472.AWSCDASG.007.xml,coursewide,,,SYBEX,What are the major categories of analytics?,Analytics can be categorized as follows:,01J94GJDAJ82P0BYYEGD38C55H,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,0a65941e-f75f-4e54-9db5-c4a6042b5b94,fc649472.AWSCDASG.008,8,fc649472.AWSCDASG.008.xml,coursewide,,,SYBEX,What is a data lake?,A data lake is a centralized repository of data with the following properties:,01J94GJDG853486VXBDT731NP6,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,828a6b57-088a-4d7b-a723-061aa83f2312,fc649472.AWSCDASG.009,9,fc649472.AWSCDASG.009.xml,coursewide,,,SYBEX,What are the typical steps in building a data lake?,Setting up storage,01J94GJDBVX1NGZX3G3KZRX8HF,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,91349e0c-d87b-45eb-be9a-12d21b2aa88a,fc649472.AWSCDASG.010,10,fc649472.AWSCDASG.010.xml,coursewide,,,SYBEX,What are key architectural principles for your data lake?,Decouple your data bus: data &#707; storage &#707; processing &#707; analysis &#707; answers.,01J94GJDB8K3QED8KJK4WTCTTZ,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,5e80ae05-51b4-4e32-b509-aab2498b72d4,fc649472.AWSCDASG.011,11,fc649472.AWSCDASG.011.xml,coursewide,,,SYBEX,What are two types of data processing?,Batch processing &ndash; Support finite amounts of data. Examples are jobs scheduled on an hourly or a nightly basis.,01J94GJDH09ZGP2WDHGEJMHRR4,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,0a75f908-d09d-4b85-bde8-07ba443634e1,fc649472.AWSCDASG.012,12,fc649472.AWSCDASG.012.xml,coursewide,,,SYBEX,When is stream processing an ideal choice for data processing?,"Stream processing is an ideal choice in cases where latency to ingest, store, and process the data is of utmost importance and needs to be as low as possible, sometimes in single&hyphen;digit milliseconds.",01J94GJBWK40ZF32S1DX78QSHV,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,17429616-1e91-4c04-9ba0-26ec6fa0afa0,fc649472.AWSCDASG.013,13,fc649472.AWSCDASG.013.xml,coursewide,,,SYBEX,What technologies are available on the AWS platform to handle streaming data?,Amazon Kinesis Data Streams,01J94GJC3BVNZZEA32EFE7PA3D,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,cfc06119-6404-499e-b627-a7e813043e3d,fc649472.AWSCDASG.014,14,fc649472.AWSCDASG.014.xml,coursewide,,,SYBEX,What is Amazon Kinesis&rsquo;s pricing model?,Amazon Kinesis is priced on a pay&hyphen;as&hyphen;you&hyphen;go model based on shard hour and PUT payload limits.,01J94GJB3HGXGNZFXY6C70BEQB,
91c5da39-1613-415f-8a8d-cf45b5d4a7ff,PROD,27e8fdf9-b04e-4204-81f7-ed38e88c1cfa,fc649472.AWSCDASG.015,15,fc649472.AWSCDASG.015.xml,coursewide,,,SYBEX,What is a Kinesis shard?,A shard is a uniquely identified sequence of streams and provides fixed capacity. You can consider shards as partitioning of your data inside a stream. Each shard can support up to five read transactions per second up to a total of 2 MB of data read per second. Each shard can support up to 1000 write transactions per second up to a maximum of 1 MB of data written per second.,01J94GJBE8YSESQ3XKBWHYC1M3,
