projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"b0842c0b-a73b-4d02-a782-0cb16d94ec02",fc659181.CCNACert.SG.01,1,"fc659181.CCNACert.SG.01.xml",coursewide,,,SYBEX,"Which NTP command configures the local device as an NTP reference clock source?","<code>ntp master</code>","01JBHK91XBWS7G0MGJFB2JZXFP",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"afa2145f-bfd6-4d59-a9cf-72b95c167cdd",fc659181.CCNACert.SG.02,2,"fc659181.CCNACert.SG.02.xml",coursewide,,,SYBEX,"What is the subnet and broadcast address of this host: 10.16.3.65/23?","10.16.2.0 255.255.254.0, 10.16.3.255 255.255.254.0","01JBHK91X0GP98EBX86VAWDGK6",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"537c5cf6-3b70-471e-a3fa-3b40d31e0168",fc659181.CCNACert.SG.03,3,"fc659181.CCNACert.SG.03.xml",coursewide,,,SYBEX,"Under which circumstance should a network administrator implement one&hyphen;way NAT?","When the network has few public IP addresses, and many private IP addresses require outside Internet access","01JBHK91RZ9NHK06MRA179F6TH",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"63395aca-d1c5-41a9-9f30-41236957684e",fc659181.CCNACert.SG.04,4,"fc659181.CCNACert.SG.04.xml",coursewide,,,SYBEX,"True/False. When configuring static routes, an exit interface can be specified to indicate where the packets will be routed.",True,"01JBHK91XD6N79023KW08R451F",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"eae9c9c1-d0b2-4a5a-ae13-5440c368f561",fc659181.CCNACert.SG.05,5,"fc659181.CCNACert.SG.05.xml",coursewide,,,SYBEX,"Which device allows users to connect to the network using a single or double radio?","Access point","01JBHK91XK9PPKGW96SXNRW8K5",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"3c104ee5-26e4-41de-b0ce-4bbb6cbf75a8",fc659181.CCNACert.SG.06,6,"fc659181.CCNACert.SG.06.xml",coursewide,,,SYBEX,"Which method does a connected trunk port use to tag VLAN traffic?","IEEE 802.1Q","01JBHK91G5N2CY0TY03YWMHXPK",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"f1ebee1b-d224-44ac-9a8a-ef96a3b0484d",fc659181.CCNACert.SG.07,7,"fc659181.CCNACert.SG.07.xml",coursewide,,,SYBEX,"True/False. This is a valid hostname for a switch following Cisco&rsquo;s guidelines: 5witch&hyphen;Cisco.",False,"01JBHK91AFB704Y577M2Z5AS13",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"ea04a67b-d997-44f1-ad2d-78750f81033d",fc659181.CCNACert.SG.08,8,"fc659181.CCNACert.SG.08.xml",coursewide,,,SYBEX,"Which function enables an administrator to route multiple VLANs on a router?","Router on a stick","01JBHK91WYG7SHXXBB6ASQVY7S",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"35634dbf-310d-4cec-9df8-509ffa58c299",fc659181.CCNACert.SG.09,9,"fc659181.CCNACert.SG.09.xml",coursewide,,,SYBEX,"True/False. Routers perform this on a packet: Update the layer 3 headers of outbound packets so that the packets are properly directed to their ultimate destinations.","False. They update the layer 2 headers of outbound packets with the MAC addresses of the next hop.","01JBHK91NYKNPG9GY86AV3TBKJ",
"34d819e1-aa16-4e7b-a16a-845eba44b8a2",PROD,"b623a105-eaee-49fd-b69e-64b979a239d3",fc659181.CCNACert.SG.10,10,"fc659181.CCNACert.SG.10.xml",coursewide,,,SYBEX,"True/False. Routers perform this on a packet: Examine the layer 3 headers of inbound packets and use that information to determine the next hops for the packets.",True,"01JBHK91VNN13FZ5Z4H0T7Q62H",
