projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"d343371c-f2fb-43f9-9f95-590ecf843e5c",fc713081.AWSCSASG3E.001,1,"fc713081.AWSCSASG3E.001.xml",coursewide,,,SYBEX,"True/False: Elastic Beanstalk directs incoming network traffic between EC2 instances at any scale.",False,"01J9BC9WCYFHG0P6AJTZER7213",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"3cf23802-97b4-41d3-91b1-438c974e454d",fc713081.AWSCSASG3E.002,2,"fc713081.AWSCSASG3E.002.xml",coursewide,,,SYBEX,"An ________ is made up of one or more geographically neighboring data centers within a single AWS region.","Availability zone","01J9BC9W8J0CTY5BAE6T3N5SHK",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"781f203c-53d7-4d04-9719-96419e91af5d",fc713081.AWSCSASG3E.003,3,"fc713081.AWSCSASG3E.003.xml",coursewide,,,SYBEX,"The ________ precisely defines the extent of your responsibility for ensuring the safety and continued operation of your AWS resources.","AWS Shared Responsibility Model","01J9BC9WEEMRS5DED12D0Z5R7P",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"cea3ed22-9ade-4905-8d83-d2b613244f5d",fc713081.AWSCSASG3E.004,4,"fc713081.AWSCSASG3E.004.xml",coursewide,,,SYBEX,"Which tool should you install locally to manage your AWS resources at the command line&hyphen;level?","AWS CLI","01J9BC9W1F6G4VBM878R2SKAS6",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"b770397f-3058-47bd-acd9-c76b693f332a",fc713081.AWSCSASG3E.005,5,"fc713081.AWSCSASG3E.005.xml",coursewide,,,SYBEX,"What does an AWS service level agreement (SLA) value of 99.99 percent actually mean about the availability of that service?","That AWS guarantees any resource running in that service will be available 99.99 percent of the time&mdash;meaning service will be unavailable for less than five minutes each month. AWS will provide service credits when that target isn&rsquo;t met.","01J9BC9WEEX3WS4DN8ZX4B0A93",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"fdd6ed68-df42-4611-a65d-b46ea533f7a1",fc713081.AWSCSASG3E.006,6,"fc713081.AWSCSASG3E.006.xml",coursewide,,,SYBEX,"The ________ support plan from AWS provides limited general guidance and system&hyphen;impaired response to a single user.",Developer,"01J9BC9W78R0SV9KR5GEGF1BK5",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"8789be7b-e154-409c-aa62-d85e547a64a3",fc713081.AWSCSASG3E.007,7,"fc713081.AWSCSASG3E.007.xml",coursewide,,,SYBEX,"True/False: AWS describes the software operating system images used to power EC2 instances as Amazon Machine Images (AMIs).",True,"01J9BC9TXTW8529HN439GCBB1H",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"c67d7e9c-3201-4986-b9ad-6b22daa57aab",fc713081.AWSCSASG3E.008,8,"fc713081.AWSCSASG3E.008.xml",coursewide,,,SYBEX,"The AWS ________ provides many vendor&hyphen;supported, production&hyphen;ready Amazon Machine Images for use with EC2 instances.",Marketplace,"01J9BC9TCKY3Q46J61T6366MF7",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"a030574d-0c20-4c58-bb01-e8541f82f83b",fc713081.AWSCSASG3E.009,9,"fc713081.AWSCSASG3E.009.xml",coursewide,,,SYBEX,"True/False: You can change the instance type used by a running EC2 instance without any service interruption.",False,"01J9BC9TKTEGS328DQ5V9BR5DX",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"f24528f2-3006-4690-8fb4-8af23f4f816f",fc713081.AWSCSASG3E.010,10,"fc713081.AWSCSASG3E.010.xml",coursewide,,,SYBEX,"________ is the designation of a low&hyphen;cost general&hyphen;purpose EC2 instance type.",T2,"01J9BC9VVPT95ZDKM6M4F9M43X",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"82e40e16-dc15-4f85-865c-4bcd1bcbc509",fc713081.AWSCSASG3E.011,11,"fc713081.AWSCSASG3E.011.xml",coursewide,,,SYBEX,"True/False: D2 is the designation of a storage&hyphen;optimized EC2 instance type.",True,"01J9BC9V64G8SGVQPXQNHMEZNH",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"9f8eb2c6-175b-4162-a69c-eef1fda1a9ab",fc713081.AWSCSASG3E.012,12,"fc713081.AWSCSASG3E.012.xml",coursewide,,,SYBEX,"What is the EC2 instance tenancy model that provides the highest level of security and isolation?","Dedicated host","01J9BC9VGX0704N53GVN3BBNAH",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"dc4a1be9-92a5-4d4d-99a8-fc4889d976a3",fc713081.AWSCSASG3E.013,13,"fc713081.AWSCSASG3E.013.xml",coursewide,,,SYBEX,"Which is the most cost&hyphen;effective EC2 instance pricing model for a 24/7 workload that will run for six months?","On&hyphen;demand","01J9BC9VV2GADA2EAX0AEQW487",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"6035b058-868c-400a-99c4-6acdc7541e0c",fc713081.AWSCSASG3E.014,14,"fc713081.AWSCSASG3E.014.xml",coursewide,,,SYBEX,"Which is the most cost&hyphen;effective EC2 instance pricing model for workloads that can tolerate unexpected disruptions?","Spot market","01J9BC9V6DGV86D1FEC5BTWVG1",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"1c922d6f-315a-461a-9668-e5a3681e6c65",fc713081.AWSCSASG3E.015,15,"fc713081.AWSCSASG3E.015.xml",coursewide,,,SYBEX,"Unless you&rsquo;re using an ________, stopping and restarting an EC2 instance might result in the instance&rsquo;s public IP address being changed.","Elastic IP","01J9BC9VGSYJQ21Z7ZBNA4GRAR",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"a3e5468f-fec6-4a21-b53d-7c5fd663824d",fc713081.AWSCSASG3E.016,16,"fc713081.AWSCSASG3E.016.xml",coursewide,,,SYBEX,"True/False: Most AWS service limits can be increased by submitting a request to AWS support.",True,"01J9BC9TD1NP39B7CHTRRXVVRB",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"1bedd3f5-c94c-416f-bcee-18ac9f0099b1",fc713081.AWSCSASG3E.017,17,"fc713081.AWSCSASG3E.017.xml",coursewide,,,SYBEX,"Which Elastic Block Store (EBS) volume type can deliver the highest IOPS performance?","EBS&hyphen;provisioned IOPS SSD","01J9BC9TXQ5SN47BKE7W1RCWZD",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"4d171572-8285-4867-82a0-38377cc2edc9",fc713081.AWSCSASG3E.018,18,"fc713081.AWSCSASG3E.018.xml",coursewide,,,SYBEX,"The ________ Elastic Block Store (EBS) volume type is the best choice for larger data volumes requiring only infrequent access.","Cold HDD","01J9BC9TK4B1NF8GPDS11QPNWF",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"8d4791fa-1e80-49db-99d9-1f291ce09bdf",fc713081.AWSCSASG3E.019,19,"fc713081.AWSCSASG3E.019.xml",coursewide,,,SYBEX,"True/False: Instance Store volumes retain their data when the associated EC2 instance is shut down.",False,"01J9BC9WACTVVE6YDHCK96CMD7",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"5d35c1d5-f20c-4052-a577-18bf0159a3ec",fc713081.AWSCSASG3E.020,20,"fc713081.AWSCSASG3E.020.xml",coursewide,,,SYBEX,"An EC2 security group acts like a firewall to protect resources at the ________ level.",Instance,"01J9BC9W73ZCSSZPZAZGNQV5J7",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"92e94b6f-a9a3-4da4-a07d-a14fc4ab58b9",fc713081.AWSCSASG3E.021,21,"fc713081.AWSCSASG3E.021.xml",coursewide,,,SYBEX,"True/False: Names given to S3 buckets need to be unique only across your account.",False,"01J9BC9WEDFZB3G6JN7B2Z89GQ",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"fcb04382-2c32-4599-9fb3-c3ac381b89ed",fc713081.AWSCSASG3E.022,22,"fc713081.AWSCSASG3E.022.xml",coursewide,,,SYBEX,"To improve the success rates for uploads to S3 buckets that are larger than 100 MB, AWS recommends you use which feature?","Multipart Upload","01J9BC9W72RE9VCWJKWF2QXTAD",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"cefa0c3b-1d92-4de6-be1a-82a0ad734600",fc713081.AWSCSASG3E.023,23,"fc713081.AWSCSASG3E.023.xml",coursewide,,,SYBEX,"________ protects data at rest within S3 buckets.","Server&hyphen;side encryption","01J9BC9W1330BFZ535P9X2N3X7",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"4121b8fc-7b70-4155-a42a-d9e97f47993b",fc713081.AWSCSASG3E.024,24,"fc713081.AWSCSASG3E.024.xml",coursewide,,,SYBEX,"True/False: Logging of all S3 bucket activity is enabled by default.",False,"01J9BC9WEEQ9050H96B52SCKE0",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"a5a08472-0b27-4494-a7d8-78c69e6b04ad",fc713081.AWSCSASG3E.025,25,"fc713081.AWSCSASG3E.025.xml",coursewide,,,SYBEX,"Which of the S3 Standard&hyphen;IA and S3 One Zone&hyphen;IA storage levels is more fault tolerant?","S3 Standard&hyphen;IA","01J9BC9WBA4TVK82CQS16K56MQ",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"1a8b2ef6-e949-4258-8d80-21338a6d954b",fc713081.AWSCSASG3E.026,26,"fc713081.AWSCSASG3E.026.xml",coursewide,,,SYBEX,"True/False: By default, when an object within an S3 bucket is overwritten, S3 uses versioning to create a copy of the overwritten version.",False,"01J9BC9T6ZQS6JHN7NKERMFA4Q",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"49c3f577-9876-415d-84c7-6fd0ae6d5f21",fc713081.AWSCSASG3E.027,27,"fc713081.AWSCSASG3E.027.xml",coursewide,,,SYBEX,"What is the preferred tool for controlling access to objects in S3 buckets?","S3 bucket policies","01J9BC9TCH3CJFHZMVN4F4JJ8X",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"b486f7fb-32d8-4ae5-99a4-94b430821be8",fc713081.AWSCSASG3E.028,28,"fc713081.AWSCSASG3E.028.xml",coursewide,,,SYBEX,"You can provide users with temporary web access to an S3&hyphen;hosted object using ________.","Pre&hyphen;signed URLs","01J9BC9VN39XQXJDZAZMBM1JZ9",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"a45b7114-5e5a-49a4-ada3-472b4d2b3320",fc713081.AWSCSASG3E.029,29,"fc713081.AWSCSASG3E.029.xml",coursewide,,,SYBEX,"Amazon Glacier provides inexpensive object storage, but what&rsquo;s the feature trade&hyphen;off?","Slow object retrieval times","01J9BC9TZS8TBG10S2CRDMK31R",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"6d860908-df61-469b-88fa-1e379411c9c3",fc713081.AWSCSASG3E.030,30,"fc713081.AWSCSASG3E.030.xml",coursewide,,,SYBEX,"A ________ is a logical segment within a VPC that&rsquo;s assigned a block of private IP addresses given to your EC2 instances.",Subnet,"01J9BC9WH6BSATDKAWSQ91WYSJ",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"66046a91-f6fa-4713-8b1a-840efbf7ac59",fc713081.AWSCSASG3E.031,31,"fc713081.AWSCSASG3E.031.xml",coursewide,,,SYBEX,"True/False: Default VPC subnets are not able to handle IPv6 CIDR blocks.",False,"01J9BC9WAEQZRZ1PGWWQSXMWJB",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"6c0f3bde-5a18-4993-8fe2-42aee1eadc62",fc713081.AWSCSASG3E.032,32,"fc713081.AWSCSASG3E.032.xml",coursewide,,,SYBEX,"EC2 instances communicate with network resources via one or more ________.","Elastic network interfaces","01J9BC9TXN2KQQ5H7FZAT3EZGX",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"704c5b47-ad34-4095-b9be-b3f163603358",fc713081.AWSCSASG3E.033,33,"fc713081.AWSCSASG3E.033.xml",coursewide,,,SYBEX,"EC2 instances connect to the Internet (via their elastic network interfaces) through an ________.","Internet gateway","01J9BC9TCJHTFR90CR94JJZ28X",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"d8db9fef-5dbf-4a0c-8476-563c24eba6da",fc713081.AWSCSASG3E.034,34,"fc713081.AWSCSASG3E.034.xml",coursewide,,,SYBEX,"What is the function of a route table within a VPC?","To facilitate network connectivity between subnets and devices using selected CIDR addresses","01J9BC9TK4A47K4SFG8FB8MXX3",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"c6991db9-2555-4515-a6f7-b81e99184ef4",fc713081.AWSCSASG3E.035,35,"fc713081.AWSCSASG3E.035.xml",coursewide,,,SYBEX,"How would you specify a source address for a security group rule to permit inbound traffic from any external IPv4 address?",0.0.0.0/0,"01J9BC9VG9DN6R12HXAAWAFX1S",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"4285918d-1520-4663-8eb9-ecc84cd9252a",fc713081.AWSCSASG3E.036,36,"fc713081.AWSCSASG3E.036.xml",coursewide,,,SYBEX,"Unlike a security group that&rsquo;s associated with an instance, a network access control list (NACL) is attached to a ________.",Subnet,"01J9BC9V65QSF84BJDPVZE3W0Y",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"80f0f2db-2352-475c-b2fb-b16f3df4ec62",fc713081.AWSCSASG3E.037,37,"fc713081.AWSCSASG3E.037.xml",coursewide,,,SYBEX,"True/False: An EC2 instance that has no public IP address can, nevertheless, be accessed from the Internet through a properly configured security group rule.",False,"01J9BC9VGJDQA27MXCQS44R5EM",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"e9d2a747-9e8c-452d-aeea-b286b7012275",fc713081.AWSCSASG3E.038,38,"fc713081.AWSCSASG3E.038.xml",coursewide,,,SYBEX,"What is the key difference between a NAT gateway and a NAT instance?","A NAT gateway is managed (and automatically scaled when necessary) by AWS, whereas a NAT instance is a normal EC2 instance you launch using an AWS AMI.","01J9BC9VVHDKVBBFNYVMM1EW2K",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"d13664c0-4ba4-4b2b-a059-2716d73d1cb7",fc713081.AWSCSASG3E.039,39,"fc713081.AWSCSASG3E.039.xml",coursewide,,,SYBEX,"VPC ________ is a tool for connecting resources living in VPCs in multiple regions to each other.",Peering,"01J9BC9XK051S4KXJ51FZEZQAY",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"1a0ff111-35bb-4412-a7a0-e53aa1e639c9",fc713081.AWSCSASG3E.040,40,"fc713081.AWSCSASG3E.040.xml",coursewide,,,SYBEX,"Amazon ________ is a MySQL&hyphen;compatible, cloud&hyphen;optimized relational database engine available for AWS RDS.",Aurora,"01J9BC9W1GWWRT7MBD1BXG2M1K",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"dd39bd85-9387-4e3a-ac7d-479fc61e22ed",fc713081.AWSCSASG3E.041,41,"fc713081.AWSCSASG3E.041.xml",coursewide,,,SYBEX,"What is the size (i.e., page size) of a single I/O operation on a MySQL or MariaDB database?","16 KB","01J9BC9TK8STFYRW2XBR34GTRD",
"772dbece-cb2b-4268-91cc-87e868e502cd",PROD,"ef061a54-421a-41d7-b69b-82ac5e778988",fc713081.AWSCSASG3E.042,42,"fc713081.AWSCSASG3E.042.xml",coursewide,,,SYBEX,"True/False: A general&hyphen;purpose SSD (<code>gp2</code>) storage volume is sufficient for most database deployments.",True,"01J9BC9V65KXM1HZMYJFVSJF9D",
