projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"7108bc78-d766-42d7-8fed-5a5d0a029485",fc718468.MSPoPoSG.001,1,"fc718468.MSPoPoSG.001.xml",coursewide,,,SYBEX,"What is the name for formatting information that you can apply to all slides?",Masters,"01J9BCW0NK5NGPZT6H1T5DTPC5",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"0c90da55-55a8-4efc-8085-e5dff0546dd9",fc718468.MSPoPoSG.002,2,"fc718468.MSPoPoSG.002.xml",coursewide,,,SYBEX,"What does PowerPoint call a predefined set of colors, fonts, and other visual effects that you can apply to a slide?",Theme,"01J9BCW0FWPGE56HE4PBMZWR6V",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"9733d1fb-5c72-46ec-9fe2-bac45b1bc65f",fc718468.MSPoPoSG.003,3,"fc718468.MSPoPoSG.003.xml",coursewide,,,SYBEX,"What does PowerPoint call predefined arrangements of content in a slide?",Layout,"01J9BCW0N6Y1C9HQZW0S8EG2YS",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"e1007ad2-6c87-477c-943a-32ac64ba089c",fc718468.MSPoPoSG.004,4,"fc718468.MSPoPoSG.004.xml",coursewide,,,SYBEX,"When you want to create a printed version of a slideshow for your audience, what do you create?","A handout","01J9BCW0530HTSQ32NFQ28REDY",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"bc559a3b-3cce-4a65-b645-187b9d3bf268",fc718468.MSPoPoSG.005,5,"fc718468.MSPoPoSG.005.xml",coursewide,,,SYBEX,"What are the five views that you can choose from in PowerPoint?","Normal View, Outline View, Slide Sorter, Notes Page, and Reading View","01J9BCW0GCEF37ZJYXRRTEV9V2",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"2b22863f-eb9d-4084-8657-eb8e4955eeaa",fc718468.MSPoPoSG.006,6,"fc718468.MSPoPoSG.006.xml",coursewide,,,SYBEX,"What can you print from a PowerPoint presentation?","Slides, notes pages, and handouts","01J9BCW0B3YDPPVH42THTK4AD0",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"926b55f7-ef62-49e9-a52f-73f38cbda3cc",fc718468.MSPoPoSG.007,7,"fc718468.MSPoPoSG.007.xml",coursewide,,,SYBEX,"What are the three printing modes in PowerPoint?","Color, Grayscale, and Pure Black and White","01J9BCW011NRP2A9XZDD558MRH",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"0e669923-7e6d-46b5-83b9-5803a070ef45",fc718468.MSPoPoSG.008,8,"fc718468.MSPoPoSG.008.xml",coursewide,,,SYBEX,"What two types of custom slideshows that can you create?","Simple and hyperlinked","01J9BCVZMXPN0ZV7VANJPA343Q",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"572f66eb-f30c-441c-9938-840df40af0ab",fc718468.MSPoPoSG.009,9,"fc718468.MSPoPoSG.009.xml",coursewide,,,SYBEX,"How do you set the time for slides to move from one to the other?","Click the Rehearse Timings icon in the Slide Show ribbon.","01J9BCVZVJTDMA0ZKD1AQNGJEA",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"2c27f339-86af-44b0-bc7c-82550abd5a62",fc718468.MSPoPoSG.010,10,"fc718468.MSPoPoSG.010.xml",coursewide,,,SYBEX,"What view opens automatically when you start a slideshow?","Presenter View","01J9BCW0GK85XKKA523M0WG68D",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"db102cfd-ced1-450a-8965-50217069b173",fc718468.MSPoPoSG.011,11,"fc718468.MSPoPoSG.011.xml",coursewide,,,SYBEX,"How do you tell people who view your presentation in PowerPoint that it is complete?","Mark the presentation as final.","01J9BCW06P6MRJNZGFP7D6Q01E",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"09087bd5-ed1f-43ea-bd77-bd7799060643",fc718468.MSPoPoSG.012,12,"fc718468.MSPoPoSG.012.xml",coursewide,,,SYBEX,"How do you protect a PowerPoint file from being edited?","Create a password that people need to edit it.","01J9BCW0CBTA5SNZNQ4RYTM8WK",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"f511d501-b86a-4d5f-b76f-227d08376fbd",fc718468.MSPoPoSG.013,13,"fc718468.MSPoPoSG.013.xml",coursewide,,,SYBEX,"Where does PowerPoint check for issues in a slideshow?","The Document Inspector dialog box","01J9BCW00PW060ZHFM4Z2F155V",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"d9c22727-b844-4f3d-af28-d300e567b71f",fc718468.MSPoPoSG.014,14,"fc718468.MSPoPoSG.014.xml",coursewide,,,SYBEX,"How do you add notes or questions in a slideshow without adding any text in slides?","Add comments.","01J9BCVZMPTA7Q83MSJA4ZA8D9",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"3d0f95bd-df9e-46fe-9ec5-6259adfe41ff",fc718468.MSPoPoSG.015,15,"fc718468.MSPoPoSG.015.xml",coursewide,,,SYBEX,"Why do you preserve presentation content?","To prevent PowerPoint from deleting master slides that you haven&rsquo;t used in a while","01J9BCVZV8VCR5Q6T1KC4MHKFN",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"dd19e47f-2ce2-404f-8018-59ffd7caef8f",fc718468.MSPoPoSG.016,16,"fc718468.MSPoPoSG.016.xml",coursewide,,,SYBEX,"To which two online document formats can you export a slideshow?","PDF and XPS","01J9BCVZMW4EM550NM8X9EYA1C",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"63f0671a-b3f1-478d-8cfc-15ff3de12c74",fc718468.MSPoPoSG.017,17,"fc718468.MSPoPoSG.017.xml",coursewide,,,SYBEX,"What is the default video resolution for an exported slideshow?",1080p,"01J9BCVZVF6HQQ59NY03HM33BX",
"f44d3352-79cf-4854-81d2-66b88cbd8fe0",PROD,"029fa81f-813d-42aa-be2a-eafab427d6a2",fc718468.MSPoPoSG.018,18,"fc718468.MSPoPoSG.018.xml",coursewide,,,SYBEX,"Into which media can you package a presentation?","A CD&hyphen;R or CD&hyphen;RW, a USB flash drive, and in a network folder such as one found on a company intranet","01J9BCVZMP251CFC6ASZH3Z58P",
