productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,f76bc933-1848-4fcc-9ea0-5a5e689c06df,fc801931.CISMSG.001,1,fc801931.CISMSG.001.xml,coursewide,,,SYBEX,What are the three main objectives of a cybersecurity program?,"Confidentiality, Integrity, and Availability",01J0JPMM0DCXEBT97JX6FVX07J,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,3102787e-c3c5-4fa6-819f-83e654290941,fc801931.CISMSG.002,2,fc801931.CISMSG.002.xml,coursewide,,,SYBEX,What term is commonly used to describe the senior&hyphen;most information security leader in an organization?,Chief Information Security Officer (CISO),01J0JPMMMCRBHVZ40RF0FGBHNH,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,b2fb9fc3-bd8a-45a1-b0fa-64e364a4c5c9,fc801931.CISMSG.003,3,fc801931.CISMSG.003.xml,coursewide,,,SYBEX,What are the four roles assigned to individuals and teams in an RACI matrix?,"Responsible, Accountable, Consulted, and Informed",01J0JPMMVNPHY82HB4VFWJ7VCF,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,1da3c56b-3d7b-4936-bfb8-1682f02e533c,fc801931.CISMSG.004,4,fc801931.CISMSG.004.xml,coursewide,,,SYBEX,What type of risk threatens to make an organization less effective at meeting its goals and objectives?,Strategic risk,01J0JPMN38KM6T9ATAG5GNNYWB,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,4e87070f-ac0d-4495-ab58-a8cc090d04cf,fc801931.CISMSG.005,5,fc801931.CISMSG.005.xml,coursewide,,,SYBEX,What technique do organizations commonly use to assess internal and external factors that might affect their cybersecurity strategy?,"Strengths, Weaknesses, Opportunities, and Threats (SWOT) analysis",01J0JPMNAXM7HHGBDBC1NQAAKG,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,e1747709-9eb2-43ba-b174-2360c16dd763,fc801931.CISMSG.006,6,fc801931.CISMSG.006.xml,coursewide,,,SYBEX,What are the levels of the CMMI model?,<div>Initial<br/>Managed<br/>Defined<br/>Quantitatively Managed<br/>Optimizing<br/></div>,01J0JPMNKSPHYM4WXZZHGAJGZW,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,c16c0a7c-34c7-43fb-8f6e-d1d9b607d702,fc801931.CISMSG.007,7,fc801931.CISMSG.007.xml,coursewide,,,SYBEX,What are the characteristics of a SMART goal?,<div>Specific<br/>Measurable<br/>Achievable<br/>Relevant<br/>Time&hyphen;bound<br/></div>,01J0JPMNVBSJ2EWTA8W4CVY2VF,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,8d146888-603a-49da-a0c2-8094808618b0,fc801931.CISMSG.008,8,fc801931.CISMSG.008.xml,coursewide,,,SYBEX,What are the three major categories of security control?,"Technical, Operational, Managerial",01J0JPMP2K7WNY1Z7DPAJFR0EK,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,3ef2e77d-23ff-492d-956c-c992be2ba4e8,fc801931.CISMSG.009,9,fc801931.CISMSG.009.xml,coursewide,,,SYBEX,What are the six types of security controls?,"Preventive, Detective, Corrective, Deterrent, Physical, and Compensating",01J0JPMPACQB7887VG0W290MKV,
4f11a775-e489-47ec-98d7-8f8cce54888f,PROD,937a7109-b6f5-4a22-9f47-73a2b69e1fb4,fc801931.CISMSG.010,10,fc801931.CISMSG.010.xml,coursewide,,,SYBEX,What technology uses mathematical algorithms to protect information from prying eyes?,Encryption,01J0JPMPJ1KCJRQVH14K4MB9FF,
