projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"c55f0bb0-bdfb-48f4-92e3-2ead633f7411",fc806950.NetPlRG5E.001,1,"fc806950.NetPlRG5E.001.xml",coursewide,,,SYBEX,"What protocol and port does SMTP use?","TCP port 25","01JA7K1EREKD8PWG15K15735B2",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"4de5cbbd-6d68-426b-bf8a-6d5258222629",fc806950.NetPlRG5E.002,2,"fc806950.NetPlRG5E.002.xml",coursewide,,,SYBEX,"What protocol and port does FTP send data from for the data channel?","TCP port 20","01JA7K1EXGWBF3FF1HVW2S9TFG",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"345e6a22-713c-41f8-b409-28cac0ee5d58",fc806950.NetPlRG5E.003,3,"fc806950.NetPlRG5E.003.xml",coursewide,,,SYBEX,"What layer 4 protocol supports reliable connections?","Transport Control Protocol (TCP)","01JA7K1F2PMKHAKTJ0KQRB4YZ3",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"605bc7d0-7fc1-4671-8f3c-e0226ffc5345",fc806950.NetPlRG5E.004,4,"fc806950.NetPlRG5E.004.xml",coursewide,,,SYBEX,"What protocol is used for logical addressing of the network?","Internet Protocol","01JA7K1E2M37J98KHZ3W2HA7KV",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"e087d2c2-ec81-48f6-95fb-5a316dd170e0",fc806950.NetPlRG5E.005,5,"fc806950.NetPlRG5E.005.xml",coursewide,,,SYBEX,"What protocol does <code>ping</code> and <code>traceroute</code> use for testing connectivity?","Internet Control Message Protocol (ICMP)","01JA7K1E84HA0ZVXSQN4DBQ73E",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"10925902-aec5-474d-8583-f8ddd0bff00a",fc806950.NetPlRG5E.006,6,"fc806950.NetPlRG5E.006.xml",coursewide,,,SYBEX,"What is the IPv6 DAD protocol used for?","DAD stands for Duplicate Address Detection","01JA7K1EDD9H0JJGYMNH2V9S7P",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"fe98c90d-2800-4eb2-92d3-4069fdfc7c34",fc806950.NetPlRG5E.007,7,"fc806950.NetPlRG5E.007.xml",coursewide,,,SYBEX,"How many bytes are in a UDP header?","8 bytes total = 16 bits for the source port, 16 bits for destination port, 16 bits for the length, and a 16&hyphen;bit checksum","01JA7K1EK2E1CE05F4PHGK9DF2",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"44b6f60a-8588-46ab-b7cf-2e66e6bdc291",fc806950.NetPlRG5E.008,8,"fc806950.NetPlRG5E.008.xml",coursewide,,,SYBEX,"How does the TCP protocol support sequencing and acknowledgment of segments?","Sliding windows","01JA7K1E1QVT4YG28W8ARXFFNQ",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"9a3c2c97-8641-4c70-881b-e38dd83beb6c",fc806950.NetPlRG5E.009,9,"fc806950.NetPlRG5E.009.xml",coursewide,,,SYBEX,"What Transport layer is connectionless and provides faster transport of datagrams?","User Datagram Protocol (UDP)","01JA7K1E6Z3SCZ2CEF6XHWBBC9",
"bc80ebb0-defe-410e-87b0-dcdf860d490a",PROD,"28aa118c-71c3-47c9-90cc-1e856d6cdbcb",fc806950.NetPlRG5E.010,10,"fc806950.NetPlRG5E.010.xml",coursewide,,,SYBEX,"What protocol is used for Microsoft Active Directory object and attribute searches?","Lightweight Directory Access Protocol (LDAP)","01JA7K1ECDMFH842Q2AMSE1756",
