projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"81ae856d-024b-4c45-b9bf-2c5d1b409537","fc736257.SecPl.SG8E.c01.01",1,"fc736257.SecPl.SG8E.c01.01.xml",coursewide,,,SYBEX,"What are three key objectives of cybersecurity programs?","Confidentiality, integrity, and availability","01JBH2R35GCE0GZC9MW60Y3AXH",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"39aeb8ff-fd72-4ccb-845b-966597123dd4","fc736257.SecPl.SG8E.c01.02",2,"fc736257.SecPl.SG8E.c01.02.xml",coursewide,,,SYBEX,"What are specific goals of confidentiality, integrity, and availability?","<div style=""text-align: left;""><ol><li>Confidentiality ensures that unauthorized individuals are not able to gain access to sensitive information</li><li>Integrity ensures that there are no unauthorized modifications to information or systems, either intentionally or unintentionally.</li><li>Availability ensures that information and systems are ready to meet the needs of legitimate users at the time those users request them.</li></ol></div>","01JBH2R3B2DKE3DF2YTXCY9NRD",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"fec22ad4-80ec-4f58-8500-2050f11ec792","fc736257.SecPl.SG8E.c01.03",3,"fc736257.SecPl.SG8E.c01.03.xml",coursewide,,,SYBEX,"What are three key threats to cybersecurity programs?","Disclosure, alteration, and denial","01JBH2R3HJE5ECNF64X3MYVVY9",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"6cd3f482-6012-47fb-8359-3750df17045e","fc736257.SecPl.SG8E.c01.04",4,"fc736257.SecPl.SG8E.c01.04.xml",coursewide,,,SYBEX,"What term describes the unauthorized modification of information?","Alteration is the unauthorized modification of information and is a violation of the principle of integrity. Denial is the unintended disruption of an authorized user&rsquo;s legitimate access to information.","01JBH2R2TW8PPW5NBV0WDN2BQX",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"a031cbee-3a95-4bd0-9c13-f4fc195ba46d","fc736257.SecPl.SG8E.c01.05",5,"fc736257.SecPl.SG8E.c01.05.xml",coursewide,,,SYBEX,"Name all five risk categories.","Financial, reputational, strategic, operational, and compliance","01JBH2R30EWSR3R2XJBR72W6VF",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"017dd6e2-39cb-430b-bb80-b6a1df2c083d","fc736257.SecPl.SG8E.c01.06",6,"fc736257.SecPl.SG8E.c01.06.xml",coursewide,,,SYBEX,"What are the three security control categories?","Technical controls, operational controls, and managerial controls","01JBH2R36HZYKAW0CPE2S9B0MR",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"6a397b1a-bd82-47d0-9f16-d37d0681c9a4","fc736257.SecPl.SG8E.c01.07",7,"fc736257.SecPl.SG8E.c01.07.xml",coursewide,,,SYBEX,"What are some examples of technical controls?","Firewall rules, access control lists, intrusion prevention systems, and encryption","01JBH2R2MA5AQ7H09G4ADSWH10",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"9a368612-965a-4fd6-a798-68cd844e3114","fc736257.SecPl.SG8E.c01.08",8,"fc736257.SecPl.SG8E.c01.08.xml",coursewide,,,SYBEX,"What are some examples of operational controls?","User access reviews, log monitoring, and vulnerability management","01JBH2R2XA9X0Q1TX7VFETZAC6",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"836d0557-c0ac-4c99-901b-56820d3155fa","fc736257.SecPl.SG8E.c01.09",9,"fc736257.SecPl.SG8E.c01.09.xml",coursewide,,,SYBEX,"What are some examples of managerial controls?","Periodic risk assessments, security planning exercises, and the incorporation of security into the organization&rsquo;s change management, service acquisition, and project management practices","01JBH2R3429D2TB7MBWE70163Y",
"d662cda8-02b5-4b9e-9efc-d691faefbb79",PROD,"eb9c13a6-56bd-417d-90df-7d58fca9bc08","fc736257.SecPl.SG8E.c01.10",10,"fc736257.SecPl.SG8E.c01.10.xml",coursewide,,,SYBEX,"Name all security control types.","Preventive controls, detective controls, corrective controls, deterrent controls, physical controls, and compensating controls","01JBH2R2X115W89R4D7AWM5803",
