productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,a79a933d-a0ac-412b-80f0-565280f8c881,fc824442.SnoProCoCeSG.001,1,fc824442.SnoProCoCeSG.001.xml,coursewide,,,SYBEX,Snowflake architecture is made up of single storage and multiple compute engines known as ________________,Virtual warehouses,01J0JQPSGMRB5YHH1ZS43C7853,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,637673c2-3d9a-4489-be66-93ae2cd6aaed,fc824442.SnoProCoCeSG.002,2,fc824442.SnoProCoCeSG.002.xml,coursewide,,,SYBEX,Snowflake architecture is composed of shared storage and multiple compute engines. This architecture is also known as __________________________.,Multicluster shared data,01J0JQPSZEYBN3C1Q4T2YMYHMQ,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,3416ada4-316e-4d50-8847-647817e277df,fc824442.SnoProCoCeSG.003,3,fc824442.SnoProCoCeSG.003.xml,coursewide,,,SYBEX,_________ and _________ can be scaled independently because of Snowflake&rsquo;s hybrid architecture.,Storage and compute,01J0JQPT7NN6JKK0SR0SM48HBE,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,e1b62c27-2c79-45d8-a527-8bb61f53651e,fc824442.SnoProCoCeSG.004,4,fc824442.SnoProCoCeSG.004.xml,coursewide,,,SYBEX,Data in Snowflake is stored on ________________.,"Object storage on Amazon Web Services, Microsoft Azure, and Google Cloud Platform",01J0JQPTGDCT2GNZX9699F9NZX,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,fcb3b5c1-e84c-4f48-9bb3-6c2a25e11053,fc824442.SnoProCoCeSG.005,5,fc824442.SnoProCoCeSG.005.xml,coursewide,,,SYBEX,Snowflake supports which three cloud platforms?,"Amazon Web Services, Microsoft Azure, and Google Cloud Platform",01J0JQPTZ3HNAY9SS6G98WTZZE,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,3b066777-bb66-40d6-87c0-d9a9a729877e,fc824442.SnoProCoCeSG.006,6,fc824442.SnoProCoCeSG.006.xml,coursewide,,,SYBEX,What are the three major layers in Snowflake architecture?,"Database Storage, Query Processing, and Cloud Services",01J0JQPVF7MQ1YY9DP28VKWGGA,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,a283b072-18fb-4ae3-841f-6f4e2a688094,fc824442.SnoProCoCeSG.007,7,fc824442.SnoProCoCeSG.007.xml,coursewide,,,SYBEX,What are the three cloud&hyphen;based object stores that Snowflake supports for storing its data?,"AWS S3, Azure Blob Storage, and Google Cloud Storage",01J0JQPVNZ7911GAP5MTK63K66,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,402a9e47-d091-408c-8a5c-a4c9d684f097,fc824442.SnoProCoCeSG.008,8,fc824442.SnoProCoCeSG.008.xml,coursewide,,,SYBEX,What is the maximum volume of data that can be stored in a Snowflake&hyphen;based implementation?,"Virtually unlimited since the data is stored on cloud&hyphen;based object storage, which itself is virtually unlimited",01J0JQPVY64MG62830RMADXNNN,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,46f0a324-7722-4e50-b61e-f4011330fb64,fc824442.SnoProCoCeSG.009,9,fc824442.SnoProCoCeSG.009.xml,coursewide,,,SYBEX,True/False: Multiple compute engines (virtual warehouses) can be active at the same time.,True: Snowflake allows multiple compute engines.,01J0JQPW7MGPENBZR7APZZ4PD0,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,c8da8537-4cbc-4fdb-817f-225dff422a2e,fc824442.SnoProCoCeSG.010,10,fc824442.SnoProCoCeSG.010.xml,coursewide,,,SYBEX,True/False: Compute and storage can be scaled independently in Snowflake.,True. Snowflake uses hybrid architecture consisting of shared storage and multiple compute clusters. Either can be scaled independently of the other.,01J0JQPWEWGWHS49SRGT62EWTC,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,e842ed81-f843-41ff-ac7e-230d5ec3e8b3,fc824442.SnoProCoCeSG.011,11,fc824442.SnoProCoCeSG.011.xml,coursewide,,,SYBEX,"Which Snowflake layer manages the metadata about how data is stored, information on micro&hyphen;partitions, and metadata regarding databases and tables?",The Cloud Services layer stores this metadata as the brain of the operations and has many other functions as well.,01J0JQPWPBM6WMDA89HFPAYBKC,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,cc61b03b-3f23-4aab-afdd-4fd75a37f7ce,fc824442.SnoProCoCeSG.012,12,fc824442.SnoProCoCeSG.012.xml,coursewide,,,SYBEX,Which Snowflake layer manages the authentication and authorization?,The Cloud Services layer provides this capability in Snowflake.,01J0JQPWX7HDWRZDNW3EF0PA37,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,5c26000b-38fa-495c-8308-cb047933b265,fc824442.SnoProCoCeSG.013,13,fc824442.SnoProCoCeSG.013.xml,coursewide,,,SYBEX,_____________________ is the Snowflake layer that is responsible for optimizing and dispatching queries for execution.,The Cloud Services layer is responsible for generating query plans and optimizing and dispatching queries for execution.,01J0JQPX4S9Q5P9NJV65MKY3Q5,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,3f5ec8f0-2c22-48a2-b230-5126ee204b07,fc824442.SnoProCoCeSG.014,14,fc824442.SnoProCoCeSG.014.xml,coursewide,,,SYBEX,Snowflake uses partitions to store data. What are these partitions called?,Micro&hyphen;partitions,01J0JQPXCB48NS5BD0KQJDZ2FD,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,f29572a6-9afa-4425-ab78-124c88b39707,fc824442.SnoProCoCeSG.015,15,fc824442.SnoProCoCeSG.015.xml,coursewide,,,SYBEX,True/False: Micro&hyphen;partitions are immutable and cannot be changed once created.,True. Micro&hyphen;partitions are immutable.,01J0JQPXKXMCSXZ1WXKZJ2AN8W,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,b7a0fc33-d958-4eed-ad26-cc58d3546ce4,fc824442.SnoProCoCeSG.016,16,fc824442.SnoProCoCeSG.016.xml,coursewide,,,SYBEX,True/False: Data in micro&hyphen;partitions is stored compressed.,True. Snowflake automatically compresses data in a micro&hyphen;partition.,01J0JQPXW19PWYQH9XD573EQ52,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,93e48371-33c3-4353-ac0d-254610ca7cac,fc824442.SnoProCoCeSG.017,17,fc824442.SnoProCoCeSG.017.xml,coursewide,,,SYBEX,Each micro&hyphen;partition contains _____ MB to ____ MB of uncompressed data.,"50, 500",01J0JQPY3DFAPQBWEFAY5Q99FH,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,fd9f237c-b0cc-4f88-ad98-76b9143f8f35,fc824442.SnoProCoCeSG.018,18,fc824442.SnoProCoCeSG.018.xml,coursewide,,,SYBEX,"True/False: For very large tables, there can be millions of micro&hyphen;partitions","True. For very large tables, micro&hyphen;partitions can run into millions or hundreds of millions.",01J0JQPYCCYZFYWF7ZZD1VREX8,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,15bd8617-c8c3-4ee9-8924-f074aa9b872e,fc824442.SnoProCoCeSG.019,19,fc824442.SnoProCoCeSG.019.xml,coursewide,,,SYBEX,Snowflake stores columns in each micro&hyphen;partition in a __________ storage format.,"Columnar storage format, which allows Snowflake to optimize queries by fetching only the columns referenced in a query.",01J0JQPYKC3E4FBZFY7D5Y61JG,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,faa61fd6-59dc-47d2-bee2-9164dad9328c,fc824442.SnoProCoCeSG.020,20,fc824442.SnoProCoCeSG.020.xml,coursewide,,,SYBEX,True/False: Column values in micro&hyphen;partitions can overlap between different micro&hyphen;partitions.,"True. Unlike typical partitioning, column values in micro&hyphen;partitions can overlap.",01J0JQPYWRP6A9E10PRNAAY0JQ,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,97c7663a-cbf9-4f89-8348-4f7f41e05f43,fc824442.SnoProCoCeSG.021,21,fc824442.SnoProCoCeSG.021.xml,coursewide,,,SYBEX,True/False: Micro&hyphen;partitions are added in the order of how the data was added to a table.,True. Micro&hyphen;partitions are created and added to a table in order of the arrival of new data.,01J0JQPZ3S7JYA7PA0CQ0S8584,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,d995fce9-59d3-4452-8535-0d3a019ec085,fc824442.SnoProCoCeSG.022,22,fc824442.SnoProCoCeSG.022.xml,coursewide,,,SYBEX,Snowflake maintains metadata for each micro&hyphen;partition. The metadata contains the range of ______________.,"Column values. Snowflake maintains the metadata and stores the maximum and the minimum value for each column, the count of distinct values, and other information.",01J0JQPZAWYRBANAA98DS3BTVC,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,f0639a97-638c-4418-bdf4-943179bfbef8,fc824442.SnoProCoCeSG.023,23,fc824442.SnoProCoCeSG.023.xml,coursewide,,,SYBEX,True/False: Data is automatically clustered in Snowflake.,True. Snowflake automatically clusters data in a table. Clustering keys can be defined to re&hyphen;cluster the data.,01J0JQPZHZ085V5M46G769CZR2,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,82a45b05-7108-4514-9611-26fe203767ba,fc824442.SnoProCoCeSG.024,24,fc824442.SnoProCoCeSG.024.xml,coursewide,,,SYBEX,"A virtual warehouse provides resources such as _______, _________ and temporary storage to process queries.","CPU, memory",01J0JQPZSAXZY9K3XKXJV876B9,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,b86db444-1975-4007-a5b1-149406ea7735,fc824442.SnoProCoCeSG.025,25,fc824442.SnoProCoCeSG.025.xml,coursewide,,,SYBEX,"An X&hyphen;Small virtual warehouse consists of ________ node(s), and a Small virtual warehouse consist of _______ node(s).","one, two. Virtual warehouse sizes are in T&hyphen;shirt sizes, and the number of nodes doubles with each increase in T&hyphen;shirt size.",01J0JQQ00ZNZQ4SE16RB8H3YQ3,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,b341b83d-9e2f-44a1-b616-c04992a71f9b,fc824442.SnoProCoCeSG.026,26,fc824442.SnoProCoCeSG.026.xml,coursewide,,,SYBEX,"True/False: A virtual warehouse can be resized at any time, whether they are running or suspended.","True. A virtual warehouse can be resized at any time. Note that if queries are running on a virtual warehouse and it is resized to a smaller size, the actual resize occurs once the query has finished executing.",01J0JQQ08GEWSPRMZ45DCMXKDQ,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,8bc20ab5-a1d3-4a22-9839-3c1895db8e18,fc824442.SnoProCoCeSG.027,27,fc824442.SnoProCoCeSG.027.xml,coursewide,,,SYBEX,"When a virtual warehouse is resized, are existing queries impacted?",No. The new size impacts only new queries.,01J0JQQ0F1A7185VC5YQN57658,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,df8a6086-c5da-4acd-8c96-3bcf229a0a6e,fc824442.SnoProCoCeSG.028,28,fc824442.SnoProCoCeSG.028.xml,coursewide,,,SYBEX,"True/False: When a virtual warehouse is resized to a smaller size, nodes are removed only when all active queries on those nodes are finished.",True. Active queries are allowed to finish before nodes are deprovisioned.,01J0JQQ0PQBRAAA9Q4XZETR61H,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,d8e47de2-4856-47aa-bd0e-d68f0050a4c0,fc824442.SnoProCoCeSG.029,29,fc824442.SnoProCoCeSG.029.xml,coursewide,,,SYBEX,Snowflake credits are billed on a per&hyphen; _________ basis.,Second. Credits are billed on a per&hyphen;second basis. Note that a minimum of 60&hyphen;second billing applies.,01J0JQQ0ZAMEWWB08G3E02TVN9,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,2da1cbcb-2532-40dc-906e-325488f25186,fc824442.SnoProCoCeSG.030,30,fc824442.SnoProCoCeSG.030.xml,coursewide,,,SYBEX,A virtual warehouse is started and stopped within 10 seconds. The customer will be charged for _________ seconds.,60. A minimum of 60 seconds of billing applies.,01J0JQQ16M67YGM014FCCD59MN,
c535f28f-12c8-48cb-9d8d-8c81ed22e039,PROD,9cd1d4fc-8d76-4130-b957-da300f1188a6,fc824442.SnoProCoCeSG.031,31,fc824442.SnoProCoCeSG.031.xml,coursewide,,,SYBEX,A virtual warehouse is started and stopped after 70 seconds. The customer will be charged for _________ seconds.,"70. After the first minute, Snowflake supports per&hyphen;second billing.",01J0JQQ1F48AYJ8TR7AW0D6VMS,
