projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"2c47693a-4dde-4ce0-acf4-5b87e242a40e",fc878940.LinplSG5E.001,1,"fc878940.LinplSG5E.001.xml",coursewide,,,SYBEX,"Explain what a daemon is in Linux.","A daemon is a process that continually runs in the background providing a service.","01J8M8ERERATFQ980ZZ9MBZ7XQ",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"a2ed3f6e-3f9a-466a-90a0-c84d0507dcf9",fc878940.LinplSG5E.002,2,"fc878940.LinplSG5E.002.xml",coursewide,,,SYBEX,"Name two popular open source web server packages commonly used in Linux.","The Apache, <code>nginX</code>, and <code>lighttpd</code> packages are common web servers used on Linux systems.","01J8M8ERMZZMS2FS60ETCJGEFQ",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"f8efe2c3-a66d-4c76-ada6-91c94d384843",fc878940.LinplSG5E.003,3,"fc878940.LinplSG5E.003.xml",coursewide,,,SYBEX,"Which open source database server package became well known for its speed of processing data requests?","The MySQL database server uses the MyISAM storage engine to process simple data requests quickly.","01J8M8ERC9Y2PKA21MNRQHR7JG",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"b31b5bdc-1335-4014-be92-4c6d2c651efc",fc878940.LinplSG5E.004,4,"fc878940.LinplSG5E.004.xml",coursewide,,,SYBEX,"What open source file server package emulates a Microsoft Windows server for sharing files and printers on Windows networks?","The Samba package utilizes the SMB protocol and can act as a Windows server for Windows workstations.","01J8M8ERJ741KB1MAG8QZHZP6A",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"452c46f1-286c-4e45-bf3f-4b12721a55b4",fc878940.LinplSG5E.005,5,"fc878940.LinplSG5E.005.xml",coursewide,,,SYBEX,"When you type the command <b><code>ssh rich@myhost.com</code></b>, what are you doing?","The <code>ssh</code> command is part of the OpenSSH package, which attempts to create a secure remote console connection to the specified host, using the specified user account.","01J8M8ER7C5X3QVB8HNGA71BNQ",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"45f943a0-8fec-4fb8-9923-aa6d54b50913",fc878940.LinplSG5E.006,6,"fc878940.LinplSG5E.006.xml",coursewide,,,SYBEX,"To copy an entire directory, add the _____ option to the <code>cp</code> command.","<code>-r</code> or <code>-R</code>","01J8M8ERDC4MH93D1B2F3494ZH",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"b1e58a88-7181-4375-a522-045c0dc9699b",fc878940.LinplSG5E.007,7,"fc878940.LinplSG5E.007.xml",coursewide,,,SYBEX,"To copy a large file, the _____ utility will do the job quickly.",<code>rsync</code>,"01J8M8ERMCTGVJ9095GEDJXXQ2",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"c32d9735-0696-4488-b805-ee21f13cccfb",fc878940.LinplSG5E.008,8,"fc878940.LinplSG5E.008.xml",coursewide,,,SYBEX,"To have the <code>rm</code> command ask before deleting a file, add the _____ option.","<code>-i</code> or <code>--interactive</code>","01J8M8ERK509JQY2CRSDBGP9CR",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"aa2aaa7d-96bf-4111-9fc0-b3d6529c803e",fc878940.LinplSG5E.009,9,"fc878940.LinplSG5E.009.xml",coursewide,,,SYBEX,"If you have changed your present working directory to a new location and want to go back to the previous directory, enter the _____ command (include the command and any needed options or arguments).","<code>cd -</code>","01J8M8ERS727WV7D15BNRHAXHG",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"4f40e81c-f532-4e7c-a3ed-efc325fce8cb",fc878940.LinplSG5E.010,10,"fc878940.LinplSG5E.010.xml",coursewide,,,SYBEX,"You&rsquo;ve created a hard link to the file, <code>A.txt</code>, and called it <code>B.txt</code>. Enter the _____ command to see the file names and their shared inode number (include the command and any needed options or arguments).","<code>ls -i A.txt B.txt</code>","01J8M8ERDQ1YE0HTM95GX045HQ",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"e6ecf093-3dfa-4c21-917a-2a99c6c3d675",fc878940.LinplSG5E.011,11,"fc878940.LinplSG5E.011.xml",coursewide,,,SYBEX,"Which pager utility lets you go backward through a file?",<u><code>less</code></u>,"01J8M8ERKS7ET966VVBBP42Y0M",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"0e10b4e4-6c5c-4e9c-a685-a675b68dee14",fc878940.LinplSG5E.012,12,"fc878940.LinplSG5E.012.xml",coursewide,,,SYBEX,"Which command allows you to locate files based on their metadata?",<u><code>find</code></u>,"01J8M8ER1V03D8YRWK0MVTJ7R8",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"3476f5a6-083e-4ad9-a203-b667126833be",fc878940.LinplSG5E.013,13,"fc878940.LinplSG5E.013.xml",coursewide,,,SYBEX,"The _____ option on the <code>cut</code> command designates each record&rsquo;s file delimiter.","<code>-d</code> or <code>--delimiter</code>","01J8M8ER7XDYZK4DDMVVM8Y1J0",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"564b6f21-1405-4939-8527-dfcbec60e195",fc878940.LinplSG5E.014,14,"fc878940.LinplSG5E.014.xml",coursewide,,,SYBEX,"To find and display to STDOUT any records in the file <code>Stuff.txt</code> that begin with the word <code>Hello</code>, issue the _____ command (include the command and any needed options or arguments).","<code>grep ^Hello Stuff.txt</code>","01J8M8ERBREPGQQCW9S3K2EG4S",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"1833a303-0908-46e5-9ebe-74851667d1fb",fc878940.LinplSG5E.015,15,"fc878940.LinplSG5E.015.xml",coursewide,,,SYBEX,"The _____ option on the <code>cat</code> command will display any nonprinting characters in the file to STDOUT.","<code>-v</code> or <code>--show-nonprinting</code>","01J8M8ERJ8H30EJ6ADHJRS8838",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"54780ac6-4220-4a44-9527-ddbbababd466",fc878940.LinplSG5E.016,16,"fc878940.LinplSG5E.016.xml",coursewide,,,SYBEX,"To display and format a single text line, use the _____ command.","<u><code>printf</code></u>","01J8M8ERA7SG5NZ427DVZK3A1F",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"a7e02fc2-ccda-4976-9640-d2846e1b375e",fc878940.LinplSG5E.017,17,"fc878940.LinplSG5E.017.xml",coursewide,,,SYBEX,"To search through the file <code>Egg.txt</code>, display records that end in the word <code>Organic</code>, and put any error messages into the black hole, enter the _____ command (include the command and any needed options or arguments).","<code>grep Organic$ Egg.txt 2> /dev/null</code>","01J8M8ERFQWTABM6RA7ADE273W",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"a691a3e5-58e6-404b-a7d3-99c611e76cad",fc878940.LinplSG5E.018,18,"fc878940.LinplSG5E.018.xml",coursewide,,,SYBEX,"To search through the file <code>Egg.txt</code>, display records that end in the word <code>Organic</code>, and save the results to <code>Organic.txt</code>, enter the _____ command (include the command and any needed options or arguments).","<code>grep Organic$ Egg.txt | tee Organic.txt</code>","01J8M8ERNASCRVWK151486ZPWB",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"222faea5-f3a7-41b3-82dc-03c8b1444047",fc878940.LinplSG5E.019,19,"fc878940.LinplSG5E.019.xml",coursewide,,,SYBEX,"Name the methods for creating commands.","Three methods for creating commands are <code>xargs</code>, backticks (<code>``</code>), and the <code>$()</code> format.","01J8M8ER9T35DMK0RF5N10PM8S",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"e93567bc-e5f6-44d1-abaa-0fa7fff9fca1",fc878940.LinplSG5E.020,20,"fc878940.LinplSG5E.020.xml",coursewide,,,SYBEX,"Name the ways in the Vim editor to save the editor&rsquo;s buffer to disk and exit the editor.","ZZ keystrokes in command mode <div>:x keystrokes in command mode<br/>:wq keystrokes in command mode<br/></div>","01J8M8ERFM2S6GNZQY6ZRWT3HD",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"ebbdb40c-f7c8-4947-a104-861a53043203",fc878940.LinplSG5E.021,21,"fc878940.LinplSG5E.021.xml",coursewide,,,SYBEX,"What information does the <code>dmesg</code> command provide?","The <code>dmesg</code> command displays the kernel ring buffer, which contains kernel event messages. This provides a way for you to observe any error messages produced by the kernel when the system boots.","01J8M8EQY57WFE10EC6X1NF21R",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"5fcc2b19-181d-45fa-a8fb-91f5e4c20dee",fc878940.LinplSG5E.022,22,"fc878940.LinplSG5E.022.xml",coursewide,,,SYBEX,"What bootloader is currently the most popular method for booting a Linux system?",GRUB2,"01J8M8ER404ZRWV9PG2Z749QF9",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"454ab78a-172b-4efa-b726-3affe4e491f1",fc878940.LinplSG5E.023,23,"fc878940.LinplSG5E.023.xml",coursewide,,,SYBEX,"Where are the bootloader files stored in a Linux system running on a UEFI workstation?","The Universal Extensible Firmware Interface (UEFI) uses a separate partition, called the EFI System Partition (ESP), to store bootloader programs. On Linux systems, the EFI is typically mounted in the <code>/boot/efi</code> directory.","01J8M8EPW326JF0959S2MRSY06",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"2379c32b-f51b-415f-824b-813f11b687eb",fc878940.LinplSG5E.024,24,"fc878940.LinplSG5E.024.xml",coursewide,,,SYBEX,"What does the <code>grub-mkconfig</code> command create?","The <code>grub-mkconfig</code> command reads configuration files stored in the <code>/etc/grub.d</code> directory and assembles them into a single configuration file. You must redirect the output of the <code>grub-mkconfig</code> command to the <code>/boot/grub/grub.cfg</code> file.","01J8M8EQ5A56S42M1P3HG3H5MR",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"84172a7e-adfe-4992-9213-c14fd7033b56",fc878940.LinplSG5E.025,25,"fc878940.LinplSG5E.025.xml",coursewide,,,SYBEX,"How do you force a Linux system to boot into single&hyphen;user mode?","At the GRUB boot menu, press E to edit the configuration. Add the <code>single</code> command to the Linux line in the boot menu. Save the change and then reboot the system.","01J8M8EQQDTCRTZGS5HJW5N1GK",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"ac7d1485-9110-4d1e-a6fe-066edeecf7df",fc878940.LinplSG5E.026,26,"fc878940.LinplSG5E.026.xml",coursewide,,,SYBEX,"The _____ utility allows you to view and manage systemd services.",<code>systemctl</code>,"01J8M8EQBDN926NWZ1R38HD51T",
"84bb3c1e-5f1e-43e7-a419-a49a934bf89d",PROD,"89845e6b-2b89-422c-a76d-c79a9358a5ea",fc878940.LinplSG5E.027,27,"fc878940.LinplSG5E.027.xml",coursewide,,,SYBEX,"On a systemd system, the ______ boot target provides multiple users access to the system via local terminals and/or through the network, and GUI access is offered.","<code>graphical.target</code>","01J8M8EQHA1GYMEBVGR7XPZJ1P",
