productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"551161a7-cc06-4497-affa-ab6953ec4f05","fc180059.DataSyspl.SG.001",1,"fc180059.DataSyspl.SG.001.xml",coursewide,,,SYBEX,"What is the function of data systems?","The capability to store, process, and analyze data efficiently and effectively.","01J06DXD0STAGFNH4TGCA72NVB",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"b4e68a66-30c3-4387-8df4-ff8db5b444cc","fc180059.DataSyspl.SG.002",2,"fc180059.DataSyspl.SG.002.xml",coursewide,,,SYBEX,"What are data systems professionals responsible for?","Examining business needs, selecting data tools, designing, deploying, monitoring, managing, and securely maintaining database systems, and ensuring data security and availability.","01J06DXDFFPZFC0MFAR8E6A2J2",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"e4c4f8af-4692-42b5-b4b6-c2aa95f1b145","fc180059.DataSyspl.SG.003",3,"fc180059.DataSyspl.SG.003.xml",coursewide,,,SYBEX,"What are the three pillars that allow data analytics to thrive?","Massive volumes of daily generated data, cost&hyphen;effective storage, and expandable computing power.","01J06DXEFKKR59W68F26SJEYFS",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"99fd4af0-1726-45cb-8937-27770853582a","fc180059.DataSyspl.SG.004",4,"fc180059.DataSyspl.SG.004.xml",coursewide,,,SYBEX,"What does Moore&rsquo;s law translate to for computing technology?","The number of transistors on a single device will double every two years.","01J06DXF7CD824T000YG4AJ6MF",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"aaced236-03cc-46b0-a3db-11dcef618c7a","fc180059.DataSyspl.SG.005",5,"fc180059.DataSyspl.SG.005.xml",coursewide,,,SYBEX,"How do relational databases organize data?","Relational databases use related tables of information to organize data.","01J06DXFFVMFJ5WF6R143RH8T1",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"7a9b425e-285b-4896-9114-849a5bff21ff","fc180059.DataSyspl.SG.006",6,"fc180059.DataSyspl.SG.006.xml",coursewide,,,SYBEX,"How do nonrelational databases, such as NoSQL types, organize data?","NoSQL&hyphen;type data is organized as document databases, key&hyphen;value stores, column&hyphen;oriented databases, and graph databases instead of using related tables.","01J06DXFQ505Y3BATE8586AK8H",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"b36526ae-4648-4fb3-a67e-e1bd4a174141","fc180059.DataSyspl.SG.007",7,"fc180059.DataSyspl.SG.007.xml",coursewide,,,SYBEX,"What are the two major sublanguages of Structured Query Language (SQL)?","Data Definition Language (DDL) and Data Manipulation Language (DML).","01J06DXG00X8ZPE84VJ8AZJA8K",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"566828e6-7ba1-47a3-a9e2-70f9a824a14f","fc180059.DataSyspl.SG.008",8,"fc180059.DataSyspl.SG.008.xml",coursewide,,,SYBEX,"What is the function of Data Definition Language (DDL)?","DDL is used to define and alter the structure of databases.","01J06DXG9B7924XXBTB2W215ZT",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"b629f389-c711-4ecd-a6c9-d4fcfeaf7107","fc180059.DataSyspl.SG.009",9,"fc180059.DataSyspl.SG.009.xml",coursewide,,,SYBEX,"What is the function of Data Manipulation Language (DML)?","DML is used to insert, update, delete, and retrieve data from a database.","01J06DXGJ02QPJ3R0SDXPS4EW6",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"9cb5e0f7-e99f-43d7-9f7c-e483dd71ec9a","fc180059.DataSyspl.SG.010",10,"fc180059.DataSyspl.SG.010.xml",coursewide,,,SYBEX,"What is done during requirements gathering?","Collecting information from stakeholders to determine the basic parameters of the data system.","01J06DXGS83767NFQNDEV8PE9Y",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"bdf469fe-e52e-4cbd-8317-1d9eabfa2c0f","fc180059.DataSyspl.SG.011",11,"fc180059.DataSyspl.SG.011.xml",coursewide,,,SYBEX,"What database feature speeds up common queries?",Indexes.,"01J06DXH6A17Q33BKV2DWRFSC2",
"4214ea84-223f-4bc5-833c-0c1fc854b452",PROD,"a919185e-55bf-42d4-b42d-ed9c0aebb5e5","fc180059.DataSyspl.SG.012",12,"fc180059.DataSyspl.SG.012.xml",coursewide,,,SYBEX,"What technical and administrative tools are used to obscure sensitive data elements?","Encryption and data masking.","01J06DXHFMZYZ8N1JWB122QDPQ",
