productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"c34697e1-2a35-4ebf-ba1b-54fc889b7688",fc180219.MCECyArSG.001,1,"fc180219.MCECyArSG.001.xml",coursewide,,,SYBEX,"To keep up with the complexity of today&rsquo;s business environment, organizations need a new security model that protects data, people, devices, and apps regardless of location. Which approach addresses this need?","Zero Trust","01J08T31AQNMW4K20MNBEHJJXM",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"7ae1897f-1c66-444b-80e2-e473ce46767a",fc180219.MCECyArSG.002,2,"fc180219.MCECyArSG.002.xml",coursewide,,,SYBEX,"When it comes to cloud computing in the context of security, there are three main types: ____________, ___________, and ____________.","Public, private, and hybrid","01J08T31SRKCKNFN8ZPEBJYCC9",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"014a2374-be54-4a8a-b3b5-0793e59eeda4",fc180219.MCECyArSG.003,3,"fc180219.MCECyArSG.003.xml",coursewide,,,SYBEX,"True or False: An enterprise can leverage multi&hyphen;cloud providers and integrate them with computing models to satisfy their requirements.","True: Enterprises are adopting a multi&hyphen;cloud strategy that is more appropriate for picking the right services and integrating them well.","01J08T323Q29S5VZR7GPYCDAJC",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"85625e24-0a7b-4fee-939b-d6b5dbd4a20a",fc180219.MCECyArSG.004,4,"fc180219.MCECyArSG.004.xml",coursewide,,,SYBEX,"The authentication and authorization process should always be based on all available data points, including the user&rsquo;s identity, location, the device&rsquo;s health, the service or workload, the classification of the data, and anomalies. Which principles of Zero Trust define this?","Verify explicitly","01J08T32BRKYMPS4FRTKGK1GBT",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"b3aafe34-ae7d-49dd-98b3-ff2a8d2435a0",fc180219.MCECyArSG.005,5,"fc180219.MCECyArSG.005.xml",coursewide,,,SYBEX,"True or False: Azure subscriptions requires Microsoft approval to allocate resources.","False: Subscription to Microsoft Azure doesn&rsquo;t require any approval from Microsoft; they are self&hyphen;service capabilities that are be enabled through the Internet. It doesn&rsquo;t require complex contracting procedures as well.","01J08T32MGN4F5MFNGDZP7B4TD",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"2213e10f-985b-433e-9617-77a3d99b2193",fc180219.MCECyArSG.006,6,"fc180219.MCECyArSG.006.xml",coursewide,,,SYBEX,"Data and productivity can be secured with just&hyphen;in&hyphen;time and just&hyphen;enough&hyphen;access (JIT/JEA), risk&hyphen;based adaptive policies, and data protection. Which principles of Zero Trust defines this?","Use least privileged access","01J08T32YZ5FZZ9RBT3PMM3ETE",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"3fd45076-9aea-4c8b-b745-f4b424c259d7",fc180219.MCECyArSG.007,7,"fc180219.MCECyArSG.007.xml",coursewide,,,SYBEX,"To get visibility, drive threat detection, and improve defenses, maximize blast radius, and segment access. Which principles of Zero Trust define this?","Assume breach","01J08T3365WR64DV0PQ08Q7H48",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"adf0c24f-9a40-4b8c-8d4f-2b7149348f3d",fc180219.MCECyArSG.008,8,"fc180219.MCECyArSG.008.xml",coursewide,,,SYBEX,"In which Azure service do you assign identity and conditional access controls to your people, apps, and processes, as well as your devices?","Azure Active Directory","01J08T33DJ4YYRKK732ZNCYDAW",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"3d41aae7-2752-4d9c-a8be-9be605092ba0",fc180219.MCECyArSG.009,9,"fc180219.MCECyArSG.009.xml",coursewide,,,SYBEX,"Which Azure services can you use to ensure that devices and installed apps meet your security and compliance policy requirements, regardless of whether your organization or the user owns the device?","Microsoft Endpoint Manager","01J08T33N0H2Y3CPRP45M2GR1N",
"56ed0433-a755-4ea0-980b-a2750abc4637",PROD,"b8b86f08-96ea-4568-a014-2ca07ff47e7c",fc180219.MCECyArSG.010,10,"fc180219.MCECyArSG.010.xml",coursewide,,,SYBEX,"True or False: A privileged access strategy must consist of quick wins and incremental progress as per Microsoft recommendations.","True: As per Microsoft recommendations on building a privileged access strategy, a privileged access strategy is a journey that must be composed of quick wins and incremental progress. Each step in your privileged access strategy must take you closer to &ldquo;sealing&rdquo; out persistent and flexible attackers from privileged access, who are like water trying to seep into your environment through any available weakness.","01J08T33WKXF5RWX7QP46SZXR4",
