productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224367,724858 RELE FD4E_fc_001,1,QUE_224367.xml,topic,Flashcards,1,DUMMIES,abstract of title ,"a report based on what was found in a title search, which is an investigation of the legal records concerning the title to a property",01HZH3K7DC7C8JVMGXN3ZA90XN,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224368,724858 RELE FD4E_fc_002,2,QUE_224368.xml,topic,Flashcards,1,DUMMIES,acceleration clause,a clause in a mortgage loan that allows the lender to declare the entire balance of the loan due immediately once the loan is declared in default after the borrower misses a certain number of payments,01HZH3K7XMT9TJS52EGD8WGP8W,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224369,724858 RELE FD4E_fc_003,3,QUE_224369.xml,topic,Flashcards,1,DUMMIES,accessory building,"a separate building on a property that supports or is related to the main use of the property, such as a free-standing garage on a residential property",01HZH3K8PTX4193QNHQVH93WXB,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224370,724858 RELE FD4E_fc_004,4,QUE_224370.xml,topic,Flashcards,1,DUMMIES,accretion,the gaining of land due to natural forces,01HZH3K923SVR8FPNQA3EM50XB,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224371,724858 RELE FD4E_fc_005,5,QUE_224371.xml,topic,Flashcards,1,DUMMIES,accrued depreciation,the total loss in value of a building from all causes; part of the cost approach to value.,01HZH3K982SMQQH7M5QH76ZGWD,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224372,724858 RELE FD4E_fc_006,6,QUE_224372.xml,topic,Flashcards,1,DUMMIES,accrued item,"in terms of proration at a real estate closing, an item that is owed by the seller but paid by the buyer",01HZH3K9E2MSH5N36BY7E0KFB3,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224373,724858 RELE FD4E_fc_007,7,QUE_224373.xml,topic,Flashcards,1,DUMMIES,acknowledgement,"in a deed, an indication that shows proof of witnessing the signature of the grantor",01HZH3K9M0XXK77PV4WJV19AQB,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224374,724858 RELE FD4E_fc_008,8,QUE_224374.xml,topic,Flashcards,1,DUMMIES,actual eviction,"an eviction where the landlord takes legal action, generally through a lawsuit, to re-possess the premises",01HZH3K9SZWFAPKXRC21RMKA4E,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224375,724858 RELE FD4E_fc_009,9,QUE_224375.xml,topic,Flashcards,1,DUMMIES,<em>ad valorum</em>,a term used in connection with real estate taxes that are based on the value of the property,01HZH3KA01MJAA2BQ2YJ73QHVG,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224376,724858 RELE FD4E_fc_010,10,QUE_224376.xml,topic,Flashcards,1,DUMMIES,add on factor,the percentage that is added to the useable space to arrive at the rentable space in a commercial building,01HZH3KA610K9N5FP6HM6Z5K44,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224377,204113 RELE FD5E_fc_011,11,QUE_224377.xml,topic,Flashcards,1,DUMMIES,adjustable-rate mortgage,A mortgage loan in which the interest rate can change throughout the life of the loan.,01HZH3KAC0KD7ASC78GAM8TZA1,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224378,724858 RELE FD4E_fc_012,12,QUE_224378.xml,topic,Flashcards,1,DUMMIES,adjustment process,the process used in the sales comparison approach where values are added to or subtracted from comparables to account for the differences from the property being appraised,01HZH3KAHZHZNR1792Z3MFB9BF,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224379,724858 RELE FD4E_fc_013,13,QUE_224379.xml,topic,Flashcards,1,DUMMIES,adverse possession,the claim of ownership of one person&rsquo;s property by another based on how the encroaching person is using it and the length of time involved.,01HZH3KAR1JY6DD5D7FHV22WB4,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224380,204113 RELE FD5E_fc_014,14,QUE_224380.xml,topic,Flashcards,1,DUMMIES,agency by estoppel,An agency created when the principal doesn&rsquo;t stop the agent from going beyond their normal duties thereby giving the impression that an agency relationship has been created.,01HZH3KAY1FT0D302C633FZ8RR,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224381,724858 RELE FD4E_fc_015,15,QUE_224381.xml,topic,Flashcards,1,DUMMIES,agency by ratification,an agency created by accepting the circumstances after the fact,01HZH3KB4B64GWE1EG1PSVZNSY,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224382,724858 RELE FD4E_fc_016,16,QUE_224382.xml,topic,Flashcards,1,DUMMIES,agency coupled with an interest,an agency relationship where the agent has some kind of interest in the property being sold,01HZH3KBB2RRZGWD1YSFWSW5R0,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224383,724858 RELE FD4E_fc_017,17,QUE_224383.xml,topic,Flashcards,1,DUMMIES,agency relationship,"the relationship between the agent and the client &mdash; in real estate, the broker and the buyer client or seller client. The salesperson is the subagent of the buyer client or seller client.",01HZH3KBH27Y1J3ESZBZ5SY1X7,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224384,724858 RELE FD4E_fc_018,18,QUE_224384.xml,topic,Flashcards,1,DUMMIES,air rights,rights of a property owner to the infinite air space above her land that may be limited by government regulations regarding aircraft traffic,01HZH3KBPZ4G3QCQJRSK3QQ5E6,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224385,724858 RELE FD4E_fc_019,19,QUE_224385.xml,topic,Flashcards,1,DUMMIES,alienation clause,a clause in the mortgage loan that requires the loan to be paid off upon sale of the property,01HZH3KBWYMKRJZT9XHNCPRKWA,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224386,724858 RELE FD4E_fc_020,20,QUE_224386.xml,topic,Flashcards,1,DUMMIES,Americans With Disabilities Act of 1992 (ADA),a federal law prohibiting discrimination against people with disabilities. It also provided for requirements regarding access for the disabled to public spaces.,01HZH3KC2XXB7T3XJVFMEDW83F,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224387,724858 RELE FD4E_fc_021,21,QUE_224387.xml,topic,Flashcards,1,DUMMIES,amortized loan,a type of mortgage loan in which the entire balance of the loan is paid off by the end of the term (period) of the loan,01HZH3KC8R6R83SN7V64XRN755,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224388,204113 RELE FD5E_fc_022,22,QUE_224388.xml,topic,Flashcards,1,DUMMIES,annual cap,"In an adjustable-rate loan, the maximum amount the interest rate can be adjusted upward in any given year.",01HZH3KCH2X0PZFXQJ24A3WZXE,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224389,724858 RELE FD4E_fc_023,23,QUE_224389.xml,topic,Flashcards,1,DUMMIES,annual percentage rate (APR),"the real interest rate one is paying on a loan, taking into account the interest rate charged for periodic payments as well as prepaid interest (points)",01HZH3KCQ74481JD6XHQ1D74JB,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224390,724858 RELE FD4E_fc_024,24,QUE_224390.xml,topic,Flashcards,1,DUMMIES,anti-trust laws,federal laws designed to protect the public from various unfair business practices,01HZH3KCX1FV8NP77W8PGBZAFF,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224391,724858 RELE FD4E_fc_025,25,QUE_224391.xml,topic,Flashcards,1,DUMMIES,anticipation,the economic influence on value that indicates that present value is created by the valuation of future benefits,01HZH3KD2SFQ7MBZNPSD1YJRTX,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224392,724858 RELE FD4E_fc_026,26,QUE_224392.xml,topic,Flashcards,1,DUMMIES,appraisal,an estimate or opinion of value or as being completed by an expert for a particular purpose. The term refers to both the activity and the report.,01HZH3KD8PD59XZ9QYRJ3XDH85,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224393,724858 RELE FD4E_fc_027,27,QUE_224393.xml,topic,Flashcards,1,DUMMIES,appraiser,a person who through study and experience is licensed or certified to perform appraisals,01HZH3KDEGXWNC6XHQ84XVCDBW,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224394,724858 RELE FD4E_fc_028,28,QUE_224394.xml,topic,Flashcards,1,DUMMIES,appreciation,a rise in the value of a piece of property,01HZH3KDMCVRFQW3DNS5WANRSH,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224395,724858 RELE FD4E_fc_029,29,QUE_224395.xml,topic,Flashcards,1,DUMMIES,appurtenant easement,an easement that benefits a neighboring property,01HZH3KDXC1NAQ48V24X3NQ0Q4,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224396,724858 RELE FD4E_fc_030,30,QUE_224396.xml,topic,Flashcards,1,DUMMIES,aquifer,the location of an underground water supply,01HZH3KE370WY6RZF92CP63XQ4,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224397,724858 RELE FD4E_fc_031,31,QUE_224397.xml,topic,Flashcards,1,DUMMIES,area variance,a one-property exception from the zoning regulations due to a physical hardship on the property that allows for an exception to rules such as the location of the placement of the building on the property,01HZH3KE9H3X72P2JS98YHNR4D,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224398,724858 RELE FD4E_fc_032,32,QUE_224398.xml,topic,Flashcards,1,DUMMIES,arm&rsquo;s length,"a reference to a type of transaction where there is no relationship between the two parties, such as being members of the same family",01HZH3KEFFK8MAMFF7Y3MYWK0K,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224399,724858 RELE FD4E_fc_033,33,QUE_224399.xml,topic,Flashcards,1,DUMMIES,asbestos,a mineral that has insulation and fire resistant properties that was widely used in construction. Under certain conditions it is considered hazardous.,01HZH3KEN8F2DDJMGS7NWVB6Y9,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224400,724858 RELE FD4E_fc_034,34,QUE_224400.xml,topic,Flashcards,1,DUMMIES,assemblage,the act of putting together several properties into one larger property generally to create additional value (plottage),01HZH3KEVNF1XFGZYS1AJADREB,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224401,724858 RELE FD4E_fc_035,35,QUE_224401.xml,topic,Flashcards,1,DUMMIES,assessed value,the value of a property that is used to calculate real estate taxes. It may or may not be equal to the market value but is based on the market value.,01HZH3KF1JP343Q5T7DM6MDQ5M,
d8f837b1-fde2-46e1-b358-4940cf8f137c,PROD,QUE_224402,724858 RELE FD4E_fc_036,36,QUE_224402.xml,topic,Flashcards,1,DUMMIES,assessment ratio,the percentage by which the market value is multiplied to arrive at the assessed value for property tax purposes,01HZH3KF7BMTJWFDTDGQ05DKAY,
