projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,49b4b7f6-12ca-4721-8870-6fe1142c950f,fc205806.CCSTSGNetEx.001,1,fc205806.CCSTSGNetEx.001.xml,coursewide,,,SYBEX,What is the subnet and broadcast address of this host: 10.16.3.65/23?,"10.16.2.0 255.255.254.0, 10.16.3.255 255.255.254.0",01HZHNVEP4141Y1MBXBS9Z0B5H,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,b6eca908-5215-4048-a1a4-84bfd3abfd05,fc205806.CCSTSGNetEx.002,2,fc205806.CCSTSGNetEx.002.xml,coursewide,,,SYBEX,"True/False: When configuring static routes, an exit interface can be specified to indicate where the packets will be routed.",TRUE,01HZHNVF7TZB8HCB6ZZE4S4YW1,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,df47ced1-7046-4a50-88e6-b08dcdf34e0a,fc205806.CCSTSGNetEx.003,3,fc205806.CCSTSGNetEx.003.xml,coursewide,,,SYBEX,Which device allows users to connect to the network using a single or double radio?,Access point,01HZHNVFDVC92TEAQMPBYPWSB4,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,cdaf1452-ef42-49ab-a820-3ebae1754968,fc205806.CCSTSGNetEx.004,4,fc205806.CCSTSGNetEx.004.xml,coursewide,,,SYBEX,Which method does a connected trunk port use to tag VLAN traffic?,IEEE 802.1Q,01HZHNVFKM2AEEA3DMAFJH4DPV,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,8fd4707d-472c-4d0d-8a3b-c4eb87dbc44a,fc205806.CCSTSGNetEx.005,5,fc205806.CCSTSGNetEx.005.xml,coursewide,,,SYBEX,Which function enables an administrator to route multiple VLANs on a router?,Router on a stick,01HZHNVFS9ZZKBJGD150355AT9,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,cb24f19b-ed72-44da-8611-1707a54f5300,fc205806.CCSTSGNetEx.006,6,fc205806.CCSTSGNetEx.006.xml,coursewide,,,SYBEX,True/False: Routers perform this on a packet: Update the layer 3 headers of outbound packets so that the packets are properly directed to their ultimate destinations.,False: They update the layer 2 headers of outbound packets with the MAC addresses of the next hop.,01HZHNVG08G03TJNAHAJQH0BEY,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,03db6739-1445-4879-9519-75042a52b9a3,fc205806.CCSTSGNetEx.007,7,fc205806.CCSTSGNetEx.007.xml,coursewide,,,SYBEX,True/False: Routers perform this on a packet: Examine the layer 3 headers of inbound packets and use that information to determine the next hops for the packets.,TRUE,01HZHNVG69PERPYZF11AZXW3HF,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,fd38acd6-0e42-430e-a172-b9913e35836c,fc205806.CCSTSGNetEx.008,8,fc205806.CCSTSGNetEx.008.xml,coursewide,,,SYBEX,A workstation has just resolved a browser URL to the IP address of a server. Which protocol will the workstation now use to determine the MAC address to be placed into frames directed toward the server?,ARP,01HZHNVGC0A0MDH7QMBWJMFV9P,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,982d1251-092c-4a92-8eff-fd53d3f45c8e,fc205806.CCSTSGNetEx.009,9,fc205806.CCSTSGNetEx.009.xml,coursewide,,,SYBEX,Which RFC was created to alleviate the depletion of IPv4 public addresses?,RFC 1918,01HZHNVGHNC0NE1CA3PKAYF3HN,
345e7f0a-9f61-4e90-876b-28610e8a4e8d,PROD,b9e4e0ac-e94b-4189-8a68-203b205e4599,fc205806.CCSTSGNetEx.010,10,fc205806.CCSTSGNetEx.010.xml,coursewide,,,SYBEX,At which layer of the OSI model does the protocol that provides the information that is displayed by the <code>show cdp neighbors</code> command operate?,Data Link,01HZHNVGQE9SE0JE9QM6Z3DV8G,
