projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,74e2f15d-3078-4905-8f63-5b961688f98c,fc211418.SecplSG9E.001,1,fc211418.SecplSG9E.001.xml,coursewide,,,SYBEX,What are three key objectives of cybersecurity programs?,"Confidentiality, integrity, and availability",01J05X0M1P9FKV69NYMGK4834J,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,fe6a5027-bdc6-4f95-8706-a22274b93966,fc211418.SecplSG9E.002,2,fc211418.SecplSG9E.002.xml,coursewide,,,SYBEX,"What are specific goals of confidentiality, integrity, and availability?","Confidentiality ensures that unauthorized individuals are not able to gain access to sensitive information; integrity ensures that there are no unauthorized modifications to information or systems, either intentionally or unintentionally; and availability ensures that information and systems are ready to meet the needs of legitimate users at the time those users request them.",01J05X0MK9CQ87VF27ATKZ06Z6,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,d43e930f-0b93-4e42-82ba-d29a1531d590,fc211418.SecplSG9E.003,3,fc211418.SecplSG9E.003.xml,coursewide,,,SYBEX,What are three key threats to cybersecurity programs?,"Disclosure, alteration, and denial",01J05X0N0S06X97QW7RCBT6TAH,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,70eece09-1478-486b-bf00-50a28e1d5749,fc211418.SecplSG9E.004,4,fc211418.SecplSG9E.004.xml,coursewide,,,SYBEX,What term describes the unauthorized modification of information?,Alteration is the unauthorized modification of information and is a violation of the principle of integrity. Denial is the unintended disruption of an authorized user&rsquo;s legitimate access to information.,01J05X0N6TJP9XW5XKF2NKZ8S7,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,c69d8032-6e96-4994-964b-32fcada171fe,fc211418.SecplSG9E.005,5,fc211418.SecplSG9E.005.xml,coursewide,,,SYBEX,Name all five risk categories.,"Financial, reputational, strategic, operational, and compliance",01J05X0ND4VP304FXHTC6AWKHN,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,4f64d304-7b48-438c-b66b-7c0d6be44aed,fc211418.SecplSG9E.006,6,fc211418.SecplSG9E.006.xml,coursewide,,,SYBEX,What are four security control categories?,"Technical controls, operational controls, managerial controls, and physical controls",01J05X0NK9C2ZJ2SVHNYJBV4XT,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,e557407b-52ef-484c-937b-fbc845ff72de,fc211418.SecplSG9E.007,7,fc211418.SecplSG9E.007.xml,coursewide,,,SYBEX,What are some examples of technical controls?,"Firewall rules, access control lists, intrusion prevention systems, and encryption",01J05X0NSN0RABT695PYF7437N,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,66a97548-31f6-429a-8e4f-a00a5a23cf2d,fc211418.SecplSG9E.008,8,fc211418.SecplSG9E.008.xml,coursewide,,,SYBEX,What are some examples of operational controls?,"User access reviews, log monitoring, and vulnerability management",01J05X0NZRR5WC1CQZHZFYC441,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,7859b421-2932-4fe4-95cf-4b120ba97fa4,fc211418.SecplSG9E.009,9,fc211418.SecplSG9E.009.xml,coursewide,,,SYBEX,What are some examples of managerial controls?,"Periodic risk assessments, security planning exercises, and the incorporation of security into the organization&rsquo;s change management, service acquisition, and project management practices",01J05X0P8486N1SVSX61RS4Y2H,
2d6bc666-02c2-4ec0-94dc-061b3b865d6a,PROD,a4d4b499-7681-47d3-8165-ba2ebad8769c,fc211418.SecplSG9E.010,10,fc211418.SecplSG9E.010.xml,coursewide,,,SYBEX,Name all security control types,"Preventive controls, detective controls, corrective controls, deterrent controls, compensating controls, and directive controls",01J05X0PE4HNBRRN61319N51YE,
