projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194248,505815 CISSP FD6E_FC_Q001,1,QUE_194248.xml,topic,CISSP Flashcards,1,DUMMIES,What are the three elements of the C-I-A triad?,"Confidentiality, integrity, availability",01J05YDTWKFC13M8FRDDMBXT92,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194249,505815 CISSP FD6E_FC_Q002,2,QUE_194249.xml,topic,CISSP Flashcards,1,DUMMIES,Who is the individual responsible for assigning information classification levels to assigned information assets?,Information owner,01J05YDVCH7PF3GDX6VPHGDYXQ,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194250,505815 CISSP FD6E_FC_Q003,3,QUE_194250.xml,topic,CISSP Flashcards,1,DUMMIES,Most security policies are categorized as what type?,Advisory,01J05YDVJVVJX2AMQCSHPTZ36M,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194251,505815 CISSP FD6E_FC_Q004,4,QUE_194251.xml,topic,CISSP Flashcards,1,DUMMIES,A baseline is what type of governance?,Standard,01J05YDVRXD9HTWZ2HNEFV78GY,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194252,505815 CISSP FD6E_FC_Q005,5,QUE_194252.xml,topic,CISSP Flashcards,1,DUMMIES,What is the formula for calculating Annualized Loss Expectancy (ALE)?,"SLE x ARO = ALE, where SLE is the Single Loss Expectancy and ARO is the Annualized Rate of Occurrence",01J05YDVZ2AMHET838D27WW4A9,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194253,505815 CISSP FD6E_FC_Q006,6,QUE_194253.xml,topic,CISSP Flashcards,1,DUMMIES,True or false: Risk avoidance is considered to be a general remedy for risk.,FALSE,01J05YDW52HHEE0SB17K12VAHB,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194254,505815 CISSP FD6E_FC_Q007,7,QUE_194254.xml,topic,CISSP Flashcards,1,DUMMIES,True or false: Failure to implement a safeguard may result in legal liability if the cost of implementing the safeguard is less than the cost of the associated loss.,TRUE,01J05YDWB205R9A93VH8C0J42R,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194255,505815 CISSP FD6E_FC_Q008,8,QUE_194255.xml,topic,CISSP Flashcards,1,DUMMIES,A ________________ is useful in safeguard selection for determining cost-effectiveness.,cost-benefit analysis,01J05YDWH3NT6K57P1353MXPHH,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194256,505815 CISSP FD6E_FC_Q009,9,QUE_194256.xml,topic,CISSP Flashcards,1,DUMMIES,Data on backup media being sent by courier to an off-site storage location is known as what?,Data in transit,01J05YDWQ1NYYQT6W8WZC07HS5,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194257,505815 CISSP FD6E_FC_Q010,10,QUE_194257.xml,topic,CISSP Flashcards,1,DUMMIES,"Which U.S. government data classification level describes information that, if compromised, could cause serious damage to national security?",Secret,01J05YDWX4S589J7NY1D2B1PRX,
adce6865-cc1d-4c45-b45d-cead3d419e78,PROD,QUE_194258,505815 CISSP FD6E_FC_Q011,11,QUE_194258.xml,topic,CISSP Flashcards,1,DUMMIES,"Which U.S. government data classification level describes information that, if compromised, could cause grave damage to national security?",Top Secret,01J05YDX59H79EPZAN2V8QZ8CM,
