productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216620,FC1_001,1,QUE_216620.xml,topic,Essential Vocabulary,1,DUMMIES,vacuous,empty,01HZHCFG3AA0RNFDC5CQYEQ1RK,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216621,FC1_002,2,QUE_216621.xml,topic,Essential Vocabulary,1,DUMMIES,quarantine,the enforced isolation of any person or place infected with contagious disease,01HZHCFGHPM0TBAKY6J3EDXCQN,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216622,FC1_003,3,QUE_216622.xml,topic,Essential Vocabulary,1,DUMMIES,opulent,"wealthy, rich, abundant",01HZHCFGR80A0R35W89N8AWSSR,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216623,FC1_004,4,QUE_216623.xml,topic,Essential Vocabulary,1,DUMMIES,marvel,to be astonished and perplexed because of (something),01HZHCFGZPP70FSP7A395RN13D,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216624,FC1_005,5,QUE_216624.xml,topic,Essential Vocabulary,1,DUMMIES,conspire,to plot,01HZHCFH5YA4QW1TZ0JCGMTY04,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216625,FC1_006,6,QUE_216625.xml,topic,Essential Vocabulary,1,DUMMIES,discrepant,"differing, inconsistent",01HZHCFHC3B6M58TFQ7AJTP7SF,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216626,FC1_007,7,QUE_216626.xml,topic,Essential Vocabulary,1,DUMMIES,exceed,"to go beyond, as in measure, quality, value, action, power, skill, and so on",01HZHCFHJEXSN22EE605G4BBTY,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216627,FC1_008,8,QUE_216627.xml,topic,Essential Vocabulary,1,DUMMIES,frugal,economical,01HZHCFHRJHJEXA7FMWSAZ3K37,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216628,FC1_009,9,QUE_216628.xml,topic,Essential Vocabulary,1,DUMMIES,wreak,"to inflict, as a revenge or punishment",01HZHCFHYQDW9JZCA2C683VVYY,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216629,FC1_010,10,QUE_216629.xml,topic,Essential Vocabulary,1,DUMMIES,volatile,changeable,01HZHCFJ523FZR2WJR206SR2VP,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216630,FC1_011,11,QUE_216630.xml,topic,Essential Vocabulary,1,DUMMIES,simulate,to imitate,01HZHCFJC3NPDYN0ZHPGC738FA,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216631,FC1_012,12,QUE_216631.xml,topic,Essential Vocabulary,1,DUMMIES,oration,an elaborate or formal public speech,01HZHCFJJ9WD34ERVNVZ9T9N5W,
5cf776d2-054c-412e-bed8-6036579d7b35,PROD,QUE_216632,FC1_013,13,QUE_216632.xml,topic,Essential Vocabulary,1,DUMMIES,loathe,to abominate,01HZHCFJSPRYFBKT0RBXY2FKZ9,
