projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226328,648376 CSSP FD_FCs_001,1,QUE_226328.xml,topic,Flashcards,1,DUMMIES,the process of removing access and disabling an account when a user no longer requires access to cloud resources,account deprovisioning,01HZH7XH5FR0G4QY7QZMX8TZT7,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226329,648376 CSSP FD_FCs_002,2,QUE_226329.xml,topic,Flashcards,1,DUMMIES,the combined risk of multiple individual security flaws or vulnerabilities,aggregate risk,01HZH7XHNF7HKNXQT4Q49J5EC0,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226330,648376 CSSP FD_FCs_003,3,QUE_226330.xml,topic,Flashcards,1,DUMMIES,the process of removing information that can be used to identify a specific individual from a dataset,anonymization,01HZH7XHVGHBXAD7RN51HDQ8DT,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226331,648376 CSSP FD_FCs_004,4,QUE_226331.xml,topic,Flashcards,1,DUMMIES,a software-to-software communication link that allows two applications (like a client and a server) to interact with one another over the Internet,application programming interface (API),01HZH7XJ31DX83MEPV6A3NQT8D,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226332,648376 CSSP FD_FCs_005,5,QUE_226332.xml,topic,Flashcards,1,DUMMIES,the process of encapsulating (or bundling) an application into a self-contained package that is isolated from the underlying Operating System on which it is executed,application virtualization,01HZH7XJ9EEQEMCK95Z2K64NKW,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226333,648376 CSSP FD_FCs_006,6,QUE_226333.xml,topic,Flashcards,1,DUMMIES,the process of validating a user&rsquo;s identity,authentication,01HZH7XJFM7N6SD22MEP2Q982N,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226334,648376 CSSP FD_FCs_007,7,QUE_226334.xml,topic,Flashcards,1,DUMMIES,the process of granting access to a user based on their authenticated identity and the policies you&rsquo;ve set for them,authorization,01HZH7XJNPDWSR4V5YMNCJJHHB,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226335,648376 CSSP FD_FCs_008,8,QUE_226335.xml,topic,Flashcards,1,DUMMIES,a system that runs outside your security zone that is generally designed to serve a single-purpose (like connecting to the management zone) and has been extremely hardened for enhanced security,bastion host (or jump box),01HZH7XJVSDHVT2C0Z6X656SM9,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226336,648376 CSSP FD_FCs_009,9,QUE_226336.xml,topic,Flashcards,1,DUMMIES,a hypervisor security flaw that can allow one guest to break out of their virtual machine and manipulate the hypervisor in order to gain access to other cloud tenants,breakout attack (or VM escape),01HZH7XK27S7Z8C7ZFAH9J5V4V,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226337,648376 CSSP FD_FCs_010,10,QUE_226337.xml,topic,Flashcards,1,DUMMIES,the five key cloud computing characteristics,"on-demand self-service, broad network access, resource pooling, rapid elasticity, and measured service",01HZH7XK9ABDC87EYNB5RT47KD,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226338,648376 CSSP FD_FCs_011,11,QUE_226338.xml,topic,Flashcards,1,DUMMIES,"a hardware and software control system that is used to control and monitor a building&rsquo;s electrical, mechanical, and HVAC systems",Building Management System (BMS),01HZH7XKFBV5YP73SBXEEAAT5D,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226339,648376 CSSP FD_FCs_012,12,QUE_226339.xml,topic,Flashcards,1,DUMMIES,"the policies, procedures, and tools you put in place to ensure critical business functions continue during and after a disaster or crisis",business continuity (BC),01HZH7XKND1GTY2WR5J3JZQXZS,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226340,648376 CSSP FD_FCs_013,13,QUE_226340.xml,topic,Flashcards,1,DUMMIES,a 2015 Canadian regulation that served as a major update to the long-standing Personal Information Protection and Electronic Documents Act (PIPEDA),Canadian Digital Privacy Act,01HZH7XKVGAXSYYHC12YV03ZS8,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226341,648376 CSSP FD_FCs_014,14,QUE_226341.xml,topic,Flashcards,1,DUMMIES,"the process of maintaining and documenting the chronological sequence of possession and control of physical or electronic evidence, from creation until its final use (often presentation in court)",chain of custody,01HZH7XM1EAZS45QP7MTWHRCF3,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226342,648376 CSSP FD_FCs_015,15,QUE_226342.xml,topic,Flashcards,1,DUMMIES,CIA triad,"confidentiality, integrity, and availability",01HZH7XM7G5QZTZ48JJW3K4JZ9,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226343,648376 CSSP FD_FCs_016,16,QUE_226343.xml,topic,Flashcards,1,DUMMIES,"a software application that sits between cloud users and cloud services and applications, while actively monitoring all cloud usage and implementing centralized controls to enforce security",cloud access security broker (CASB),01HZH7XMFSAW1S015789A0HCKH,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226344,648376 CSSP FD_FCs_017,17,QUE_226344.xml,topic,Flashcards,1,DUMMIES,a cloud deployment model where cloud services are provided to a group of cloud service customers with similar requirements; it is common for at least one member of the community to control the cloud resources for the group,community cloud,01HZH7XMQ79FWKX46A7FMY94SX,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226345,648376 CSSP FD_FCs_018,18,QUE_226345.xml,topic,Flashcards,1,DUMMIES,the part of the cloud environment that carries information necessary to establish and control the flow of data through the cloud; it enables management of the cloud&rsquo;s infrastructure and data security,control plane,01HZH7XMXE75FPMQVAFYP4R7BZ,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226346,648376 CSSP FD_FCs_019,19,QUE_226346.xml,topic,Flashcards,1,DUMMIES,the process of encrypting data and then destroying the keys so that the data cannot be recovered,crypto-shredding,01HZH7XN3D16J9JSJCEAKP8J3G,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226347,648376 CSSP FD_FCs_020,20,QUE_226347.xml,topic,Flashcards,1,DUMMIES,"data that is stored on a system or device and not actively being read, written to, transmitted, or processed",data at rest,01HZH7XN9BDFRADGVHP12CG2SR,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226348,648376 CSSP FD_FCs_021,21,QUE_226348.xml,topic,Flashcards,1,DUMMIES,"an individual that processes the data on behalf of the data owner; responsible for adhering to the data owner&rsquo;s established requirements for using and securing the data, and must process the data in accordance with the data owner&rsquo;s established purposes &mdash; typically the cloud provider",data custodian (or data processor),01HZH7XNFE17QNR2J8TNGT67AB,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226349,648376 CSSP FD_FCs_022,22,QUE_226349.xml,topic,Flashcards,1,DUMMIES,"the process of replicating data throughout a distributed storage infrastructure that can span several regions, cities, or even countries around the world",data dispersion,01HZH7XNPAFGY62CCVAPMMF0P1,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226350,648376 CSSP FD_FCs_023,23,QUE_226350.xml,topic,Flashcards,1,DUMMIES,data that is actively being transmitted across a network or between multiple networks,data-in-transit,01HZH7XNWBNFPCM3P6FZP9DXCY,
46354778-a641-476e-9ddb-18c98ba2472e,PROD,QUE_226351,648376 CSSP FD_FCs_024,24,QUE_226351.xml,topic,Flashcards,1,DUMMIES,"the individual who holds the responsibility for dictating how and why data is used, as well as determining how the data must be secured &mdash; typically the cloud customer",data owner,01HZH7XP2AYSZ8BB42KBT0ZBCK,
