projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"f0239620-4687-477f-ba16-95561ff7cae4","fc359333.WiSe2016SG741.001",1,"fc359333.WiSe2016SG741.001.xml",coursewide,,,SYBEX,"In order to install DNS, you would use what program?","Server Manager","01JBKBWYAMTVTV9THB1PK8QYNH",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"3afc6ed8-3eb5-4477-9d89-3ba88d08d41b","fc359333.WiSe2016SG741.002",2,"fc359333.WiSe2016SG741.002.xml",coursewide,,,SYBEX,"What are the IPv4 Private IP address ranges?","<p>Class A 10.0.0.0</p><p>Class B 172.16.0.0 &hyphen; 172.31.00</p><p>Class C 192.168.0.0</p>","01JBKBWY6WT8P68427CNC7PTSB",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"5155f1ce-a1c1-4130-95dc-b3fd8518fda4","fc359333.WiSe2016SG741.003",3,"fc359333.WiSe2016SG741.003.xml",coursewide,,,SYBEX,"In an IPv4 address, what is the range for Class A addresses?","1&hyphen;126 (127.0.0.1 is used for diagnostic loopback)","01JBKBWYBDZ9WQ63JC022NFX91",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"c7818aeb-f2a8-4e23-ab9c-f36565e1cdd2","fc359333.WiSe2016SG741.004",4,"fc359333.WiSe2016SG741.004.xml",coursewide,,,SYBEX,"How many subnets are available for 255.255.240.0?","16 Subnets","01JBKBWY6BY0Q6SE8D711JEKZK",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"22400f61-abcf-44cc-86fc-18d6cd011510","fc359333.WiSe2016SG741.005",5,"fc359333.WiSe2016SG741.005.xml",coursewide,,,SYBEX,"How many subnets are available for 255.255.224.0?","8 Subnets","01JBKBWY7SAJZ48CFCHJV762J4",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"ef9c54bd-e526-4032-9100-792ebb117ca9","fc359333.WiSe2016SG741.006",6,"fc359333.WiSe2016SG741.006.xml",coursewide,,,SYBEX,"How many host per subnet are available for 255.255.224.0?","8190 hosts per subnet","01JBKBWY6ZJE0SDBQD3PSQA30S",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"560e5ee0-3ba7-416b-ba39-f5f69ab47cd5","fc359333.WiSe2016SG741.007",7,"fc359333.WiSe2016SG741.007.xml",coursewide,,,SYBEX,"How many hosts per subnets are available for 255.255.240.0?","4094 hosts per subnet","01JBKBWY682D97RD67ZQ5S9422",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"46361ad6-5f26-44fd-a602-cdc74542d3d4","fc359333.WiSe2016SG741.008",8,"fc359333.WiSe2016SG741.008.xml",coursewide,,,SYBEX,"How many hosts per subnets are available for 255.255.248.0?","2046 hosts per subnet","01JBKBWXVGEZN1CNS6XZFGA8KS",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"f96cda0d-db25-4be0-a7dd-90d219b92423","fc359333.WiSe2016SG741.009",9,"fc359333.WiSe2016SG741.009.xml",coursewide,,,SYBEX,"How many hosts per subnet for a 255.255.255.240 network?","14 hosts per subnet.","01JBKBWY0XNXTFEKG6BN30PYW8",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"c86be381-2e83-4cca-8c92-073499a7572e","fc359333.WiSe2016SG741.010",10,"fc359333.WiSe2016SG741.010.xml",coursewide,,,SYBEX,"How many hosts per subnet are in a 255.255.255.224?","30 hosts per subnet","01JBKBWYA7Y1KTXR6DDBGTKKXY",
"05b28fb5-b098-47d5-a5a3-bb825c8da342",PROD,"b187eebc-47ce-4430-8be7-1932721aa458","fc359333.WiSe2016SG741.011",11,"fc359333.WiSe2016SG741.011.xml",coursewide,,,SYBEX,"What is the range for a Class B IPv4 address?","128&hyphen;191","01JBKBWY9N6C6MD1SSWQA9T7MQ",
