projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"82fd8196-fd1e-4404-b8e7-ebf3d4df4afb",fc618430.GCCPDESG.01,1,fc618430.GCCPDESG.01.xml,coursewide,,,SYBEX,"What is block storage?","A storage model that builds on contiguous sets of bytes known as blocks","01JBH3RCPQ6KM554YRN5141DEA",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"8bff4d86-c6b4-4c8a-8b1f-ab193a430cb6",fc618430.GCCPDESG.02,2,fc618430.GCCPDESG.02.xml,coursewide,,,SYBEX,"What GCP service could you use as a replacement for Apache Kafka?","Cloud Pub/Sub","01JBH3RCH23VQGKHE1YCW1T7P5",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"82a72c32-4f92-4008-803d-c8eefa578de2",fc618430.GCCPDESG.03,3,fc618430.GCCPDESG.03.xml,coursewide,,,SYBEX,"What is Cloud SQL?","It is GCP's managed relational database service. It includes options to run MySQL and PostgreSQL. SQL Server is also available in beta.","01JBH3RCGXBH14V9R30DPDM8PE",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"957d4445-0821-446c-9d40-350f1d502ab4",fc618430.GCCPDESG.04,4,fc618430.GCCPDESG.04.xml,coursewide,,,SYBEX,"What GCP service could you use as a replacement for Apache Flink?","Cloud Dataflow","01JBH3RCJM7FZESM2NYK0JH8YB",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"95fe4b38-9a61-42c8-8904-bd789b795018",fc618430.GCCPDESG.05,5,fc618430.GCCPDESG.05.xml,coursewide,,,SYBEX,"What is a memory cache?","A high&hyphen;speed, random access memory for storing frequently used data. GCP's Memorystore provides a managed caching service.","01JBH3RCNF0QD4CPPES30R71PW",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"db66e248-6f6c-410d-92d0-be52d732c5cd",fc618430.GCCPDESG.06,6,fc618430.GCCPDESG.06.xml,coursewide,,,SYBEX,"What is a persistent disk?","A durable block storage system for GCP, available in solid&hyphen;state and hard disk drive types.","01JBH3RCFRVEBE2J4NE4X0NQZG",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"f2d20e9f-a8d3-4933-b70d-5672d35deed0",fc618430.GCCPDESG.07,7,fc618430.GCCPDESG.07.xml,coursewide,,,SYBEX,"What is object storage?","A storage system that manages data as objects, such as files. Cloud Storage is an object storage system.","01JBH3RCPKSF6QP14MEA2YDKV5",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"f45a4cde-1032-490a-a59e-a6b2b80a7b01",fc618430.GCCPDESG.08,8,fc618430.GCCPDESG.08.xml,coursewide,,,SYBEX,"What is Cloud Storage?","An object storage service providing web access to scalable storage. Objects can be stored in different storage classes providing different levels of availability and access charges. Durability is the same for all storage classes: 99.999999999 percent.","01JBH3RCPK274C2M3AWK1YA90W",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"9de484ba-dda8-41a7-b5bd-f108d640ea75",fc618430.GCCPDESG.09,9,fc618430.GCCPDESG.09.xml,coursewide,,,SYBEX,"What are the four storage classes in Cloud Storage?","Regional, Multi&hyphen;regional, Nearline, and Coldline","01JBH3RCW8WJQQF6FRQCYA7S0X",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"c7c7cf9a-10e1-4176-940f-d8d3f6c03075",fc618430.GCCPDESG.10,10,fc618430.GCCPDESG.10.xml,coursewide,,,SYBEX,"What is regional storage?","A Cloud Storage class with monthly availability and a 99.9 percent availability SLA. Objects are redundantly stored across zones in a region.","01JBH3RCPM2GQGB2XTM762BEPE",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"f0637378-f75d-4ec3-b0ef-9d451606356f",fc618430.GCCPDESG.11,11,fc618430.GCCPDESG.11.xml,coursewide,,,SYBEX,"What is multi&hyphen;regional storage?","A class of Cloud Storage that stores objects in at least two separate geographic places that are separated by at least 100 miles. This practice of storing objects in separate geographic areas is called geo&hyphen;redundant storage.","01JBH3RCA34C3P24DA16XE35R0",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"37bae06f-3b68-4264-b265-9e51e106c064",fc618430.GCCPDESG.12,12,fc618430.GCCPDESG.12.xml,coursewide,,,SYBEX,"Which storage classes are good options for infrequently accessed data? One is designed to be accessed no more than once a month, and the other is designed to be accessed no more than once per year.","Nearline (once per month) and Coldline (once per year)","01JBH3RCHDYD95G9RPW5XGFAVT",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"42db4d26-3c5d-4293-98b7-7e53422bc3f2",fc618430.GCCPDESG.13,13,fc618430.GCCPDESG.13.xml,coursewide,,,SYBEX,"What is a bucket in terms of Cloud Storage?","A bucket is space for holding objects in Cloud Storage. Bucket names are unique across Cloud Storage. Buckets have a geographic location and a storage class. Storage classes are multi&hyphen;regional, regional, nearline, and coldline.","01JBH3RCWC8RX1GJ2Z7V538B8Y",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"2ebd531c-3e0e-4749-a5f6-608148de6d1d",fc618430.GCCPDESG.14,14,fc618430.GCCPDESG.14.xml,coursewide,,,SYBEX,"What is BigQuery?","BigQuery is a petabyte&hyphen;scale data warehousing and analytics processing managed service that uses relational tables to organize data and provides SQL as the query language.","01JBH3RCW6VVYM2B2QZWQZFSMH",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"ef6f43e0-8666-479f-a2bf-336c113dc78b",fc618430.GCCPDESG.15,15,fc618430.GCCPDESG.15.xml,coursewide,,,SYBEX,"What kind of databases do not use the relational model and do not require a fixed structure or schema?","NoSQL databases","01JBH3RCTSTQCHN7HD4J98D171",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"7b136cfb-b489-4590-a55d-335f352fc805",fc618430.GCCPDESG.16,16,fc618430.GCCPDESG.16.xml,coursewide,,,SYBEX,"What is Cloud Firestore?","Cloud Firestore is a serverless, managed NoSQL document database used for storing, synchronizing, and querying mobile and web application data.","01JBH3RD1E6Y2SEEHY7GFEB022",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"2e02b102-39a2-4b16-a063-e3ab362f9b45",fc618430.GCCPDESG.17,17,fc618430.GCCPDESG.17.xml,coursewide,,,SYBEX,"What are some key factors to keep in mind when choosing a storage solution?","Read and write patterns, consistency, transaction support, cost, and latency","01JBH3RCZZBQBW96BXE3XF59FK",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"32feebd2-34fd-42d9-bc68-44873aef1abd",fc618430.GCCPDESG.18,18,fc618430.GCCPDESG.18.xml,coursewide,,,SYBEX,"When using versioning on a bucket, what is the latest version of the object called?","Live version","01JBH3RD2HY9JJ9V234V5E0RDP",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"913a580e-14f9-4079-a5f8-56cc62876cde",fc618430.GCCPDESG.19,19,fc618430.GCCPDESG.19.xml,coursewide,,,SYBEX,"What Google Cloud databases are used for relational, transaction&hyphen;oriented applications?","Cloud SQL and Cloud Spanner","01JBH3RD277V0SC6SMCWM0TVY2",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"b054cf71-49f5-42e4-bafd-33fec09deb8e",fc618430.GCCPDESG.20,20,fc618430.GCCPDESG.20.xml,coursewide,,,SYBEX,"What kind of data model is used by Cloud Datastore?",Document,"01JBH3RCXHY70200VAW1YTN9HD",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"5c4dca66-3085-4840-b70a-e4e538545dad",fc618430.GCCPDESG.21,21,fc618430.GCCPDESG.21.xml,coursewide,,,SYBEX,"What Google Cloud Platform service can be used for importing data to and exporting data from Cloud Spanner?","Cloud Dataflow","01JBH3RD2Q8YWM6ZFCKGY0JEP5",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"17c572fb-824a-44dc-924e-b71d8d70eb37",fc618430.GCCPDESG.22,22,fc618430.GCCPDESG.22.xml,coursewide,,,SYBEX,"What GCP managed service can you use as a replacement for Cassandra?",Bigtable,"01JBH3RCKBVV9QXT62JVW9K3J5",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"afbb13ff-b0f2-4889-9728-15bb4c6bdf86",fc618430.GCCPDESG.23,23,fc618430.GCCPDESG.23.xml,coursewide,,,SYBEX,"What is identity access management (IAM)?","IAM is a GCP service for implementing fine&hyphen;grained access controls on resources. IAM allows for the implementation of predefined and custom roles that are more narrowly tailored than older, default GCP primitive roles.","01JBH3RCBKVY58A20X4JTFJPXP",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"bb4273a6-9290-4568-88cc-921e5fbce0d8",fc618430.GCCPDESG.24,24,fc618430.GCCPDESG.24.xml,coursewide,,,SYBEX,"What is a service account in GCP?","A service account is a form of identity that is owned by an application or virtual machine. Service accounts can be assigned roles to enable the application or virtual machine to perform some task.","01JBH3RD0ZGNB9Z57NCX0K2H4R",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"7b2bbd39-3070-4a2d-a6d0-04040a592efa",fc618430.GCCPDESG.25,25,fc618430.GCCPDESG.25.xml,coursewide,,,SYBEX,"What are the three types of IAM roles?","Primitive, predefined, and custom","01JBH3RCRNXEAFX44ZRSJM173A",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"5e16f80c-e6af-42dc-8897-968e3ede89d2",fc618430.GCCPDESG.26,26,fc618430.GCCPDESG.26.xml,coursewide,,,SYBEX,"What is Stackdriver?","Stackdriver is a set of services for monitoring, logging, tracing, and debugging infrastructure and applications in GCP and other platforms.","01JBH3RCXXZKKCD3RWF9RTZ5DW",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"02ea25b8-22b8-4013-817a-1d14e278f42a",fc618430.GCCPDESG.27,27,fc618430.GCCPDESG.27.xml,coursewide,,,SYBEX,"What is Stackdriver Trace?","Stackdriver Trace is a distributed tracing system for collecting latency data from an application that helps developers understand where applications are spending their time and to identify cases where performance is degrading.","01JBH3RD1CPCX92SCH5F98JH4P",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"edaad455-25cd-4b75-bf5f-22402ec95a98",fc618430.GCCPDESG.28,28,fc618430.GCCPDESG.28.xml,coursewide,,,SYBEX,"What is Stackdriver Debugger?","Stackdriver Debugger is an application debugger for inspecting the state of a running program that allows developers to insert log statements or take snapshots of the state of an application.","01JBH3RCZT622VD8R2SV7Q722P",
"a8618371-6479-4c84-98b3-aef89c53370c",PROD,"81e16c33-0ff4-48fa-ada4-c3322613b44b",fc618430.GCCPDESG.29,29,fc618430.GCCPDESG.29.xml,coursewide,,,SYBEX,"What kind of services reduce the workload on systems administrators and DevOps engineers because they eliminate some of the work required when managing your own implementation of a platform?","Managed services","01JBH3RCR2AV2B6RVDPVKF7KJT",
