projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"d036866e-b788-4eaa-816a-41b0dbef1ba7",fc642220.ClEsPlSG.001,1,"fc642220.ClEsPlSG.001.xml",coursewide,,,SYBEX,"_____ is the cloud service model that provides the client with apps such as Microsoft Office 365.","Software as a service (SaaS)","01JBH55PJGAAYK0CKKXT18R7AG",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"83ba424e-6de9-4dbc-aa05-3093bb3fc0b8",fc642220.ClEsPlSG.002,2,"fc642220.ClEsPlSG.002.xml",coursewide,,,SYBEX,"_____ is the cloud service model that provides software development tools.","Platform as a service (PaaS)","01JBH55PQZE55SH7SH7ERRTPJT",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"be384ace-354a-4999-9be9-d9cbcae7a9ab",fc642220.ClEsPlSG.003,3,"fc642220.ClEsPlSG.003.xml",coursewide,,,SYBEX,"_____ is the cloud service model where the client gets hardware resources such as compute and storage.","Infrastructure as a service (IaaS)","01JBH55PGHYRA361YZ35D1H0E8",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"3d2326af-f5dc-4339-8ae2-32f3ba30132a",fc642220.ClEsPlSG.004,4,"fc642220.ClEsPlSG.004.xml",coursewide,,,SYBEX,"The _____ deployment model means that all hardware is owned by the company that uses the cloud.",private,"01JBH55PNSTSYCZA58C7W7TFKY",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"83434ee0-a017-43d9-8deb-592f6ad23628",fc642220.ClEsPlSG.005,5,"fc642220.ClEsPlSG.005.xml",coursewide,,,SYBEX,"Examples of the ______ deployment model include AWS and Microsoft Azure.",public,"01JBH55P3W1NYFMT7RBBJTC544",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"12c3ff0e-bddd-46bf-820c-5561be944e8e",fc642220.ClEsPlSG.006,6,"fc642220.ClEsPlSG.006.xml",coursewide,,,SYBEX,"In a _____ cloud, there are public and private elements.",hybrid,"01JBH55P8Z3SWR6R04YBC90AFH",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"60bcd0d9-b7c5-44e7-ba71-89e948fbcb47",fc642220.ClEsPlSG.007,7,"fc642220.ClEsPlSG.007.xml",coursewide,,,SYBEX,"Cloud resources are ______, meaning they can grow or shrink as needed.",elastic,"01JBH55PK97P54V9QR4RYSKVBK",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"af9aa6b8-d6c2-47e7-9b42-23730935adfb",fc642220.ClEsPlSG.008,8,"fc642220.ClEsPlSG.008.xml",coursewide,,,SYBEX,"When clients get additional resources without CSP intervention, it is called ________.","self&hyphen;service","01JBH55PE7QYCQ22TZA9HKXZ1R",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"f2893540-ccab-4f4d-99ae-b9baa40c350b",fc642220.ClEsPlSG.009,9,"fc642220.ClEsPlSG.009.xml",coursewide,,,SYBEX,"Cloud providers have virtually unlimited resources, which allows for _______.",scalability,"01JBH55PKC1YWRF21SG0ACMVEV",
"ed59e128-65b0-4d49-aa49-171c6ff4a598",PROD,"e9736eb5-ed51-4ec4-be24-cad982f9977c",fc642220.ClEsPlSG.010,10,"fc642220.ClEsPlSG.010.xml",coursewide,,,SYBEX,"Allowing multiple client operating systems to access cloud resources is an example of _______.","broad network access","01JBH55NHH2RY0W1A7GWFAREHB",
