projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"9715f600-b077-4745-9746-e4228219a845",PROD,"2c47da36-e91a-4664-a1f2-a4860828b3dc",fc658979.PMPSG10E.001,1,"fc658979.PMPSG10E.001.xml",coursewide,,,SYBEX,"Name two characteristics of agile teams.","They are self&hyphen;organized and self&hyphen;directed.","01J9BB2XHQRK4CP7V7J9Q8S8S6",
"9715f600-b077-4745-9746-e4228219a845",PROD,"a69a22a0-37c2-40f5-8ce5-81314d75464a",fc658979.PMPSG10E.002,2,"fc658979.PMPSG10E.002.xml",coursewide,,,SYBEX,"Describe the shared&hyphen;risk&hyphen;reward relationship as it relates to procurements on an agile project.","These are contract types that encourage a collaborative approach so that both the vendor and the organization share in the risks and rewards of the project.","01J9BB2XQA7TTQSVS3KQEGZ2VX",
"9715f600-b077-4745-9746-e4228219a845",PROD,"0d72a9d1-8de2-4632-85be-4e51afac2bb9",fc658979.PMPSG10E.003,3,"fc658979.PMPSG10E.003.xml",coursewide,,,SYBEX,"What is the purpose of a daily standup meeting?","These meetings are held at the same time and same place every day and should be time limited, usually no more than 15 minutes. The purpose is to discuss what was worked on yesterday, what will be worked on today, and what obstacles are standing in the way.","01J9BB2XYBAHTJV7P5KD9XVGHG",
"9715f600-b077-4745-9746-e4228219a845",PROD,"2bf91bd7-520d-48b0-bca5-6d1e4fc2e09e",fc658979.PMPSG10E.004,4,"fc658979.PMPSG10E.004.xml",coursewide,,,SYBEX,"Describe a Stacey Complexity Model.","This is used to help choose a methodology to manage the work of the project. It plots the level of complexity in ranges including simple, complicated, complex, and chaotic. Simple should use a predictive approach, complicated, complex, and chaotic should use an agile approach.","01J9BB2Y3X7X3X64XPZW5TXQYF",
"9715f600-b077-4745-9746-e4228219a845",PROD,"ed4c731f-6995-47c9-91eb-33df04d777d5",fc658979.PMPSG10E.005,5,"fc658979.PMPSG10E.005.xml",coursewide,,,SYBEX,"Describe a response time measure.","A measure used on flow&hyphen;based agile projects that measures the time a task waits before work is started.","01J9BB2Y9W0VPP0K0F0240A66E",
"9715f600-b077-4745-9746-e4228219a845",PROD,"cc8886d6-4889-4ce1-b06e-c6661688fa38",fc658979.PMPSG10E.006,6,"fc658979.PMPSG10E.006.xml",coursewide,,,SYBEX,"What is the purpose of an agile planning meeting?","This is a short, time&hyphen;bound period of work where the product owner chooses items from the product backlog list to work on during the sprint.","01J9BB2YM488W2DR9CQWNE15FM",
"9715f600-b077-4745-9746-e4228219a845",PROD,"71ca08e7-46e3-4998-97fd-a793c4596e33",fc658979.PMPSG10E.007,7,"fc658979.PMPSG10E.007.xml",coursewide,,,SYBEX,"What is the best way to ensure that cultural or ethical differences do not hinder your project?","Provide training to project team members.","01J9BB2YV3SHTWMWH25RKYSFYG",
"9715f600-b077-4745-9746-e4228219a845",PROD,"9770c20f-3301-45a9-aac3-b61b6bb6bfbf",fc658979.PMPSG10E.008,8,"fc658979.PMPSG10E.008.xml",coursewide,,,SYBEX,"State the meaning of progressive elaboration.","The process of determining the characteristics of the product, service, or result of the project incrementally, and continually refining the details of the project as the project progresses.","01J9BB2Z4WTZN2X6KCYZNZ1MWN",
"9715f600-b077-4745-9746-e4228219a845",PROD,"5f9083f2-d814-40f3-8758-22f5dca30902",fc658979.PMPSG10E.009,9,"fc658979.PMPSG10E.009.xml",coursewide,,,SYBEX,"Name four purposes for the project kickoff meeting.","It communicates the start of the project, informs stakeholders of the project objectives and business value, ensures that key milestones and key deliverables are identified and understood by the stakeholder, and helps ensure stakeholder engagement and commitment.","01J9BB2ZBFTPBY1AD1VT69EKFN",
"9715f600-b077-4745-9746-e4228219a845",PROD,"663f64c1-db44-4ee7-ae0d-f45f5e5404e1",fc658979.PMPSG10E.010,10,"fc658979.PMPSG10E.010.xml",coursewide,,,SYBEX,"Project managers share authority and power with functional managers in this type of organization.",Matrix,"01J9BB2XHB8GJXCEQPW32XXSB8",
