projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"7445796a-0d3e-4c6b-9a14-99e7e99f78a9",fc755463.IAPPCIPPSG.001,1,"fc755463.IAPPCIPPSG.001.xml",coursewide,,,SYBEX,"What is privacy according to GAPP?","The rights and obligations of individuals and organizations with respect to the collection, use, retention, disclosure, and destruction of personal information.","01JA7J0DS3A309EZ0F8S1AJBPV",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"dfa8c5f9-f46a-45b4-a2ac-6ed8341cde26",fc755463.IAPPCIPPSG.002,2,"fc755463.IAPPCIPPSG.002.xml",coursewide,,,SYBEX,"What is personal information according to GAPP?","Information that is or can be about or related to an identifiable individual.","01JA7J0DNDXPT7XM63YZQPG3GH",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"c8d8f407-365d-41a6-a629-95826a6214ba",fc755463.IAPPCIPPSG.003,3,"fc755463.IAPPCIPPSG.003.xml",coursewide,,,SYBEX,"Give three examples of special categories of personal data listed by GDPR.","<p>Racial or ethnic origin</p><p>Political opinions</p><p>Religious or philosophical beliefs</p><p>Trade union membership</p><p>Genetic data</p><p>Biometric data used for the purpose of uniquely identifying a natural person</p><p>Health data</p><p>Data concerning a natural person&rsquo;s sex life or sexual orientation</p>","01JA7J0DTQC51NNG8HW6QKQZSM",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"f455056d-1e7a-41be-8ff2-0ed5f7b631d2",fc755463.IAPPCIPPSG.004,4,"fc755463.IAPPCIPPSG.004.xml",coursewide,,,SYBEX,"When is information not personal information?","First, if the information is not about a person, then it is not personal information. Second, information is not personal information if it does not provide a way to identify the person that the information is about.","01JA7J0DMH812YDGJKQGHPPEYF",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"f5b3ffdb-14d0-41e6-b237-4b3ca54037bf",fc755463.IAPPCIPPSG.005,5,"fc755463.IAPPCIPPSG.005.xml",coursewide,,,SYBEX,"What is anonymization?","The process of taking personal information and making it impossible to identify the individual to whom the information relates.","01JA7J0DT3HE09ZZM8K8MBKMJG",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"4f02fbd3-c765-47cd-bdab-81672fccd680",fc755463.IAPPCIPPSG.006,6,"fc755463.IAPPCIPPSG.006.xml",coursewide,,,SYBEX,"What are two deidentification techniques published by HHS to achieve deidentification in accordance with the HIPAA Privacy Rule?","Expert determination and safe harbor","01JA7J0DT8DFWDQ98HEE238R7D",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"21425eed-7f8c-47d5-96a0-0b9aff57f94a",fc755463.IAPPCIPPSG.007,7,"fc755463.IAPPCIPPSG.007.xml",coursewide,,,SYBEX,"Give three examples of removable information required by the Safe Harbor deidentification method.","<table frame=""none""><tbody><tr><td><p>Names</p></td><td><p>Web URLs</p></td></tr><tr><td><p>Geographic divisions and ZIP codes containing fewer than 20,000 people</p><p>The month and day of a person&rsquo;s birth, death, hospital admission or discharge or the age in years of a person over 89</p><p>Telephone numbers</p><p>Vehicle identifiers, serial numbers, and license plate numbers</p><p>Fax numbers</p><p>Device identifiers and serial numbers</p><p>Email addresses</p></td><td><p>Social Security numbers</p><p>IP addresses</p><p>Medical record numbers</p><p>Biometric identifiers</p><p>Health plan numbers</p><p>Full&hyphen;face photographs</p><p>Account numbers</p><p>Certificate/license number</p></td></tr></tbody></table>","01JA7J0CXNB4JP90FEJHEBFQ98",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"a881cc62-ed6d-42d2-b4e6-64be4021e5b7",fc755463.IAPPCIPPSG.008,8,"fc755463.IAPPCIPPSG.008.xml",coursewide,,,SYBEX,"What is aggregation?","The process of summarizing data about a group of individuals in a manner that makes it impossible to draw conclusions about a single person.","01JA7J0CC3WBQB1YZMEVFCP3QP",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"9a69a0b4-c12a-4ae3-b79d-2ce83b43e295",fc755463.IAPPCIPPSG.009,9,"fc755463.IAPPCIPPSG.009.xml",coursewide,,,SYBEX,"List three reasons why we should care about privacy.","<p>Privacy is an ethical obligation.</p><p>Laws and regulations require privacy protections.</p><p>Poor privacy practices reflect poorly on an organization.</p>","01JA7J0CQQ3441P15Y572BVWKB",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"fdcd399e-20cf-45b5-8f23-0fd143c1e738",fc755463.IAPPCIPPSG.010,10,"fc755463.IAPPCIPPSG.010.xml",coursewide,,,SYBEX,"What are the 10 GAPP principles?","<table frame=""none""><tbody><tr><td><p>1. Management</p><p>2. Notice</p><p>3. Choice and Consent</p><p>4. Collection</p><p>5. Use, Retention, and Disposal</p></td><td><p>6. Access</p><p>7. Disclosure to Third Parties</p><p>8. Security for Privacy</p><p>9. Quality</p><p>10. Monitoring and Enforcement</p></td></tr></tbody></table>","01JA7J0DNB5BNRVG4PXF29917A",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"1a20328d-a296-4a8c-b8d4-485ae0b38f33",fc755463.IAPPCIPPSG.011,11,"fc755463.IAPPCIPPSG.011.xml",coursewide,,,SYBEX,"What are four goals that the US Department of Commerce (DOC) has to guide the execution of a privacy program?","<div style=""text-align: left;""><ol><li>Foster a culture of privacy and disclosure and demonstrate leadership through policy and partnerships.</li><li>Provide outreach, education, training, and reports in order to promote privacy and transparency.</li><li>Conduct robust compliance and oversight programs to ensure adherence to federal privacy and disclosure laws and policies in all DOC activities.</li><li>Develop and maintain the best privacy and disclosure professionals in the federal government.</li></ol></div>","01JA7J0DF72MTB5MREKGMRTPZV",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"ca626f9f-ff02-4591-b6ba-d099161e9314",fc755463.IAPPCIPPSG.012,12,"fc755463.IAPPCIPPSG.012.xml",coursewide,,,SYBEX,"What are four objectives that align with the DOC&rsquo;s third privacy goal to conduct robust compliance and oversight programs?","<div style=""text-align: left;""><ol><li>Review, assess, and provide guidance to DOC programs, systems, projects, information sharing arrangements, and other initiatives to reduce the impact on privacy and ensure compliance.</li><li>Promote privacy best practices and guidance to the DOC&rsquo;s information sharing and intelligence activities.</li><li>Ensure that incidents are reported systematically, processed efficiently, and mitigated appropriately.</li><li>Evaluate DOC programs and activities for compliance with privacy and disclosure laws.</li></ol></div>","01JA7J0D3JMTQ8CSAVYRMJDAG8",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"fe89a0a2-8a94-4abb-8f0b-941340b7ccb1",fc755463.IAPPCIPPSG.013,13,"fc755463.IAPPCIPPSG.013.xml",coursewide,,,SYBEX,"What are three primary privacy roles?","Data subject, data controllers, data processors","01JA7J0D9D0ZC49DS27M4HMHEK",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"fb5a8148-e5c7-460e-9518-0de15a7503d2",fc755463.IAPPCIPPSG.014,14,"fc755463.IAPPCIPPSG.014.xml",coursewide,,,SYBEX,"What is active data collection?","The consumer directly fills out forms.","01JA7J0DMTD8R4PS5NN0G2TB6D",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"85174ba3-954b-4645-a7f4-a02ec66d31d2",fc755463.IAPPCIPPSG.015,15,"fc755463.IAPPCIPPSG.015.xml",coursewide,,,SYBEX,"What is passive data collection?","The organization gathers information from the individual automatically when they visit a website or engage in other online activity.","01JA7J0D8NACHG1C24521Q8S7D",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"d03efaec-dbfe-4fee-aa90-b16770b29059",fc755463.IAPPCIPPSG.016,16,"fc755463.IAPPCIPPSG.016.xml",coursewide,,,SYBEX,"What are the three key objectives of cybersecurity programs and what do they mean?","<p>Confidentiality ensures that unauthorized individuals are not able to gain access to sensitive information.</p><p>Integrity ensures that there are no unauthorized modifications to information or systems, either intentionally or unintentionally.</p><p>Availability ensures that information and systems are ready to meet the needs of legitimate users at the time those users request them.</p>","01JA7J0DEX4QPT3JGZHAAWRDBC",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"41f9d26d-92c4-4e16-934f-fc2fb3a53a3c",fc755463.IAPPCIPPSG.017,17,"fc755463.IAPPCIPPSG.017.xml",coursewide,,,SYBEX,"What are the seven foundational principles of Privacy by Design?","<div style=""text-align: left;""><ol><li>Proactive, not Reactive; Preventive, not Remedial.</li><li>Privacy as the Default Setting.</li><li>Privacy Embedded into Design.</li><li>Full Functionality &ndash; Positive&hyphen;Sum, not Zero&hyphen;Sum.</li><li>End&hyphen;to&hyphen;End Security &ndash; Full Lifecycle Protection.</li><li>Visibility and Transparency &ndash; Keep It Open.</li><li>Respect for User Privacy &ndash; Keep It User&hyphen;Centric.</li></ol></div>","01JA7J0CKWHH7DEQ2DAS2JFY12",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"b80a0a6b-6487-4f2b-8818-a3123e3d0e37",fc755463.IAPPCIPPSG.018,18,"fc755463.IAPPCIPPSG.018.xml",coursewide,,,SYBEX,"What are the three branches of the U.S. federal government?","Legislative branch, executive branch, and judicial branch","01JA7J0CB2HQ8KGYA9XGET7ZW8",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"1166e61d-0f4c-4f48-a0da-3915663ab126",fc755463.IAPPCIPPSG.019,19,"fc755463.IAPPCIPPSG.019.xml",coursewide,,,SYBEX,"What are the two bodies of the U.S. Congress?","House of Representatives and Senate","01JA7J0D2DG1WGK0B4T5JMSPZ9",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"0e2155e1-828b-408f-b061-18575c4ef047",fc755463.IAPPCIPPSG.020,20,"fc755463.IAPPCIPPSG.020.xml",coursewide,,,SYBEX,"What is the responsibility of the executive branch?","The executive branch of the government is led by the president and is responsible for carrying out and enforcing the laws created by the legislative branch.","01JA7J0CWBEN6ENV85ABB5EBHC",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"3115d41e-7edc-4d42-856d-8c4d11808687",fc755463.IAPPCIPPSG.021,21,"fc755463.IAPPCIPPSG.021.xml",coursewide,,,SYBEX,"Name one additional specific power that the president has (identified in the U.S. Constitution).","<p>Serving as commander&hyphen;in&hyphen;chief of the U.S. military forces</p><p>Granting pardons and reprieves for offenses against the United States</p><p>Negotiating treaties with other nations on behalf of the United States</p><p>Appointing justices to the Supreme Court, ambassadors to foreign nations, and other officers of the federal government</p>","01JA7J0DQK4ENG7YQTRJ1E3YP5",
"11647f83-d24e-416e-b430-e5d99f5be9ba",PROD,"e8964ccc-9ffc-4da5-8272-d0ef25c7c090",fc755463.IAPPCIPPSG.022,22,"fc755463.IAPPCIPPSG.022.xml",coursewide,,,SYBEX,"Which federal court has the least superiority and which one has the greatest superiority?","In order from lesser to greater superiority: U.S. District Courts, U.S. Circuit Courts of Appeals, U.S. Supreme Court","01JA7J0DASDZJD9MB0XSNCZ9E7",
