projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"18bdf15c-fa58-4ad2-bb04-e0048863a0ff",fc854982.SSCPSG3E.001,1,"fc854982.SSCPSG3E.001.xml",coursewide,,,SYBEX,"What is * (star) integrity?","A security model property that prohibits &ldquo;write up&rdquo; from a lower to a higher security level; from the Biba model","01JA81J8VZP5JQF2044QRCZ929",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"796a1fa6-7b96-4110-8c1a-6aa088a3721f",fc854982.SSCPSG3E.002,2,"fc854982.SSCPSG3E.002.xml",coursewide,,,SYBEX,"What is * (star) security?","A security model property that prohibits writing down to a process at a lower security level; from the Bell&hyphen;LaPadula model","01JA81J91FVQFE2T2AKNF9BYAN",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"ae48d6e7-905f-4b9c-aa3a-8190111345f5",fc854982.SSCPSG3E.003,3,"fc854982.SSCPSG3E.003.xml",coursewide,,,SYBEX,"What is an acceptable use policy?","Administrative statement of what uses of company&hyphen;provided information systems and assets are allowed and what uses are prohibited","01JA81J8F7112WKD3PMA2XP3VA",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"32b60944-ab33-459d-81a4-2d5e79be906a",fc854982.SSCPSG3E.004,4,"fc854982.SSCPSG3E.004.xml",coursewide,,,SYBEX,"What is access control based on job functions or duties?","Role&hyphen;based access control","01JA81J8NFDZEBYGF5408SJ42W",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"43241102-89d7-4a7e-88dc-b73f2835f716",fc854982.SSCPSG3E.005,5,"fc854982.SSCPSG3E.005.xml",coursewide,,,SYBEX,"What is annualized rate of occurrence (ARO)?","Number of times a risk event is anticipated to occur within a calendar year. ARO = 0.1 indicates a once&hyphen;every&hyphen;10&hyphen;year event.","01JA81J82TX4G8AD10CPG1GKY5",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"89b6c64d-53c1-4a3d-bafa-62fdda9bf6c2",fc854982.SSCPSG3E.006,6,"fc854982.SSCPSG3E.006.xml",coursewide,,,SYBEX,"What is ARP?","Address Resolution Protocol, which discovers the corresponding IP address for a given media access control (MAC) address by asking other devices for it. Failing to find it, it will seek it from a Dynamic Host Configuration Protocol (DHCP) server.","01JA81J88WM16CGB8KED74F2P7",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"04f58c0e-bab8-41b4-8501-811782566708",fc854982.SSCPSG3E.007,7,"fc854982.SSCPSG3E.007.xml",coursewide,,,SYBEX,"What is an attack surface?","The set of interfaces, inputs, ports, or other means of interacting with the set of hardware, software, data, or other elements of an information system. Also known as a threat surface. Can be thought of as a perimeter between one level of security and another.","01JA81J8TZTB3WEC0RB5255BTR",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"f3a3993a-204c-41ee-96ac-ac98bfd5ce01",fc854982.SSCPSG3E.008,8,"fc854982.SSCPSG3E.008.xml",coursewide,,,SYBEX,"How can attacks against device&hyphen;level firmware be conducted?","<p>(a) Remote or onsite device management (or mismanagement) attacks that allow a hacker to initiate a firmware update using a hacked firmware file</p><p>(b) Phishing or misdirection attacks that fool operators or users into initiating an upload of a hacked firmware file</p>","01JA81J8F3BFF16EK0J5MZH9W8",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"0a2864d6-9f64-4f3f-9e7b-1963380c5252",fc854982.SSCPSG3E.009,9,"fc854982.SSCPSG3E.009.xml",coursewide,,,SYBEX,"What is a drive&hyphen;by download attack?","Attack in which users of a website are tricked into triggering the download of malware or other harmful content","01JA81J8MTKMG5MZGY9EWBYRMR",
"9f52b1fb-daa2-43f8-8fd6-799d08fd8c3e",PROD,"0b0669ee-b7a4-4720-8709-f4b5796b3548",fc854982.SSCPSG3E.010,10,"fc854982.SSCPSG3E.010.xml",coursewide,,,SYBEX,"What is the best protection if a mobile endpoint device is lost or stolen?","Mobile device management (MDM) systems that are used to configure and control the device, prior to its being lost or stolen; the MDM systems can then lock or zeroize the device if it is reported lost or stolen","01JA81J8GS326653T4JPTEA576",
