projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,46887397-9c8d-4d3b-88b4-56b9348edfdf,fc891437.SERVERPLSG2E.fc1.001,1,fc891437.SERVERPLSG2E.fc1.001.xml,coursewide,,,SYBEX,What type of server fits in a metal framework?,Rack server,01J8M9N1BPZH2AJYSJF7FNVD0V,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,24e0f035-24ca-4eff-ab5c-480bf188abd8,fc891437.SERVERPLSG2E.fc1.002,2,fc891437.SERVERPLSG2E.fc1.002.xml,coursewide,,,SYBEX,What does a cable management arm do?,Cable management arms are used to keep the cables organized while sliding the server out of the rack for maintenance,01J8M9N16GKTTNKN4Y7F7FFG58,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,2c12bbca-f94e-48d6-8324-f8a23dd8eb35,fc891437.SERVERPLSG2E.fc1.003,3,fc891437.SERVERPLSG2E.fc1.003.xml,coursewide,,,SYBEX,How many inches is a U?,1.75 inches,01J8M9N0VEV0BRDS5YH7FMMDTA,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,2c09b34e-b12e-49a5-b35b-0ac9b57319e3,fc891437.SERVERPLSG2E.fc1.004,4,fc891437.SERVERPLSG2E.fc1.004.xml,coursewide,,,SYBEX,What type of server requires a converter to be placed in a rack?,Tower server,01J8M9N10S0CF3NH7RE4R3A1MF,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,e69b7f28-fb5d-4740-b254-18dc649edfff,fc891437.SERVERPLSG2E.fc1.005,5,fc891437.SERVERPLSG2E.fc1.005.xml,coursewide,,,SYBEX,"What term describes the size, appearance, or dimensions of a server?",Form factor,01J8M9N0WVD3XEM7Y66HGPS4M9,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,359a50a7-a63f-42bc-8e12-25475a65eb36,fc891437.SERVERPLSG2E.fc1.006,6,fc891437.SERVERPLSG2E.fc1.006.xml,coursewide,,,SYBEX,What rack component allows for the server to be serviced without removing it from the rack?,Rail kit,01J8M9N0Q8CQBS7HRKNFDPSGM2,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,a69358ec-7a73-4a4d-9fb8-b4f8d11d0369,fc891437.SERVERPLSG2E.fc1.007,7,fc891437.SERVERPLSG2E.fc1.007.xml,coursewide,,,SYBEX,What interface is an alternative to the BIOS interface in modern computers?,UEFI,01J8M9N1A9RK869YXBTPC4AYZ6,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,3ca05d46-1edc-47ac-8b29-1408e1dbacf0,fc891437.SERVERPLSG2E.fc1.008,8,fc891437.SERVERPLSG2E.fc1.008.xml,coursewide,,,SYBEX,What technology includes as one of its configurations striping with parity?,RAID,01J8M9N12ECY2TQ151C985M3K0,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,ab296d6c-cab7-4cfe-b6b9-3cebabbb203e,fc891437.SERVERPLSG2E.fc1.009,9,fc891437.SERVERPLSG2E.fc1.009.xml,coursewide,,,SYBEX,What type of RAID does <i>not</i> provide fault tolerance?,RAID 0,01J8M9N188YWS74TYS8C4C0KG3,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,c17f5889-6bf7-4962-8de3-b04a70d750c0,fc891437.SERVERPLSG2E.fc1.010,10,fc891437.SERVERPLSG2E.fc1.010.xml,coursewide,,,SYBEX,What is the minimum number of drives required for RAID 1?,2,01J8M9N0Z0QA2VSQ194TNYT2Z5,
bee3831b-4670-474a-a914-2dc81fb07fc1,PROD,07f5e32f-b95d-447e-812f-4fc7bd5f86e1,fc891437.SERVERPLSG2E.fc1.011,11,fc891437.SERVERPLSG2E.fc1.011.xml,coursewide,,,SYBEX,What type of RAID allows you to use 100% of the drive space for data?,RAID 0,01J8M9N0X3TNK3DGVJN7AQJGGR,
