projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
02112678-9a47-4f7d-8341-9d53aece5792,PROD,fcaffb4b-6081-4da3-a400-cfa59a21a949,fc155415.WiSeSyAdCSG.001,1,fc155415.WiSeSyAdCSG.001.xml,coursewide,,,SYBEX,What PowerShell cmdlet allows you to add users to an Active Directory group?,<code>Add-ADGroupMember</code>,01J06DB2XMHFED6A2XVX8EQ159,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,2ab4beff-0b3c-4b72-9729-2c7a4f7b31e8,fc155415.WiSeSyAdCSG.002,2,fc155415.WiSeSyAdCSG.002.xml,coursewide,,,SYBEX,"What application programming interface (API) supports the querying of information from several directory services, including DNS, Active Directory, and other LDAP sources?",Active Directory Service Interfaces (ADSI),01J06DB3EDV1CMSE6D2618W2ZK,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,001880db-c889-4b55-8872-78f0cbb97bab,fc155415.WiSeSyAdCSG.003,3,fc155415.WiSeSyAdCSG.003.xml,coursewide,,,SYBEX,Which administrative tools are used primarily to manage Active Directory objects within a domain?,Active Directory Users and Computers and Active Directory Administrative Center,01J06DB3NBBP8M10CFEF3SNX69,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,930a0440-4db7-4927-ab1e-88b1f433ed8c,fc155415.WiSeSyAdCSG.004,4,fc155415.WiSeSyAdCSG.004.xml,coursewide,,,SYBEX,What types of file can systems administrators and developers use to provide settings that can be configured from within the Group Policy Editor?,An administrative template,01J06DB3ZRZETY3S6DE8504K5S,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,4884dbcf-9b96-48c6-b3f7-bca0766ef446,fc155415.WiSeSyAdCSG.005,5,fc155415.WiSeSyAdCSG.005.xml,coursewide,,,SYBEX,What server role allows for single sign&hyphen;on (SSO)?,Active Directory Federation Services (AD FS),01J06DB46TPBAVYGNFKR6019C5,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,a05fe861-1fa3-4cb7-a36d-44761a9fb916,fc155415.WiSeSyAdCSG.006,6,fc155415.WiSeSyAdCSG.006.xml,coursewide,,,SYBEX,What PowerShell cmdlet allows you to view one or more Active Directory computers?,<code>Get-ADComputer</code>,01J06DB4DVEWHKZH2AQS9Z1JGH,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,1cbaade8-9b46-40de-b2cf-e66190415491,fc155415.WiSeSyAdCSG.007,7,fc155415.WiSeSyAdCSG.007.xml,coursewide,,,SYBEX,Which PowerShell cmdlet allows you to view the Active Directory fine&hyphen;grained password policies?,<code>Get-ADFineGrainedPasswordPolicy</code>,01J06DB4MHKSMGEZ16J233WSCE,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,97179b10-8bd2-449e-86a4-fd66c94cabdf,fc155415.WiSeSyAdCSG.008,8,fc155415.WiSeSyAdCSG.008.xml,coursewide,,,SYBEX,Which PowerShell cmdlet is the only way that you can create a new Managed Service Account?,<code>New-ADServiceAccount</code>,01J06DB4VDVF6HYNZ0CFNA0N1K,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,7564f87c-a049-4b6c-8caf-6a1ba2b54358,fc155415.WiSeSyAdCSG.009,9,fc155415.WiSeSyAdCSG.009.xml,coursewide,,,SYBEX,What class address is 131.107.2.1 /16?,Class B,01J06DB529R1ER4E6J571MRJND,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,8b376067-b6f5-4daf-b5b4-65548fa133dc,fc155415.WiSeSyAdCSG.010,10,fc155415.WiSeSyAdCSG.010.xml,coursewide,,,SYBEX,You have to identify the IPv6 address of the computer. How can you do this?,"Use <code>ipconfig</code>, or from the network connection status, click Details.",01J06DB59JZ42RWBDR8QVNQQX8,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,d1acda91-2648-4b61-b433-99c6ad02ed0e,fc155415.WiSeSyAdCSG.011,11,fc155415.WiSeSyAdCSG.011.xml,coursewide,,,SYBEX,Administrators can use which PowerShell cmdlet to unlock an Active Directory account?,<code>Unlock-ADAccount</code>,01J06DB5HAFDX61B4Z4920AYD2,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,828810bb-072c-4e81-8139-545bc0b1a0aa,fc155415.WiSeSyAdCSG.012,12,fc155415.WiSeSyAdCSG.012.xml,coursewide,,,SYBEX,Which feature of the Active Directory Users and Computers tool can be used to delegate permissions to an OU?,Delegation Of Control Wizard,01J06DB5RMVCY4382W8R6KMHW4,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,a9e5940d-1530-4c94-a1c1-dcbe481c78a7,fc155415.WiSeSyAdCSG.013,13,fc155415.WiSeSyAdCSG.013.xml,coursewide,,,SYBEX,Which Azure tool allows you to connect your on&hyphen;site domain to your Azure network for SSO?,Azure AD Connect,01J06DB5ZN2XNN1XEH8GEM1QM8,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,936283b9-9bb7-40fe-a8a6-0303bc5f362b,fc155415.WiSeSyAdCSG.014,14,fc155415.WiSeSyAdCSG.014.xml,coursewide,,,SYBEX,What is the subnet equivalent for <code>/27</code>?,255.255.255.224,01J06DB66GAC21WQJD918DGC02,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,45292104-674f-45fc-8bab-d30d53d7c0fa,fc155415.WiSeSyAdCSG.015,15,fc155415.WiSeSyAdCSG.015.xml,coursewide,,,SYBEX,A systems administrator wants to restore the System State information to a Windows Server 2022 domain controller. Which boot option must they choose in order to restore the complete System State information?,Directory Services Restore mode,01J06DB6D9BKW0A4Y2NG3ZZDNV,
02112678-9a47-4f7d-8341-9d53aece5792,PROD,7f44ad66-5c89-4734-9f6f-e217d1cd3676,fc155415.WiSeSyAdCSG.016,16,fc155415.WiSeSyAdCSG.016.xml,coursewide,,,SYBEX,What server turns a hostname into an IP address?,DNS,01J06DB6KVKK85S892R2BK867Z,
