projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"eb5baf61-1257-45cf-b611-67265d526b7a",fc214694.vSph67SG.01,1,fc214694.vSph67SG.01.xml,coursewide,,,SYBEX,"What installation options are available for the Platform Services Controller?","Embedded with vCenter on a Windows server, stand&hyphen;alone on a Windows Server, embedded with vCenter on VCSA, stand&hyphen;alone on its own appliance","01J94F90SV461C7AG5C0XBXM11",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"0ad17257-1fce-4b72-85ff-d6ad3c602d0c",fc214694.vSph67SG.02,2,fc214694.vSph67SG.02.xml,coursewide,,,SYBEX,"What does the Platform Services Controller manage for vSphere?","The Single&hyphen;Sign&hyphen;On domain for the environment","01J94F90FMGAQRB1MHRF0RY3J7",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"e57365c9-5f84-4e84-85c4-ec57d95fb3c4",fc214694.vSph67SG.03,3,fc214694.vSph67SG.03.xml,coursewide,,,SYBEX,"What deployment(s) of the Platform Services Controller work with Enhanced Linked Mode?","All deployments (embedded and stand&hyphen;alone for Windows and the VCSA), although stand&hyphen;alone is deprecated starting with vSphere 6.7","01J94F90DJQE4Q2EXSYJK91DKB",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"8c5d6f79-dac8-426c-98ca-b267b7db6274",fc214694.vSph67SG.04,4,fc214694.vSph67SG.04.xml,coursewide,,,SYBEX,"What tool is used to converge or migrate from an external PSC to an embedded PSC?","The <code>vcsa-util</code> tool","01J94F90NT8G3PEZHTBD8KX2GJ",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"35b929ec-6094-4974-9f6f-af4deaf96f41",fc214694.vSph67SG.05,5,fc214694.vSph67SG.05.xml,coursewide,,,SYBEX,"What tool can be used to manipulate vCenter/PSC relationships, including consolidating or splitting vSphere domains?","The <i>cmsso&hyphen;util</i> tool","01J94F90G002FA844MADR5B43C",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"7d1346bb-e936-4283-9fb8-3138b4e8a1c3",fc214694.vSph67SG.06,6,fc214694.vSph67SG.06.xml,coursewide,,,SYBEX,"What platform(s) can vSphere Update Manager be deployed on?","vSphere on Windows, or the VCSA","01J94F90FAYEXKF57BDT6JZ74Y",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"8a231678-f46d-4054-90f5-7f05f572433a",fc214694.vSph67SG.07,7,fc214694.vSph67SG.07.xml,coursewide,,,SYBEX,"How can virtual machines use Persistent Memory (PMem)?","Either as Virtual Persistent Memory (vPEM) or as a Virtual Persistent Memory Disk (vPMemDisk)","01J94F90Y4802BG028KF2GA5BK",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"fcb22387-0f88-49a3-8042-3baf9dbce57e",fc214694.vSph67SG.08,8,fc214694.vSph67SG.08.xml,coursewide,,,SYBEX,"What vSAN I/O requests are prioritized by Adaptive Resync to ensure performance?","Virtual machine traffic","01J94F90M9HFCRM0QBCKKVQHTE",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"144506d3-2ecc-4a25-8e88-ea909a964fda",fc214694.vSph67SG.09,9,fc214694.vSph67SG.09.xml,coursewide,,,SYBEX,"How are TRIM and UNMAP commands used?","They are used by the guest OS to indicate blocks of storage no longer in use.","01J94F90NJC0ND71P17BD5K8M5",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"76d9476b-0ee9-48ab-add2-54c85f4c4c00",fc214694.vSph67SG.10,10,fc214694.vSph67SG.10.xml,coursewide,,,SYBEX,"What are the options for Encrypted vMotion?","Disabled, Opportunistic, and Required","01J94F90CQATHJZP83D6QFR4MS",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"faa9ae66-88a5-4e9e-87d5-f72cf0dfea3a",fc214694.vSph67SG.11,11,fc214694.vSph67SG.11.xml,coursewide,,,SYBEX,"What hardware can ensure the ESXi kernel as well as guest VM kernels have not been tampered with?","Trusted Platform Module (TPM) version 2.0 hardware","01J94F90DMQQ1EB78FPSJP6J5S",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"5b75cad0-8bbe-4716-9763-de2f5e499cbe",fc214694.vSph67SG.12,12,fc214694.vSph67SG.12.xml,coursewide,,,SYBEX,"What will need to be re&hyphen;created if you migrate a vCenter instance to a different SSO domain?","Local users and groups","01J94F90H7XNBN41KTQNHXYC13",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"9c8deda0-bab5-4f89-ae42-e0dc0653ea63",fc214694.vSph67SG.13,13,fc214694.vSph67SG.13.xml,coursewide,,,SYBEX,"What is the minimum virtual machine hardware version required for vTPM?","Hardware version 14","01J94F90SHGSM948XYVFBE0N5F",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"e7f4a60f-6b8c-4f00-8a6b-534489d7e9bc",fc214694.vSph67SG.14,14,fc214694.vSph67SG.14.xml,coursewide,,,SYBEX,"What formats can virtual machines be stored in when using the Content Library?","VM templates and OVF. Note that imported OVAs will be stored as OVF.","01J94F90E5A9GDPRR7D141THAT",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"7928c80b-85f7-40d8-af19-cb02e33035be",fc214694.vSph67SG.15,15,fc214694.vSph67SG.15.xml,coursewide,,,SYBEX,"What can be enabled on a virtual machine to help ensure it can be migrated freely between hosts in different clouds?","Per&hyphen;VM Enhanced vMotion Compatibility (EVC)","01J94F90JBVJ35WE334GQVVE2H",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"81ffff90-decc-4b77-ac4d-af714f99734d",fc214694.vSph67SG.16,16,fc214694.vSph67SG.16.xml,coursewide,,,SYBEX,"When is the iSER adapter required?","When leveraging Remote Direct Memory Access (RDMA) across iSCSI for an ESXi host","01J94F90YVAZ0MCBTKFP1PN9N8",
"b9a272c5-58dd-434e-a358-318c2233642f",PROD,"a7889c7d-a154-471d-951b-1bf7c83c738e",fc214694.vSph67SG.17,17,fc214694.vSph67SG.17.xml,coursewide,,,SYBEX,"What is required for distributed virtual switches (vDSs)?","vCenter and license that includes vDS, such as Enterprise Plus or NSX","01J94F90S9RJX6FF6BYR54EC46",
