projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"6c58ab50-b69e-4e43-928c-404434c27a2a",fc658757.CCNPEnCeSG.001,1,"fc658757.CCNPEnCeSG.001.xml",coursewide,,,SYBEX,"What protocol maps IPv4 addresses to MAC addresses?","Address Resolution Protocol (ARP)","01JBH6J2GN53V6KMPYV2MZ25TF",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"ccd05b6b-b543-4505-9012-8f4eae43d075",fc658757.CCNPEnCeSG.002,2,"fc658757.CCNPEnCeSG.002.xml",coursewide,,,SYBEX,"What protocol operates at layers 1 and 2?","802.3 Ethernet","01JBH6J2H4KQA0XF0W7MXJWG06",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"a737401b-d9e4-4f71-aab2-af157fd63196",fc658757.CCNPEnCeSG.003,3,"fc658757.CCNPEnCeSG.003.xml",coursewide,,,SYBEX,"What layer does the point to point protocol (PPP) operate at?","Layer 2","01JBH6J2NWNT7P8S40NSSXQ76D",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"1c1e1d3f-b55b-4b36-9ea3-2d7d1be38bc2",fc658757.CCNPEnCeSG.004,4,"fc658757.CCNPEnCeSG.004.xml",coursewide,,,SYBEX,"All hosts connected at layer 2 are in the same ___________________.","Subnet or broadcast domain","01JBH6J2EPYFXV3XXZ2X44KJRS",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"2233f4f7-bdec-48b2-8f1a-4bdce602535d",fc658757.CCNPEnCeSG.005,5,"fc658757.CCNPEnCeSG.005.xml",coursewide,,,SYBEX,"What is the primary difference between TCP and UDP?","TCP has sequence numbers.","01JBH6J2PJM9HSFJ8JK8HFGA1V",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"9aaedb40-75d6-46c4-b22c-3fe10edcfcf6",fc658757.CCNPEnCeSG.006,6,"fc658757.CCNPEnCeSG.006.xml",coursewide,,,SYBEX,"Number of subnets or broadcast domains a virtual LAN (VLAN) represents",One,"01JBH6J2M1ACP75C8E3S831GYD",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"dc92e131-b156-4397-ad64-129a8f64b4a0",fc658757.CCNPEnCeSG.007,7,"fc658757.CCNPEnCeSG.007.xml",coursewide,,,SYBEX,"Number of collision domains on a half&hyphen;duplex link",One,"01JBH6J2KAR3CBDZ8QRCTTTVN0",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"0360d5ed-cc61-4f2b-8204-1b780a8eaeb5",fc658757.CCNPEnCeSG.008,8,"fc658757.CCNPEnCeSG.008.xml",coursewide,,,SYBEX,"Default global aging time for MAC address table","5 minutes","01JBH6J28PYP8RK4TA8HYM2CC8",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"b5c9a105-02fc-4a81-89bf-fe481c9ca1da",fc658757.CCNPEnCeSG.009,9,"fc658757.CCNPEnCeSG.009.xml",coursewide,,,SYBEX,"True/False: Unknown unicast frames are always flooded.",True,"01JBH6J2E0JDQX40JVMYZ64V64",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"68dadb25-a839-4bbe-9f70-f6a8e1dd336c",fc658757.CCNPEnCeSG.010,10,"fc658757.CCNPEnCeSG.010.xml",coursewide,,,SYBEX,"True/False: When the MAC address table is full, the oldest entries are deleted.",False,"01JBH6J2MBFPFEG0TW20CYVNA1",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"cead674f-4733-4b75-aced-b11c170302fe",fc658757.CCNPEnCeSG.011,11,"fc658757.CCNPEnCeSG.011.xml",coursewide,,,SYBEX,"What is the maximum size of the Data field in an Ethernet frame, measured in bytes?","1,500 bytes","01JBH6J2M6E6P1K6AJZ109Z7P0",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"11794cd8-c4fb-4155-92e5-b66ca6050369",fc658757.CCNPEnCeSG.012,12,"fc658757.CCNPEnCeSG.012.xml",coursewide,,,SYBEX,"Default Spanning Tree bridge priority","32,768","01JBH6J2RC7H2DCP0N4M55XDW2",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"3cbf3bee-fcea-4d0e-b794-26caa3497d08",fc658757.CCNPEnCeSG.013,13,"fc658757.CCNPEnCeSG.013.xml",coursewide,,,SYBEX,"Spanning Tree extension that prohibits a bridge from becoming root","Root Guard","01JBH6J2J6S406648PPNMTXVK1",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"c9244651-b2f3-4978-8cc9-0e1db8d08a89",fc658757.CCNPEnCeSG.014,14,"fc658757.CCNPEnCeSG.014.xml",coursewide,,,SYBEX,"Interface command to turn a switchport into a routed interface","<code>no switchport</code>","01JBH6J27KWTZ4D7TNQTCJN0WC",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"6358115a-8876-4b7b-9204-cb011bb373d7",fc658757.CCNPEnCeSG.015,15,"fc658757.CCNPEnCeSG.015.xml",coursewide,,,SYBEX,"Maximum number of active physical interfaces in an EtherChannel",Eight,"01JBH6J2CVCYRY9ENZRWCYD443",
"dcc43c9d-a746-4203-9544-4716534515b2",PROD,"97e3260a-1ac2-40b8-9219-70df6f730023",fc658757.CCNPEnCeSG.016,16,"fc658757.CCNPEnCeSG.016.xml",coursewide,,,SYBEX,"How many IP addresses can be assigned to a routed interface?",Two,"01JBH6J1Q440FT1PS5TAGXAECS",
