projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"3925ace1-880e-4654-9df4-380e02522ee0",fc909378.CCSPSG3E.fc.001,1,"fc909378.CCSPSG3E.fc.001.xml",coursewide,,,SYBEX,"What are the common characteristics of cloud computing?","Broad network access, on&hyphen;demand self&hyphen;service, resource pooling, rapid elasticity and scalability, and measured/metered service","01J8Q6SJNNMEAM81ZAEVTMWK5E",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"79a8643e-5252-40fb-8225-527f22e46243",fc909378.CCSPSG3E.fc.002,2,"fc909378.CCSPSG3E.fc.002.xml",coursewide,,,SYBEX,"What organizational function prevents different business units from spending money on similar services when consolidation would reduce both costs and the complexity of the operating environment?","Cloud governance","01J8Q6SJ9F8GDKPF53JSQH1ENP",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"02e1b660-ee7a-45ef-af84-f023d5614686",fc909378.CCSPSG3E.fc.003,3,"fc909378.CCSPSG3E.fc.003.xml",coursewide,,,SYBEX,"What measure is commonly used to compare the benefits of an action with the costs?","Return on investment (or cost/benefit ratio)","01J8Q6SJFC2KHY6B88Y9H09A06",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"7cc017dc-da89-43ac-81ae-17ffa9e00582",fc909378.CCSPSG3E.fc.004,4,"fc909378.CCSPSG3E.fc.004.xml",coursewide,,,SYBEX,"In what cloud computing service model does the provider deliver an entire application to the customer over the network?","Software as a service (SaaS)","01J8Q6SHV089S5Z2XM479QS1RC",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"2931f823-1cd7-4188-8516-da663c91bab2",fc909378.CCSPSG3E.fc.005,5,"fc909378.CCSPSG3E.fc.005.xml",coursewide,,,SYBEX,"In what cloud computing service model does the provider give customers an environment where the customers can execute their own code?","Platform as a service (PaaS)","01J8Q6SHKEB7GQ81PHZQZ0SEC1",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"79c4db10-f4d8-4c03-bf68-1f70008309cd",fc909378.CCSPSG3E.fc.006,6,"fc909378.CCSPSG3E.fc.006.xml",coursewide,,,SYBEX,"In what cloud computing service model does the provider offer customers basic technology building blocks?","Infrastructure as a service (IaaS)","01J8Q6SJ92C2HEZYVNH8M20W9J",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"eda4adae-7815-48f1-b3f8-04b4864d1faa",fc909378.CCSPSG3E.fc.007,7,"fc909378.CCSPSG3E.fc.007.xml",coursewide,,,SYBEX,"What are the major cloud deployment models?","Private cloud, public cloud, hybrid cloud, community cloud, and multi&hyphen;cloud","01J8Q6SJ3CGE8J920YJA9TDXJ2",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"5db728ac-474e-436d-8a9b-cec39f6bdb1d",fc909378.CCSPSG3E.fc.008,8,"fc909378.CCSPSG3E.fc.008.xml",coursewide,,,SYBEX,"What characteristic of cloud computing means that cloud providers can sell customers a total capacity that exceeds the actual physical capacity of their infrastructure because, in the big picture, customers will never use all of that capacity simultaneously?",Oversubscription,"01J8Q6SJ7NYAV9RE7A1E721AKN",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"5aa0ddef-07a7-405b-8249-4a6c302ca4fd",fc909378.CCSPSG3E.fc.009,9,"fc909378.CCSPSG3E.fc.009.xml",coursewide,,,SYBEX,"What is the most common form of hypervisor found in cloud data centers?","Type I hypervisor, or &ldquo;bare metal&rdquo; hypervisor","01J8Q6SHQV8PPBQRBDR0QQYGXX",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"65d6a3e5-230b-4b65-964c-99995db64cd5",fc909378.CCSPSG3E.fc.010,10,"fc909378.CCSPSG3E.fc.010.xml",coursewide,,,SYBEX,"What are the three major goals of cybersecurity programs?","Confidentiality, integrity, and availability","01J8Q6SJ0J9AJX8RPKAZA5ZYMR",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"9a82e6f4-5ad3-4c7b-8e39-b9f4c28b3c9a",fc909378.CCSPSG3E.fc.011,11,"fc909378.CCSPSG3E.fc.011.xml",coursewide,,,SYBEX,"Name three key data roles.","Data owners, data custodians, data processors, and data stewards are all possible answers.","01J8Q6SJNN8BP0ENDECZNNB4YF",
"738b2f35-5565-4c72-a262-0a235f54bb81",PROD,"92030379-8cb2-4725-b83b-64448a04f19a",fc909378.CCSPSG3E.fc.012,12,"fc909378.CCSPSG3E.fc.012.xml",coursewide,,,SYBEX,"What privacy and data handling regulation controls data usage in the European Union?","The General Data Protection Regulation (GDPR)","01J8Q6SJEVAFMKVM5CVQQHKD8C",
