projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"58076e2c-2d7e-4173-9232-0a1beee224eb",fc153800.IAPPCIPMSG.001,1,"fc153800.IAPPCIPMSG.001.xml",coursewide,,,SYBEX,"What is the definition of privacy according to GAAP?","The rights and obligations of individuals and organizations with respect to the collection, use, retention, disclosure, and destruction of personal information","01J947VE2WE3HDVMJDT24NGF0Q",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"f30f2805-ec15-4e76-9f2f-9cbb0dddc255",fc153800.IAPPCIPMSG.002,2,"fc153800.IAPPCIPMSG.002.xml",coursewide,,,SYBEX,"What does personal information mean?","Information that is or can be about or related to an identifiable individual","01J947VDNJN9WS3JCAA3E54M9J",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"eaf78e90-e784-4045-8608-33ab377c750c",fc153800.IAPPCIPMSG.003,3,"fc153800.IAPPCIPMSG.003.xml",coursewide,,,SYBEX,"What is the definition of anonymization?","The process of taking personal information and making it impossible to identify the individual to whom the information relates","01J947VDVJ92MS2TMF7QE1NFYV",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"bb299d9a-2b57-43c1-82d7-9c29a7c9af00",fc153800.IAPPCIPMSG.004,4,"fc153800.IAPPCIPMSG.004.xml",coursewide,,,SYBEX,"What is expert determination?","Expert determination requires the involvement of a trained statistician who analyzes a de identified data set and determines that there is very little risk that the information could be used to identify an individual, even if that information is combined with other publicly available information.","01J947VDJACWCPE5R9TDVZXVHM",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"9ddfd675-5738-4dfd-b589-2a7906bffe2f",fc153800.IAPPCIPMSG.005,5,"fc153800.IAPPCIPMSG.005.xml",coursewide,,,SYBEX,"Describe what aggregation means.","Summarizing data about a group of individuals in a manner that makes it impossible to draw conclusions about a single person.","01J947VDVN49XMFJC4JB684ZD4",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"3cc2bf7b-cf5b-435c-b6d5-b41a25eeb4a9",fc153800.IAPPCIPMSG.006,6,"fc153800.IAPPCIPMSG.006.xml",coursewide,,,SYBEX,"Give 3 reasons why organizations should care about privacy.","<div>Privacy is an ethical obligation.<br/>Laws and regulations require privacy protections<br/>Poor privacy practices reflect poorly on an organization.<br/>Consumers demand strong privacy practices.<br/>Emerging technologies create new privacy concerns.<br/></div>","01J947VDNHW1ECEKWB031ZTTF1",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"f5a6366e-896b-4387-8b43-f6be52976503",fc153800.IAPPCIPMSG.007,7,"fc153800.IAPPCIPMSG.007.xml",coursewide,,,SYBEX,"Give 5 examples of GAAP principles.","<div>Management<br/>Notice<br/>Choice and Consent<br/>Collection<br/>Use, Retention, and Disposal<br/>Access<br/>Disclosure to Third Parties<br/>Security for Privacy<br/>Quality<br/>Monitoring and Enforcement<br/></div>","01J947VDQRAJER495MMQQGXFWM",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"62d9611e-fe4e-48d8-a35c-ef4b154d9273",fc153800.IAPPCIPMSG.008,8,"fc153800.IAPPCIPMSG.008.xml",coursewide,,,SYBEX,"What is the GAAP definition of management?","The entity defines, documents, communicates, and assigns accountability for its privacy policies and procedures.","01J947VDFGSDQ3DQ7AXGE5Z2C2",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"8cb6bf28-d6ee-44d3-926f-2a6ad4c44997",fc153800.IAPPCIPMSG.009,9,"fc153800.IAPPCIPMSG.009.xml",coursewide,,,SYBEX,"According to GAPP, what is the definition of choice and consent?","The entity describes the choices available to the individual and obtains implicit or explicit consent concerning the collection, use, and disclosure of personal information","01J947VDNMMQDBHQJQBCPRJ7HH",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"0ec33157-01a2-416f-acd8-53c2bb7ecaab",fc153800.IAPPCIPMSG.010,10,"fc153800.IAPPCIPMSG.010.xml",coursewide,,,SYBEX,"What is the GAPP definition for disclosure to third parties?","The entity discloses personal information to third parties only for the purposes identified in the notice and with the implicit or explicit consent of the individual.","01J947VDVCX9W8JKG0RR3MGM6F",
"204e50ed-c24a-4378-bb9e-1bb3f09b9602",PROD,"81b8ba8e-541b-4878-856c-7ac5102a8d94",fc153800.IAPPCIPMSG.011,11,"fc153800.IAPPCIPMSG.011.xml",coursewide,,,SYBEX,"What is one of the goals that the Department of Commerce has to guide the execution of a privacy program?","<div>Foster a culture of privacy and disclosure and demonstrate leadership through policy and partnerships.<br/>Provide outreach, education, training, and reports to promote privacy and transparency.<br/>Conduct robust compliance and oversight programs to ensure adherence to federal privacy and disclosure laws and policies in all DOC activities.<br/>Develop and maintain the best privacy and disclosure professionals in the federal government.<br/></div>","01J947VDNTGHJ1GC15CP6T5R2T",
