projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,0b21f9e0-462e-4473-90c0-3b51e24b56b8,fc182909.CySAplSG3E.001,1,fc182909.CySAplSG3E.001.xml,coursewide,,,SYBEX,What are the three key objectives of information security?,"Confidentiality, integrity, and availability (CIA)",01J08TCMYNNNP461N0PNZ39RB9,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,829eac32-02a3-48db-aa07-18d0f70c0c26,fc182909.CySAplSG3E.002,2,fc182909.CySAplSG3E.002.xml,coursewide,,,SYBEX,Risk exists at the intersection of _______ and _________.,Threats and vulnerabilities,01J08TCN9VZ9X5RDAB91GXFESA,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,8b455bed-bcad-4c8e-846f-c791521831e3,fc182909.CySAplSG3E.003,3,fc182909.CySAplSG3E.003.xml,coursewide,,,SYBEX,What is the overall risk rating for a risk that has medium likelihood and high impact?,High,01J08TCNGRRTM812T01RD9WR13,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,03a1f749-34d4-45ef-b4bf-85439bd36fe6,fc182909.CySAplSG3E.004,4,fc182909.CySAplSG3E.004.xml,coursewide,,,SYBEX,"What type of system controls access to a network based on criteria such as time of day, location, device type, and system health?",Network access control (NAC),01J08TCNQW5B8NENNWNHAMR9X9,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,2837f02f-6a47-4265-b816-7293b80cc664,fc182909.CySAplSG3E.005,5,fc182909.CySAplSG3E.005.xml,coursewide,,,SYBEX,What are the three networks typically connected to a triple&hyphen;homed firewall?,"The Internet, an internal network, and a screened subnet (DMZ)",01J08TCP4N8ZEV3NDR6RFVWK4C,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,25636500-2af2-44e8-b68f-398dadf53ba4,fc182909.CySAplSG3E.006,6,fc182909.CySAplSG3E.006.xml,coursewide,,,SYBEX,What is the TCP port for the HTTP protocol?,80,01J08TCPK1H7H09XDH4C42MS9N,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,6b97504f-eda2-48cc-ab4a-89c02de4dac6,fc182909.CySAplSG3E.007,7,fc182909.CySAplSG3E.007.xml,coursewide,,,SYBEX,What is the TCP port for the HTTPS protocol?,443,01J08TCPY68DG2FGXP44CZPA5C,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,e40684a6-9e6f-4c00-b0b4-0ee1699f52a2,fc182909.CySAplSG3E.008,8,fc182909.CySAplSG3E.008.xml,coursewide,,,SYBEX,What are the four types of firewalls?,"Packet filters, stateful inspection firewalls, next&hyphen;generation firewalls, and web application firewalls",01J08TCQ9P8T358GNVDK9KGP6E,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,8a13de4f-75c9-4b63-9e11-a5e642a8d3e7,fc182909.CySAplSG3E.009,9,fc182909.CySAplSG3E.009.xml,coursewide,,,SYBEX,______ may be used to apply settings to many different Windows systems at the same time.,Group Policy Objects (GPOs),01J08TCQGQFB5BNYACRHTFVFBH,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,44e95f01-9787-414d-b780-44f8c942e758,fc182909.CySAplSG3E.010,10,fc182909.CySAplSG3E.010.xml,coursewide,,,SYBEX,What are the four phases of penetration testing?,"Planning, Discovery, Attack, and Reporting",01J08TCQRT6A6DBHC53K2VASN8,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,de98feee-7587-436d-bf7a-1ade33e61256,fc182909.CySAplSG3E.011,11,fc182909.CySAplSG3E.011.xml,coursewide,,,SYBEX,What type of software can you use to enumerate the services that are accepting network connections on a remote system without probing that system for vulnerabilities?,Port scanner,01J08TCR1380FFWATNXHNAS81B,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,c3a03600-4264-49c4-b48e-e914771a8cba,fc182909.CySAplSG3E.012,12,fc182909.CySAplSG3E.012.xml,coursewide,,,SYBEX,What is the range of well&hyphen;known ports?,0&ndash;1023,01J08TCR7NBPE9QE1J70ZGMFAK,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,bea3fde5-78fd-4946-83d1-25877ca62fc7,fc182909.CySAplSG3E.013,13,fc182909.CySAplSG3E.013.xml,coursewide,,,SYBEX,What is the range of registered ports?,1024&ndash;49151,01J08TCREGXT721CFZV896033D,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,5feec04a-bdda-4f7d-8b5b-673ff64dca82,fc182909.CySAplSG3E.014,14,fc182909.CySAplSG3E.014.xml,coursewide,,,SYBEX,What is the most commonly used port scanner?,nmap,01J08TCRNCN136Z9KMP4PVAGK1,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,41a7c289-4cba-4cd4-b3f6-fd4d3fba9b1e,fc182909.CySAplSG3E.015,15,fc182909.CySAplSG3E.015.xml,coursewide,,,SYBEX,What service is responsible for resolving domain names to IP addresses?,DNS,01J08TCRWKAXHE7DHGJ383MB3T,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,0940072f-bab8-4727-a2c4-0946fed40f68,fc182909.CySAplSG3E.016,16,fc182909.CySAplSG3E.016.xml,coursewide,,,SYBEX,What service allows you to look up the registered owner of a domain name?,Whois,01J08TCS3JP014RSK6AYMYJMFY,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,258c7f82-d622-4ee8-85f6-f3dfde4d41eb,fc182909.CySAplSG3E.017,17,fc182909.CySAplSG3E.017.xml,coursewide,,,SYBEX,What type of data analysis looks for differences from expected behaviors?,Anomaly analysis,01J08TCSA03TSB5BQG6RTW4JBZ,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,78bf1202-7096-4667-8510-7917a5fa7657,fc182909.CySAplSG3E.018,18,fc182909.CySAplSG3E.018.xml,coursewide,,,SYBEX,What type of data analysis predicts threats based on existing data?,Trend analysis,01J08TCSGTFK2Z0PPHNJBP2ZR5,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,78bfe119-589e-4088-ad54-cce4510f2c5e,fc182909.CySAplSG3E.019,19,fc182909.CySAplSG3E.019.xml,coursewide,,,SYBEX,What regulation requires vulnerability scans for organizations involved in credit card processing?,PCI DSS,01J08TCSQC4MF3WMW4HSVZJJBD,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,0cf6e154-b3e4-477f-b5b8-6cca1c3b38f6,fc182909.CySAplSG3E.020,20,fc182909.CySAplSG3E.020.xml,coursewide,,,SYBEX,What regulation requires vulnerability scanning for federal government agencies?,Federal Information Security Modernization Act (FISMA),01J08TCSZ2GTRHHE7DH70ZCKCE,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,6a0863dd-80d3-492e-b95d-20e0cc9d8607,fc182909.CySAplSG3E.021,21,fc182909.CySAplSG3E.021.xml,coursewide,,,SYBEX,What type of vulnerability scan leverages read&hyphen;only access to the scan target?,Credentialed scan,01J08TCT5J1FAK7Y7H2CGHB65D,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,0be48a7f-026d-441d-bf60-fdf0249ccfd9,fc182909.CySAplSG3E.022,22,fc182909.CySAplSG3E.022.xml,coursewide,,,SYBEX,What term is used to describe an organization&rsquo;s willingness to tolerate risk?,Risk appetite,01J08TCTESA7KW4DK5F5VNNTAY,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,87b7dc91-d473-4598-a497-fd2b3b7ec354,fc182909.CySAplSG3E.023,23,fc182909.CySAplSG3E.023.xml,coursewide,,,SYBEX,What type of account should be used to perform credentialed vulnerability scans?,Read&hyphen;only account,01J08TCTQ3CBV4633T63Y3PDTT,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,7cf195a1-3370-43e3-b1d7-320435376286,fc182909.CySAplSG3E.024,24,fc182909.CySAplSG3E.024.xml,coursewide,,,SYBEX,What function is performed by Nessus and OpenVAS?,Vulnerability scanning,01J08TCTXNEFNEWDYVB395BS4Z,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,e3442196-89f3-4148-96b6-5145d58b0d9b,fc182909.CySAplSG3E.025,25,fc182909.CySAplSG3E.025.xml,coursewide,,,SYBEX,What is the purpose of Nikto and Arachni?,Web application scanning,01J08TCV6M67A87BP8JK0AKCF8,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,83deb8d6-f52f-43a5-b813-1f8f9d93e9f1,fc182909.CySAplSG3E.026,26,fc182909.CySAplSG3E.026.xml,coursewide,,,SYBEX,What criteria should be used in prioritizing the remediation of vulnerabilities?,"Criticality, difficulty, severity, and exposure",01J08TCVD72Y3P5GQ63TKMC6C7,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,bdb93131-db53-486d-9faa-259e59462ae8,fc182909.CySAplSG3E.027,27,fc182909.CySAplSG3E.027.xml,coursewide,,,SYBEX,What industry&hyphen;standard system is used to assess the severity of security vulnerabilities?,CVSS,01J08TCVKSPSZM9E5TP39AMHMC,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,706545e8-71bd-4986-99f5-85e71ae8637f,fc182909.CySAplSG3E.028,28,fc182909.CySAplSG3E.028.xml,coursewide,,,SYBEX,What are the CVSS score ranges?,"Under CVSS version 3.1, 0.1&ndash;3.9 is low, 4.0&ndash;6.9 is medium, 7.0&ndash;8.9 is high, and 9.0&ndash;10.0 is critical.",01J08TCVTFQJ5F6DCHYEGGVD9R,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,35884d88-6475-4101-a30a-afa0bf172fd7,fc182909.CySAplSG3E.029,29,fc182909.CySAplSG3E.029.xml,coursewide,,,SYBEX,What is the term used to describe when a scanner reports a vulnerability that does not really exist?,False positive,01J08TCW7HTH3JED138WA6FC5B,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,44cd97bf-6145-4977-97b2-62f315867ea4,fc182909.CySAplSG3E.030,30,fc182909.CySAplSG3E.030.xml,coursewide,,,SYBEX,What type of vulnerability allows an attacker to place more data into an area of memory than is allocated for a specific purpose?,Buffer overflow,01J08TCWE2MWPKX3RSP33T6T6T,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,a3232533-4314-44d4-b926-7faf3fa38b63,fc182909.CySAplSG3E.031,31,fc182909.CySAplSG3E.031.xml,coursewide,,,SYBEX,What type of attack seeks to increase the level of access that an attacker has to a targeted system?,Privilege escalation,01J08TCWPGBD6Z737WE4BRHSQ6,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,c4338929-2f5a-4f62-b03a-fa2683c35d9c,fc182909.CySAplSG3E.032,32,fc182909.CySAplSG3E.032.xml,coursewide,,,SYBEX,What type of attack allows an attacker to run software of their choice on the targeted system?,Arbitrary code execution,01J08TCWXAZHSM55S1WKV8Q3YC,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,1766af81-2105-4b1c-95bd-339fb14a1b0e,fc182909.CySAplSG3E.033,33,fc182909.CySAplSG3E.033.xml,coursewide,,,SYBEX,What is the current secure standard for providing HTTPS encryption?,TLS 1.2 or later,01J08TCX6ZDVFQQ2N9RKX8NRYV,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,a1d2f9c3-de80-449d-a6da-61c224e5af29,fc182909.CySAplSG3E.034,34,fc182909.CySAplSG3E.034.xml,coursewide,,,SYBEX,In what type of attack does the attacker sends massive amounts of traffic from many different spoofed sources to a single target address?,Distributed denial of service (DDoS),01J08TCXDBDSTGQVZA7YZXM54Y,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,e9c00f7b-e7b9-4705-94c5-a4fc8e30d3ee,fc182909.CySAplSG3E.035,35,fc182909.CySAplSG3E.035.xml,coursewide,,,SYBEX,What term is used to describe any observable occurrence in a system or network that relates to a security function?,Security event,01J08TCXM9627GVPK0ZFKCGC1E,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,964e0d93-b406-4dae-9ca2-c2a654038333,fc182909.CySAplSG3E.036,36,fc182909.CySAplSG3E.036.xml,coursewide,,,SYBEX,"What term is used to describe a violation or imminent threat of violation of computer security policies, acceptable use policies, or standard security practices?",Security incident,01J08TCXXJ1JBTE8ER13C7135G,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,aa2001e9-efa5-4340-bbe1-e01b4455522e,fc182909.CySAplSG3E.037,37,fc182909.CySAplSG3E.037.xml,coursewide,,,SYBEX,What are the phases of incident response?,"Preparation; Detection & Analysis; Containment, Eradication, & Recovery; and Post&hyphen;Incident Activity",01J08TCY4A8TQFWQVJ7GY4F9QF,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,94b7a883-0a97-4311-b9cc-4d1e590806c3,fc182909.CySAplSG3E.038,38,fc182909.CySAplSG3E.038.xml,coursewide,,,SYBEX,"What type of documents provide the detailed, tactical information that CSIRT members need when responding to an incident?",Procedures,01J08TCYBBF5CGRW85ARJP8E9H,
c8597caa-57f6-44b0-a4e8-0b86779b23e7,PROD,425a44c8-a636-41ed-b8de-d868876ece3d,fc182909.CySAplSG3E.039,39,fc182909.CySAplSG3E.039.xml,coursewide,,,SYBEX,What document serves as the cornerstone of an organization&rsquo;s incident response program?,Incident response policy,01J08TCYJ0XKZRC3GHTEC12Y6B,
