projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"62c11a17-e002-473b-8658-a5b14d263cd3",fc056249.CISASG4E.1.001,1,"fc056249.CISASG4E.1.001.xml",coursewide,,,SYBEX,"A hidden software&hyphen;access mechanism that will bypass normal security controls to grant access into the program",Trapdoor,"01JBVYTHQC1R0979K1CAFKFW31",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"a07baba6-69a7-442d-8b79-e41f6d975070",fc056249.CISASG4E.1.002,2,"fc056249.CISASG4E.1.002.xml",coursewide,,,SYBEX,"Work tasks and data processing that were lost by a disaster, disruption, or failure","Lost work in process (LWIP)","01JBVYTHX16WQFR2M4YHB873SP",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"3906fc2b-5073-40c9-a9f2-bc50ef322358",fc056249.CISASG4E.1.003,3,"fc056249.CISASG4E.1.003.xml",coursewide,,,SYBEX,"A shared connection used in common by other devices",Bus,"01JBVYTJ2DG63W2TR1TV57GMHV",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"e8a57a5b-14fb-4f9e-9faf-f269ec6b0f50",fc056249.CISASG4E.1.004,4,"fc056249.CISASG4E.1.004.xml",coursewide,,,SYBEX,"Level of permission granted to individual user for reading data, writing data, or executing specific programs","Access rights","01JBVYTJ7Q338VCCGE7PAKGG6W",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"295b079e-6609-4ae0-9724-4c3465b1f6e6",fc056249.CISASG4E.1.005,5,"fc056249.CISASG4E.1.005.xml",coursewide,,,SYBEX,"Samples collected by the auditor to prove or disprove the audit findings","Audit evidence","01JBVYTJCYPH0Q4NEP7XB5EZNP",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"a0bb110e-737a-4def-b425-6af90f054311",fc056249.CISASG4E.1.006,6,"fc056249.CISASG4E.1.006.xml",coursewide,,,SYBEX,"Older term for the building that houses the data center","Information processing facility (IPF)","01JBVYTHK87EK08RXEZBJW3WQA",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"5d490706-373f-4e8d-a6c3-3292807d3863",fc056249.CISASG4E.1.007,7,"fc056249.CISASG4E.1.007.xml",coursewide,,,SYBEX,"The initial loading of software to start a computer","Boot strapping, also known as initial program load (IPL)","01JBVYTHRHX5SV7Z85W2F3EVH8",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"c05ae311-7d9d-4015-bfa5-f3924d15f8d9",fc056249.CISASG4E.1.008,8,"fc056249.CISASG4E.1.008.xml",coursewide,,,SYBEX,"Matching the combined security of subject (user or program), object (data), and context of usage (need or purpose) to determine whether the request should be approved or denied","Attribute&hyphen;based access control (ABAC)","01JBVYTHY6HC4P56R0CVVW1D8M",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"8dc1d1a8-dd79-4476-abb9-729ef841b96c",fc056249.CISASG4E.1.009,9,"fc056249.CISASG4E.1.009.xml",coursewide,,,SYBEX,"A unique serial number burned into the network interface card by the manufacturer. The address operates in the Data&hyphen;Link layer (layer 2) of the OSI model.","Media Access Control (MAC) address","01JBVYTJ3D670K4MF8XDJZ4FVV",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"833b3b71-0a58-4387-ba25-b976eb9d58c5",fc056249.CISASG4E.1.010,10,"fc056249.CISASG4E.1.010.xml",coursewide,,,SYBEX,"Test run by software quality assurance to check the system security mechanisms by exploiting known vulnerabilities","Penetration testing","01JBVYTJ8RQ741ZMPDB52FV159",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"f38fbce7-562a-44ce-b5b6-0b6107d54f6c",fc056249.CISASG4E.1.011,11,"fc056249.CISASG4E.1.011.xml",coursewide,,,SYBEX,"What is it called when the auditor places restrictions on the nature, use, or content of their findings? The audit may have encountered problems in scope, time, thoroughness of tests, or content of available evidence.","Qualified opinion","01JBVYTH74GFYPWZXW81YS1GTP",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"9581c616-d41d-4f68-ad12-b8f6f6bc4029",fc056249.CISASG4E.1.012,12,"fc056249.CISASG4E.1.012.xml",coursewide,,,SYBEX,"What is the list of objectives, tasks in sequence, skills matrix, written procedures, written test procedures, and forecast illustrating scope, time, and cost estimates?","Audit plan","01JBVYTHCT5CH3PAEZDPN5PM04",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"32781cac-13ca-476e-b003-28ecf4a9a384",fc056249.CISASG4E.1.013,13,"fc056249.CISASG4E.1.013.xml",coursewide,,,SYBEX,"This is the most restrictive level of access that grants users the minimum amount of access to perform their jobs.","Least privilege","01JBVYTHJ351ZMBDM54QFHY830",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"430e8c8e-c6b8-46dc-8425-d4e821baa130",fc056249.CISASG4E.1.014,14,"fc056249.CISASG4E.1.014.xml",coursewide,,,SYBEX,"Technique used by programmers in computer software to disable the functionality of the program based on a specific date","Time bomb","01JBVYTHR8H2FZ4H7D9K2TC8DP",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"824731b8-31d0-4482-87b5-d8eb2377a511",fc056249.CISASG4E.1.015,15,"fc056249.CISASG4E.1.015.xml",coursewide,,,SYBEX,"What is the term used to describe the development of well&hyphen;defined specifications while ensuring adherence to those specifications?","Quality. Quality starts during initial design with the gathering of specifications. Quality originates in the beginning, not by postinspection after the product (or service) is created.","01JBVYTHXM79QDW6MW9S9KEAC3",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"cf28d31d-81fe-490d-8796-5ac7c599919a",fc056249.CISASG4E.1.016,16,"fc056249.CISASG4E.1.016.xml",coursewide,,,SYBEX,"A type of audit to determine whether internal controls are present and functioning effectively","Compliance audit","01JBVYTJE15ZE9XFZ3AMC42VZ9",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"a5d605d2-2e3a-429f-b1b9-330e51867344",fc056249.CISASG4E.1.017,17,"fc056249.CISASG4E.1.017.xml",coursewide,,,SYBEX,"What is an attack that has not been seen before called?","Zero&hyphen;day attack","01JBVYTJKCDR8PFPXGHR8E7NWT",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"d5dcc966-1846-48c5-ab2d-c94d64e93a08",fc056249.CISASG4E.1.018,18,"fc056249.CISASG4E.1.018.xml",coursewide,,,SYBEX,"Which access control model allows the system owner to establish access privileges to the system?","Discretionary access control (DAC)","01JBVYTJRWJ9AADDNGGW3XBGS8",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"792de36c-eb89-4e26-aff3-5a4ad34b17e9",fc056249.CISASG4E.1.019,19,"fc056249.CISASG4E.1.019.xml",coursewide,,,SYBEX,"What is the term for a continuous threat of breach through electronic attacks?","Persistent electronic threat","01JBVYTJ2SCD4JSE315BR2EF9E",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"ac80095e-e899-4242-bd42-651f7b11c3ae",fc056249.CISASG4E.1.020,20,"fc056249.CISASG4E.1.020.xml",coursewide,,,SYBEX,"What is the purpose of the chain of custody, and why is it so important when you are collecting evidence?","The chain of custody ensures control in the preservation of evidence. It ensures that extra care is taken not to alter or taint the sample.","01JBVYTJ84WDT2PV99JF3NXFMT",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"a972e203-15ab-4cb9-8686-6b9957fad8a3",fc056249.CISASG4E.1.021,21,"fc056249.CISASG4E.1.021.xml",coursewide,,,SYBEX,"The protection of information held in secret for the benefit of authorized users",Confidentiality,"01JBVYTJDC2KP4A4DYWEKF04BV",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"9290edf6-2275-44ea-9144-31135af87d9c",fc056249.CISASG4E.1.022,22,"fc056249.CISASG4E.1.022.xml",coursewide,,,SYBEX,"An attempt to overpower the system or attempt every possible combination until access is granted","Brute&hyphen;force attack","01JBVYTHCBCJ2ZMJYV5RYDMY6B",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"9e1a7ce6-ae3f-45fd-97e8-578642530c35",fc056249.CISASG4E.1.023,23,"fc056249.CISASG4E.1.023.xml",coursewide,,,SYBEX,"Information synonymous with public records or unprotected data that is accessible by anyone",Unclassified,"01JBVYTHJ0X9NDDCZAQYH68MVD",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"60619ba5-b0fc-4d64-9525-276391b473fd",fc056249.CISASG4E.1.024,24,"fc056249.CISASG4E.1.024.xml",coursewide,,,SYBEX,"What is it called when you manage a series of individual projects to create an ongoing operation, also known as a functional support program?","Program management","01JBVYTHR2JGHCJR2CQD2SXF1G",
"2b241d51-e1c2-4db7-97fe-78213c87dc80",PROD,"fb013589-c634-461b-be8f-8c6ec370787c",fc056249.CISASG4E.1.025,25,"fc056249.CISASG4E.1.025.xml",coursewide,,,SYBEX,"What is another name for a proxy server?","A circuit&hyphen;level firewall","01JBVYTHXEV2ZEQFX2HXKD0HTH",
