projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"1a59b863-135b-48ed-b103-c59bce9e3ca5","fc067900.JaSE8PrgIISG.1.01",1,"fc067900.JaSE8PrgIISG.1.01.xml",topic,"Flashcards 1",1,SYBEX,"What is the result of <code>"""" instanceof Object</code>?","<code>true</code>&mdash;A <code>String</code> is an <code>Object</code>.","01JBVYYPBX38KEV0BSFZWBPB38",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"5e20f14e-ad78-46b2-8241-93e77e21b911","fc067900.JaSE8PrgIISG.1.02",2,"fc067900.JaSE8PrgIISG.1.02.xml",topic,"Flashcards 1",1,SYBEX,"What is the result of <code>null instanceof Object</code>?","<code>false</code>&mdash;<code>null</code> is not an <code>Object</code>.","01JBVYYPHHYPETQ9Y6ZP0KYXDA",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"4e8cb7f9-3635-406c-b90b-a68059f08fc5","fc067900.JaSE8PrgIISG.1.03",3,"fc067900.JaSE8PrgIISG.1.03.xml",topic,"Flashcards 1",1,SYBEX,"What is the result of <code>"""" instanceof java.util.HashMap</code>?","Does not compile. The compiler recognizes that a <code>String</code> cannot be a <code>HashMap</code>. (This check is enforced for classes but not interfaces.)","01JBVYYPQPS81V09W28SB5P13Z",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"970a6afa-e41f-4457-bbca-b8fe0491e004","fc067900.JaSE8PrgIISG.1.04",4,"fc067900.JaSE8PrgIISG.1.04.xml",topic,"Flashcards 1",1,SYBEX,"What does <code>equals()</code> take as a parameter?","Object <code>obj</code>","01JBVYYNKPM582XMCF7KKF7EE7",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"807734dd-e4e5-485f-969d-6827618f1758","fc067900.JaSE8PrgIISG.1.05",5,"fc067900.JaSE8PrgIISG.1.05.xml",topic,"Flashcards 1",1,SYBEX,"If <code>obj1.equals(obj2)</code> returns <code>true</code>, what is true of <code>hashCode()</code>?","<code>obj1.hashCode()</code> and <code>obj2.hashCode()</code> must return the same result.","01JBVYYNSSK8A5K0D3T8X5QA26",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"cc320e94-75ad-443c-ae14-72a2d8f23f90","fc067900.JaSE8PrgIISG.1.06",6,"fc067900.JaSE8PrgIISG.1.06.xml",topic,"Flashcards 1",1,SYBEX,"True or false? An <code>enum</code> may be compared to an <code>int</code> in a <code>switch</code> statement.","False. An <code>enum</code> is only allowed to use the <code>enum</code> value in a <code>case</code>.","01JBVYYNZNXSHSWZXV1KW7SAEN",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"e40339e2-a77f-48c7-8077-07cbdfa4b2dd","fc067900.JaSE8PrgIISG.1.07",7,"fc067900.JaSE8PrgIISG.1.07.xml",topic,"Flashcards 1",1,SYBEX,"What is polymorphism?","The property in Java for an object to take on many different forms","01JBVYYP55FFTPG4NST259R4Z0",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"fb3b94e4-6c99-4320-8d67-34d053a2c218","fc067900.JaSE8PrgIISG.1.08",8,"fc067900.JaSE8PrgIISG.1.08.xml",topic,"Flashcards 1",1,SYBEX,"Why is loose coupling preferred to tight coupling when designing classes?","Loosely coupled classes have fewer dependencies on one another, are more resistant to change, and can be used in more places.","01JBVYYNM4HDXT3Z52BCEG9ZVX",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"6575df5b-dbec-47d6-9348-ad093eee4242","fc067900.JaSE8PrgIISG.1.09",9,"fc067900.JaSE8PrgIISG.1.09.xml",topic,"Flashcards 1",1,SYBEX,"What is the difference between an object and a reference in Java?","An object is a representation of the entity that exists in memory, while a reference provides a way of pointing to the object.","01JBVYYNVCF3E3D2NG82WJQX91",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"b9fdcb40-cc33-4022-b720-dcb32ef11daf","fc067900.JaSE8PrgIISG.1.10",10,"fc067900.JaSE8PrgIISG.1.10.xml",topic,"Flashcards 1",1,SYBEX,"True or false? A functional interface may include any number of <code>static</code> or <code>default</code> methods?",TRUE,"01JBVYYP1B29ZSF2EB5A66PP5P",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"ed124f3d-ca4d-4362-9189-522ee5189a7d","fc067900.JaSE8PrgIISG.1.11",11,"fc067900.JaSE8PrgIISG.1.11.xml",topic,"Flashcards 1",1,SYBEX,"True or false? An interface requires the <code>@FunctionalInterface</code> annotation to be interpreted by the compiler as a functional interface.","False. The compiler treats any interface with exactly one abstract method as a functional interface.","01JBVYYP6RQWA400ZF92Y90534",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"88355868-29af-431f-b104-751067a4469a","fc067900.JaSE8PrgIISG.1.12",12,"fc067900.JaSE8PrgIISG.1.12.xml",topic,"Flashcards 1",1,SYBEX,"What is the name of the technique for delaying the creation of objects until they are needed?","Lazy instantiation","01JBVYYNSKXH26A8AGRNV4HVBH",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"5f2116d3-af68-4e42-9fa6-bcdc4fa9f22f","fc067900.JaSE8PrgIISG.1.13",13,"fc067900.JaSE8PrgIISG.1.13.xml",topic,"Flashcards 1",1,SYBEX,"What is an invariant property of an object?","A property that remains true regardless of how the object is modified","01JBVYYNZ5JP7TN0CH2NSQ53G5",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"1cb33963-a877-4487-84ad-63ea911a8fde","fc067900.JaSE8PrgIISG.1.14",14,"fc067900.JaSE8PrgIISG.1.14.xml",topic,"Flashcards 1",1,SYBEX,"Name the three method prefixes used to access variables in a JavaBean.","<code>get</code>, <code>set</code>, <code>is</code>","01JBVYYP4BDBDSF8VNM0ESSPQS",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"8f221564-a393-4a4e-90e8-6bc7e4410851","fc067900.JaSE8PrgIISG.1.15",15,"fc067900.JaSE8PrgIISG.1.15.xml",topic,"Flashcards 1",1,SYBEX,"How do you modify an immutable object?","You can't, although you can create a copy of the object with similar information.","01JBVYYPAEYXVVTMHH37SE9C9Q",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"836b6d14-17cc-482b-b325-edbeb27b81c0","fc067900.JaSE8PrgIISG.1.16",16,"fc067900.JaSE8PrgIISG.1.16.xml",topic,"Flashcards 1",1,SYBEX,"Write code to declare an <code>ArrayList</code> of <code>Integer</code> objects using the diamond operator.","<code>ArrayList&#706;Integer&#707; list = new ArrayList&#706;&#707;();</code> or <code>List&#706;Integer&#707; list = new ArrayList&#706;&#707;();</code> or <code>Collection&#706;Integer&#707; list = new ArrayList&#706;&#707;();</code>","01JBVYYNSD7V9KWPT1VRBEVFPK",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"c1d1c845-e31c-4dc9-8d64-40b243afde44","fc067900.JaSE8PrgIISG.1.17",17,"fc067900.JaSE8PrgIISG.1.17.xml",topic,"Flashcards 1",1,SYBEX,"Fill in the blank to make this class <code>Comparable</code> using generics: <code>public class MyComparable ______________ { /* imagine implementation here */ }</code>","<code>implements Comparable&#706;MyComparable&#707;</code>","01JBVYYNZ5VTJRM4V2TV2BH9NA",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"7e8c48c6-9d12-44af-b9cf-4a7897c04d61","fc067900.JaSE8PrgIISG.1.18",18,"fc067900.JaSE8PrgIISG.1.18.xml",topic,"Flashcards 1",1,SYBEX,"Fill in the blank to make this code compile: <code>public static _________ returnObject(T o) { return o;}</code>","<code>&#706;T&#707; T</code>","01JBVYYP4FRS2A1F6C8Y5DVBKS",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"571b16df-127f-4b84-8d02-0990eaf167fa","fc067900.JaSE8PrgIISG.1.19",19,"fc067900.JaSE8PrgIISG.1.19.xml",topic,"Flashcards 1",1,SYBEX,"Does this compile? <code>List&#706;Object&#707; l = new ArrayList&#706;String&#707;();</code>","No. <code>ArrayList</code> implements <code>List</code>, but the generic types are not compatible.","01JBVYYPAGTVABVEZS6P3Z5WRE",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"7d5bccbc-e831-4f51-8fe3-a2e1dcaf1ace","fc067900.JaSE8PrgIISG.1.20",20,"fc067900.JaSE8PrgIISG.1.20.xml",topic,"Flashcards 1",1,SYBEX,"Does this compile? <code>List&#706;List&#707; listOfLists = new ArrayList&#706;? super List&#707;();</code>","No. A lower/upper bound may be specified on the left side of a declaration but not on the right side.","01JBVYYNR73W789Q81Q5GEF6ZQ",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"d53fe0cc-5915-45ea-91a2-e800470db56c","fc067900.JaSE8PrgIISG.1.21",21,"fc067900.JaSE8PrgIISG.1.21.xml",topic,"Flashcards 1",1,SYBEX,"Fill in the blank to make this code compile: <code>List&#706;______ Number&#707; listOfNumbers = new ArrayList&#706;Object&#707;();</code>","<code>? super</code> (This is a lower bound.)","01JBVYYNXZ24SEWNAN5Y2G5DRR",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"b3d25f4e-a953-4c3b-93b8-51a2a54f8a48","fc067900.JaSE8PrgIISG.1.22",22,"fc067900.JaSE8PrgIISG.1.22.xml",topic,"Flashcards 1",1,SYBEX,"Fill in the blank to make this code compile: <code>List&#706;______ Number&#707; listOfNumbers = new ArrayList&#706;Integer&#707;();</code>","<code>? extends</code> (This is an upper bound.)","01JBVYYP3HXW7ZXWYA5Z6EJG53",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"bfab6515-df90-4073-89a9-1fa9522fe564","fc067900.JaSE8PrgIISG.1.23",23,"fc067900.JaSE8PrgIISG.1.23.xml",topic,"Flashcards 1",1,SYBEX,"Does this code compile? <code>List&#706;? extends Number&#707; listOfNumbers = new ArrayList&#706;Number&#707;();</code>","Yes. For upper and lower bounds, the <code>extends</code> and <code>super</code> keywords include the class itself.","01JBVYYP9C8XNB25PNM58A4RS7",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"9994ba22-c19a-41bb-821a-ea94bb1d519b","fc067900.JaSE8PrgIISG.1.24",24,"fc067900.JaSE8PrgIISG.1.24.xml",topic,"Flashcards 1",1,SYBEX,"Does this code compile? <code>List&#706;? implements Collection&#707; byInterface = new ArrayList&#706;Collection&#707;();</code>","No. Upper bounds use <code>extends</code> for both classes and interfaces as the upper bound.","01JBVYYNKV3TVGYF70Y9GMMWNT",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"593c337f-cb75-46a5-a495-d6579bd51361","fc067900.JaSE8PrgIISG.1.25",25,"fc067900.JaSE8PrgIISG.1.25.xml",topic,"Flashcards 1",1,SYBEX,"Do lower or upper bounds allow you to add elements to a list?","Lower bounds do because they specify the class that all types must be above using <code>super</code>.","01JBVYYNTWXSBV87E2VQE68YT7",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"81377c52-3c8f-4734-bac3-66087075fe8f","fc067900.JaSE8PrgIISG.1.26",26,"fc067900.JaSE8PrgIISG.1.26.xml",topic,"Flashcards 1",1,SYBEX,"What method takes a <code>Consumer</code> parameter and is available on both <code>Stream</code> and <code>ArrayList</code>?",<code>forEach</code>,"01JBVYYP0FFAHWR57FWMX1ZG1A",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"2730c5bd-e842-4529-a4b3-35cea056d728","fc067900.JaSE8PrgIISG.1.27",27,"fc067900.JaSE8PrgIISG.1.27.xml",topic,"Flashcards 1",1,SYBEX,"What functional interface takes one parameter and returns a (possibly) different <code>Object</code> type?",<code>Function</code>,"01JBVYYP644M2S62BDN39A1J2F",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"176daf46-f1de-4466-81dc-2a2ddef78ee9","fc067900.JaSE8PrgIISG.1.28",28,"fc067900.JaSE8PrgIISG.1.28.xml",topic,"Flashcards 1",1,SYBEX,"What functional interface takes two parameters and returns a <code>boolean</code>?",<code>BiPredicate</code>,"01JBVYYNR5NZGXEBW5DRXM09HS",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"6390beee-7a2a-4d8b-9b6c-f5cbae85c6e5","fc067900.JaSE8PrgIISG.1.29",29,"fc067900.JaSE8PrgIISG.1.29.xml",topic,"Flashcards 1",1,SYBEX,"What functional interface takes zero parameters and returns <code>void</code>?",<code>Runnable</code>,"01JBVYYNXTFQR5TNYMMNET2DKF",
"9c9874d1-7d50-4cd9-8c72-10cfb646f726",PROD,"3b4f0065-d088-4a4b-b4d5-a5b43f798647","fc067900.JaSE8PrgIISG.1.30",30,"fc067900.JaSE8PrgIISG.1.30.xml",topic,"Flashcards 1",1,SYBEX,"What functional interface takes zero parameters and has a <code>get()</code> method.",<code>Supplier</code>,"01JBVYYP3EF0C8K1TDK10C1ZWW",
