projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"3fb0522c-8c42-42f3-835c-eea8f98f3e50",fc405030cloudcsg.451.001,1,"fc405030cloudcsg.451.001.xml",coursewide,,,SYBEX,"What computing model offers metered access without owning the computing hardware?",Utility,"01JBV6VETMNWGCB1CX1QVZNHW3",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"cca1ca58-fa37-414f-be5d-8a4c991ba795",fc405030cloudcsg.451.002,2,"fc405030cloudcsg.451.002.xml",coursewide,,,SYBEX,"Which NIST service model includes the operating system but not the application?",IaaS,"01JBV6VEZY8Z4G38SFPA3X3WSA",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"31584386-96d0-4152-92e1-644a6043be49",fc405030cloudcsg.451.003,3,"fc405030cloudcsg.451.003.xml",coursewide,,,SYBEX,"What NIST cloud deployment model is hosted by a provider?","Public cloud","01JBV6VF5364Y7HY8SPVXD1YND",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"28be46eb-3a65-47f3-bda0-ed8f8ac6637f",fc405030cloudcsg.451.004,4,"fc405030cloudcsg.451.004.xml",coursewide,,,SYBEX,"Which three deployment models are supported by the Cisco Intercloud interconnects?","Partner, private, public","01JBV6VEJJE6V7P4RYAFQ3G5SJ",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"d507aed9-277c-468e-a685-7df63c1b5de3",fc405030cloudcsg.451.005,5,"fc405030cloudcsg.451.005.xml",coursewide,,,SYBEX,"World Wide Names (WWNs) are used for what function?","HBA addressing. WWNs are a globally unique Fibre Channel address assigned by the host bus adapter manufacturer to uniquely address a Fibre Channel interface in a storage area network","01JBV6VEQSEDWX6ZVSWX30Z4P2",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"b7898c45-6c4f-4152-af9a-a7449e330a5c",fc405030cloudcsg.451.006,6,"fc405030cloudcsg.451.006.xml",coursewide,,,SYBEX,"Which Nexus product is software only?","The Nexus 1000v series is a distributed virtual switch and is a software&hyphen;only product.","01JBV6VEX5SHB6JPYWDYSDMW4G",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"f2a37efe-e59f-497c-a755-2bb9b8e58166",fc405030cloudcsg.451.007,7,"fc405030cloudcsg.451.007.xml",coursewide,,,SYBEX,"What is the software that enables a server to be logically abstracted and appear to the operating system running on it as if it is running directly on the server hardware itself?","A hypervisor. A hypervisor is software that allows multiple virtual machines to run on a single server hardware platform.","01JBV6VEJ8R7VHP167W5TQ26Y1",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"4d24c435-4230-4ed0-aa1a-7300d576c31c",fc405030cloudcsg.451.008,8,"fc405030cloudcsg.451.008.xml",coursewide,,,SYBEX,"What is the file&hyphen;based storage type that is attached to a Ethernet network?","Network&hyphen;attached storage (NAS) is available to multiple server systems and clients over a standard Ethernet network.","01JBV6VEQKKZJ43JW2QXGW2CBT",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"a492f70c-7a8e-408d-8b5a-6a6bc2b61d3c",fc405030cloudcsg.451.009,9,"fc405030cloudcsg.451.009.xml",coursewide,,,SYBEX,"What hardware device is used to connect a server to a Fibre Channel SAN?","The host bus adapter (HBA) is a server&hyphen;based interface card used to connect the server to the storage network.","01JBV6VEX07K83T61G88S14MFX",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"f3fa7fb6-30ed-4861-85f7-9d27392d3b3f",fc405030cloudcsg.451.010,10,"fc405030cloudcsg.451.010.xml",coursewide,,,SYBEX,"What is the operating system used in the MDS line of SAN switches?","SAN&hyphen;OS","01JBV6VF2ZZ5NP325RQ1SWPT4N",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"cb79cf8f-3640-4023-a47a-62f7358802f1",fc405030cloudcsg.451.011,11,"fc405030cloudcsg.451.011.xml",coursewide,,,SYBEX,"Which elastic cloud service replaces smaller virtual machines with larger, more powerful systems?","Scale up","01JBV6VF8F9MY9D8JB05KMAF3D",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"a153c009-f244-499e-8572-88d98872437b",fc405030cloudcsg.451.012,12,"fc405030cloudcsg.451.012.xml",coursewide,,,SYBEX,"What is a geographical area of cloud computing?",Region,"01JBV6VFDT0N9MD5AB0A2E08HQ",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"3425bf78-f627-4d0e-9d6d-d91c01a8cbd8",fc405030cloudcsg.451.013,13,"fc405030cloudcsg.451.013.xml",coursewide,,,SYBEX,"What is the NIST cloud deployment model that is accessed by a large and diverse group of companies?","Public cloud","01JBV6VDS23XEMRCG7A2Z6YN1X",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"cf10582a-eeda-446d-b73d-6cfde9dfe175",fc405030cloudcsg.451.014,14,"fc405030cloudcsg.451.014.xml",coursewide,,,SYBEX,"What are the two primary benefits of the Cisco Intercloud solution?","Self&hyphen;service management portal and secure interconnects between private and public clouds","01JBV6VDY7NJJ53S6X1Z3PSKAQ",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"26e2e10a-d8fb-48ec-b032-6dd494e7dc8e",fc405030cloudcsg.451.015,15,"fc405030cloudcsg.451.015.xml",coursewide,,,SYBEX,"UCS Manager API communications are based on what programming structure?","XML APIs allow machine&hyphen;to&hyphen;machine automation, configuration, and management from third&hyphen;party vendors and the Cisco Unified Computing System (UCS).","01JBV6VE3HMFFPKCZ373F7VA7J",
"0fbfc73a-007c-466e-9c8a-189d75621a3e",PROD,"762367d8-b6fe-4516-addf-6584f2df3a96",fc405030cloudcsg.451.016,16,"fc405030cloudcsg.451.016.xml",coursewide,,,SYBEX,"What is the networking technology that requires a lossless switching fabric?","Fibre Channel storage area networking deployments require a lossless switching fabric.","01JBV6VD772WJ4MG6DDPTA23S4",
