projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"90d8c935-c959-4611-bcbd-829623f39088","fc426738.PHRSPHRDSG2E.1.001",1,"fc426738.PHRSPHRDSG2E.1.001.xml",topic,"PHR Flashcards",1,SYBEX,"The acronym TIPS is useful to assist supervisors from committing unfair labor practices during an organizing campaign. What does it stand for?","Employers may not threaten, interrogate, promise, or spy on employees during an organizing campaign (see Chapter 6).","01JACT8TBF95PPZFWBFP0X4AT2",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"16ead9d9-40af-471a-b3dc-89ebebbad52a","fc426738.PHRSPHRDSG2E.1.002",2,"fc426738.PHRSPHRDSG2E.1.002.xml",topic,"PHR Flashcards",1,SYBEX,"True or false: Simulation training is used to teach inexperienced workers how to use hazardous equipment.","False. Simulation training provides learners with opportunities to try new skills or procedures in a safe environment. Vestibule training provides learners with opportunities to learn how to operate hazardous equipment safely (see Chapter 4).","01JACT8TGSB4FFV9SQ8J67YQKW",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"a75b729d-74d4-4401-9d8c-68a595621b23","fc426738.PHRSPHRDSG2E.1.003",3,"fc426738.PHRSPHRDSG2E.1.003.xml",topic,"PHR Flashcards",1,SYBEX,"What is at&hyphen;will employment?","At&hyphen;will employment allows employers and employees to end an employment relationship at any time, for any reason, with or without cause (see Chapter 6).","01JACT8TP0FMPRZJB4D8CT6ARM",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"edc87a76-390e-4181-be42-db994de644d0","fc426738.PHRSPHRDSG2E.1.004",4,"fc426738.PHRSPHRDSG2E.1.004.xml",topic,"PHR Flashcards",1,SYBEX,"Name three types of pay differentials.","A pay differential pays additional compensation for work that goes beyond minimum job requirements. Some forms of pay differentials are overtime, shift pay, on&hyphen;call pay, call&hyphen;back pay, reporting pay, hazard pay, and geographic pay (see Chapter 5).","01JACT8T5QSTEJT5EHNZM05GJ8",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"ce120269-eca3-4483-88ef-ffbd6e6f6d50","fc426738.PHRSPHRDSG2E.1.005",5,"fc426738.PHRSPHRDSG2E.1.005.xml",topic,"PHR Flashcards",1,SYBEX,"Cashiers hired at a big&hyphen;box store are given a test after one week of training and before they start work. The store manager evaluates their performance after 6 months on the job. If the scores are very similar, this is called ___________________.","Predictive validity (see Chapter 3)","01JACT8TB2ARC0FFM1RSS03S9B",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"1d00264c-cbda-4416-990c-b494e5a7cff3","fc426738.PHRSPHRDSG2E.1.006",6,"fc426738.PHRSPHRDSG2E.1.006.xml",topic,"PHR Flashcards",1,SYBEX,"True or false: Restricted stock may be issued only to executive employees.","False. Restricted stock is common stock offered to employees to reward retention (see Chapter 5).","01JACT8TC1RJG4XWTDT464AB00",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"8e3f2877-a624-4147-8161-25724b65c957","fc426738.PHRSPHRDSG2E.1.007",7,"fc426738.PHRSPHRDSG2E.1.007.xml",topic,"PHR Flashcards",1,SYBEX,"An informal communication method in which a small group of employees meet with a senior manager to learn more about the company and ask questions is known as a ___________________.","Brown&hyphen;bag lunch (see Chapter 6).","01JACT8THDGWDJGDS4CTZSA621",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"2ce64a80-a87b-40e6-baa4-4f98a4f31c0b","fc426738.PHRSPHRDSG2E.1.008",8,"fc426738.PHRSPHRDSG2E.1.008.xml",topic,"PHR Flashcards",1,SYBEX,"Describe the point&hyphen;factor methodology.","The point&hyphen;factor methodology is a job&hyphen;classification method that uses benchmark jobs that are assigned points based on factors such as education, skill, effort, and so on. Salary ranges are assigned to each position based on the total number of points assigned (see Chapter 5).","01JACT8SVJ8ATMZ5P5MQ6N1SHC",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"10cd0269-296f-41c4-a1b2-3b4ecfbafe68","fc426738.PHRSPHRDSG2E.1.009",9,"fc426738.PHRSPHRDSG2E.1.009.xml",topic,"PHR Flashcards",1,SYBEX,"What is the difference between supervisory training and management development?","Supervisory training focuses on interactions with employees, such as discipline and performance management; management&hyphen;development programs build expertise for achieving results through others and develop skills in budgeting, internal controls, and so on (see Chapter 4).","01JACT8T0TB0MGT2HMPYTHBGB6",
"ebe7ab95-b28d-4d9b-95a6-636da616fe4b",PROD,"6e863f47-08a3-48db-983e-aa7d7e2aa34c","fc426738.PHRSPHRDSG2E.1.010",10,"fc426738.PHRSPHRDSG2E.1.010.xml",topic,"PHR Flashcards",1,SYBEX,"What is one technique for selecting employees that exposes the candidate to a typical day on the job?","A realistic job preview (see Chapter 3)","01JACT8T61TYVCY5EE8E3DC0HQ",
