projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"0206305f-92d2-401f-8870-39e6abc76fbf",fc811633.NetPlSG5E.1.01,1,"fc811633.NetPlSG5E.1.01.xml",topic,"Flashcards 1",1,SYBEX,"The length of time a computer is allowed to use a dynamic Internet Protocol (IP) address provided by a DHCP server is known as the __________.","Lease time","01JA803R5KY3SN1EX3PMX5YDV3",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"690d37cc-48f9-4b34-860c-9357e4f572a0",fc811633.NetPlSG5E.1.02,2,"fc811633.NetPlSG5E.1.02.xml",topic,"Flashcards 1",1,SYBEX,"True/False: A network collision happens when two devices attempt to communicate on the same physical segment at the same time.",TRUE,"01JA803RB0N39XJWTZVR0Q6PZK",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"e7f8063d-761a-4d25-a65c-5f5f49e37c4b",fc811633.NetPlSG5E.1.03,3,"fc811633.NetPlSG5E.1.03.xml",topic,"Flashcards 1",1,SYBEX,"True/False: A firewall can permit, deny, encrypt, decrypt, and proxy all computer traffic that flows through it.",TRUE,"01JA803RH0SQXKA49S9GF6TN3F",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"841d6ea7-7a32-4677-b8bb-f0ae43d4f830",fc811633.NetPlSG5E.1.04,4,"fc811633.NetPlSG5E.1.04.xml",topic,"Flashcards 1",1,SYBEX,"True/False: Firewalls are not usually a combination of hardware and software.",FALSE,"01JA803RWKEXPBJTJG335RB955",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"732deb55-9ecb-447d-8cf7-bbd39103b9be",fc811633.NetPlSG5E.1.05,5,"fc811633.NetPlSG5E.1.05.xml",topic,"Flashcards 1",1,SYBEX,"Which type of security device or software employs a redirection device known as a honeypot?","Intrusion prevention system (IPS)","01JA803R4G96AXA6YJPTFJGZK0",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"c9ca4b37-627f-4146-baa3-dc2761914bfe",fc811633.NetPlSG5E.1.06,6,"fc811633.NetPlSG5E.1.06.xml",topic,"Flashcards 1",1,SYBEX,"Which type of firewall keeps track of existing connections passing through it?",Stateful,"01JA803RA4BNZHCJ1AVJRA20X7",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"211df13a-0cbe-4189-ad70-0589b7f4f918",fc811633.NetPlSG5E.1.07,7,"fc811633.NetPlSG5E.1.07.xml",topic,"Flashcards 1",1,SYBEX,"If you wanted to ensure that your firewall could block inflammatory email, which type of service would you look for?","Content filtering","01JA803RG0E04GM8QGKWRS6413",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"fd034687-2a61-4e61-a8a4-b9319d7be2a3",fc811633.NetPlSG5E.1.08,8,"fc811633.NetPlSG5E.1.08.xml",topic,"Flashcards 1",1,SYBEX,"What is a firewall&rsquo;s list of rules, which it uses to block traffic?","Access control list (ACL)","01JA803RWS8S24GEGC1M9TQ7HQ",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"57983315-69c4-4583-9dfc-764817bffe21",fc811633.NetPlSG5E.1.09,9,"fc811633.NetPlSG5E.1.09.xml",topic,"Flashcards 1",1,SYBEX,"If you want to allow remote access to 500 users, which type of device is recommended?","A VPN concentrator","01JA803S286MMWZP995G2PC9ZW",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"5740087b-9bed-4d95-b50b-7a35f12a1222",fc811633.NetPlSG5E.1.10,10,"fc811633.NetPlSG5E.1.10.xml",topic,"Flashcards 1",1,SYBEX,"What is a security zone that allows public traffic but is isolated from the private network called?","Screened subnet or DMZ","01JA803R2HKXF079PA6QT8T05E",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"81dee9fe-83db-4e3d-9f66-d755198c7946",fc811633.NetPlSG5E.1.11,11,"fc811633.NetPlSG5E.1.11.xml",topic,"Flashcards 1",1,SYBEX,"Which unsecure protocol uses port 80 by default?",HTTP,"01JA803R8KRB5QMANEMAX7YYK4",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"522b3f0a-3d8a-4a1d-84ec-38f079ef7226",fc811633.NetPlSG5E.1.12,12,"fc811633.NetPlSG5E.1.12.xml",topic,"Flashcards 1",1,SYBEX,"What is 192.168 in binary?",11000000.10101000,"01JA803REX46CQQ26K11YW1C9V",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"1523dabd-db4c-4e84-97ca-2dae6006b562",fc811633.NetPlSG5E.1.13,13,"fc811633.NetPlSG5E.1.13.xml",topic,"Flashcards 1",1,SYBEX,"What port number does Secure Shell (SSH) use by default?",22,"01JA803RNWDQQAX810JXXNST0N",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"b1fde979-3c9f-4302-bcaa-765496c85cf0",fc811633.NetPlSG5E.1.14,14,"fc811633.NetPlSG5E.1.14.xml",topic,"Flashcards 1",1,SYBEX,"Logging, notification, and shunning are what types of reactions from what type of security device?","Passive reactions from an IDS","01JA803RJPP65AV153MGWM03W3",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"6b15192b-5071-4b5b-8018-d942b9b4b248",fc811633.NetPlSG5E.1.15,15,"fc811633.NetPlSG5E.1.15.xml",topic,"Flashcards 1",1,SYBEX,"True/False: A screened subnet or demilitarized zone (DMZ) is a network segment that is neither public nor local but halfway between.",TRUE,"01JA803RWVMA7YWR84DXQFRHDQ",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"7f3218cc-23b5-4685-bb12-e4173fa60378",fc811633.NetPlSG5E.1.16,16,"fc811633.NetPlSG5E.1.16.xml",topic,"Flashcards 1",1,SYBEX,"You add a new cable to your network. What document do you update?","Wiring schematics","01JA803S26QYRRCAVVH6YQTQA3",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"67d8f0c2-78de-4dd2-aaa9-03c4f59b3878",fc811633.NetPlSG5E.1.17,17,"fc811633.NetPlSG5E.1.17.xml",topic,"Flashcards 1",1,SYBEX,"True/False: An intrusion detection system replaces a firewall on your network.",FALSE,"01JA803S7M5XR5X8QA5VV26MXF",
"6aae54c9-b69d-4c72-9f20-c0f9893df161",PROD,"d6670e34-76cb-4d14-b8f1-88dc5192633d",fc811633.NetPlSG5E.1.18,18,"fc811633.NetPlSG5E.1.18.xml",topic,"Flashcards 1",1,SYBEX,"True/False: An intrusion detection system (IDS) can detect attacks within encrypted traffic.",FALSE,"01JA803SG75A4J4X7HNAKZWGCA",
