projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"b0276fa7-07b7-4667-993b-8f8b6baec40e",fc864585.JaSE17SG.1.001,1,"fc864585.JaSE17SG.1.001.xml",topic,"Flashcards 1",1,SYBEX,"What are the default values for these instance variables: <code>String s</code>; <code>int num</code>; <code>boolean b</code>; <code>double d</code>?","<code>s = null</code>; <code>num = 0</code>; <code>b = false</code>; <code>d = 0.0</code>","01JA81X3G8ASPJWST2ZV7AP09H",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"1b05e755-34ce-4f61-90ef-83e0198488b0",fc864585.JaSE17SG.1.002,2,"fc864585.JaSE17SG.1.002.xml",topic,"Flashcards 1",1,SYBEX,"What characters may a variable name end with?","A letter, number, currency symbol (<code>$</code>), or underscore (<code>_</code>)","01JA81X3NC481GKRHJ1CJJSE6T",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"953c7c32-3aa9-4280-bbb3-895123e5d701",fc864585.JaSE17SG.1.003,3,"fc864585.JaSE17SG.1.003.xml",topic,"Flashcards 1",1,SYBEX,"The bytecode for a class named <code>Hello</code> in the <code>a.b.c</code> package must appear in what directory structure?","The file <code>Hello.class</code> must be in the subdirectory <code>a/b/c</code>.","01JA81X3TW5ESCG0463GBEP3FM",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"98b06b82-5669-46bc-bfa2-cf06dbcca4a3",fc864585.JaSE17SG.1.004,4,"fc864585.JaSE17SG.1.004.xml",topic,"Flashcards 1",1,SYBEX,"What is the most common signature of a <code>main()</code> method?","<code>public static void main(String[] args)</code>","01JA81X3ZYY5QJQYKA6GBT3E23",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"914d18e3-dd0f-4838-b35f-84e51995e86f",fc864585.JaSE17SG.1.005,5,"fc864585.JaSE17SG.1.005.xml",topic,"Flashcards 1",1,SYBEX,"Fill in the blank: An instance of a class is called a(n) _________________.",<code>Object</code>,"01JA81X4591KTHEPJQG2EZ1TB0",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"795aba8e-2625-4c90-bc5f-bb38cd028add",fc864585.JaSE17SG.1.006,6,"fc864585.JaSE17SG.1.006.xml",topic,"Flashcards 1",1,SYBEX,"What is the command line used to compile the Java class <code>Wolf.java</code> in the default package, and what file does it generate?","Run: <code>javac Wolf.java</code> (and it generates <code>Wolf.class</code>)","01JA81X4ADD9GJTE1G3TVYC0RT",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"13abff10-5581-427f-bf40-19b46dd0cd06",fc864585.JaSE17SG.1.007,7,"fc864585.JaSE17SG.1.007.xml",topic,"Flashcards 1",1,SYBEX,"What are the three valid formats for comments?","<code>//</code>, <code>/* */</code>, and <code>/** */</code>","01JA81X4G3G152JE3TV0MFTEKE",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"5360cf78-d9b1-4aad-a35d-cab133d051fc",fc864585.JaSE17SG.1.008,8,"fc864585.JaSE17SG.1.008.xml",topic,"Flashcards 1",1,SYBEX,"What does JAR stand for?","Java archive","01JA81X4NMC4RSEP9DFCFHZ35N",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"bbfa038c-c0a8-4365-8d70-4d4ab10be07d",fc864585.JaSE17SG.1.009,9,"fc864585.JaSE17SG.1.009.xml",topic,"Flashcards 1",1,SYBEX,"<code>var</code> can be used as the type for which of the following: instance variable, <code>static</code> variable, local variable, constructor parameter, method parameter?","<code>var</code> can be used only as a local variable.","01JA81X34T2JHKMBS80HKD5F31",
"3deb3b13-8158-4ffb-bcb2-8093c152733d",PROD,"37dd373f-cef8-46f4-ad16-3f01f1709c25",fc864585.JaSE17SG.1.010,10,"fc864585.JaSE17SG.1.010.xml",topic,"Flashcards 1",1,SYBEX,"Besides letters and numbers, what symbols are permitted to be used in identifiers?","<code>_</code> and currency symbols","01JA81X39Y69VE2E7WDAQV6H9N",
